experiment_id	description	metric	value	status	prior	posterior	mechanism	interaction	notes	timestamp
E23	LA ranking by application intensity (apps/ha/yr)	max_intensity	5.8954	KEEP	0.7	0.8	Rank-ordering reveals which LAs activate zoned land fastest	False	range=[0.08, 5.90]	2026-04-17T20:00:42.442999
E24	Residential units per application	mean_units_per_app	2.7814	KEEP	0.5	0.6	Average application size determines how many apps needed per hectare of zoned land	False		2026-04-17T20:00:42.472588
E25	Trend in large scheme applications (50+ units)	slope_per_year	10.1091	KEEP	0.5	0.55	Large schemes deliver most units per hectare; trend matters for capacity utilization	False		2026-04-17T20:00:42.476256
E26	Quarterly volatility in residential applications	coefficient_of_variation	0.1342	KEEP	0.5	0.55	High volatility suggests market-cycle sensitivity; low volatility suggests structural constraint	False		2026-04-17T20:00:42.709334
E27	Capacity utilization: units filed / potential units	annual_pct	8.5943	KEEP	0.5	0.6	What fraction of theoretical zoned capacity enters the planning pipeline each year?	False		2026-04-17T20:00:42.772060
E28	Application concentration (Herfindahl index) across LAs	HHI	0.0491	KEEP	0.5	0.5	Highly concentrated applications suggest bottlenecks in specific LAs	False		2026-04-17T20:00:42.773097
E29	Year-over-year growth rate distribution	mean_yoy_pct	39.5601	KEEP	0.5	0.5	Growth trend and stability of application pipeline	False		2026-04-17T20:00:42.773802
E30	Weekday filing distribution	weekday_concentration	0.2293	KEEP	0.5	0.6	Planning offices receive applications on business days; weekend filings may indicate online systems	False		2026-04-17T20:00:42.990865
INT01	Interaction: Dublin × RZLT (DiD)	did_estimate	1358.9167	KEEP	0.4	0.45	Did RZLT announcement differentially affect Dublin vs rest?	True		2026-04-17T20:00:42.992559
INT02	Interaction: large_scheme × region	east_midlands_share	0.0	KEEP	0.5	0.5	Large schemes may cluster in high-demand regions	True		2026-04-17T20:00:43.048586
INT03	Interaction: approval_rate × population → intensity	pearson_r	0.0391	KEEP	0.4	0.4	Large LAs with high approval rates may have highest intensity	True		2026-04-17T20:00:43.051896
DISCOVERY	Phase B: LA intensity rankings and activation scenarios	scenarios_count	7.0	DISCOVERY			Counterfactual scenarios for zoned land activation	False	See discoveries/	2026-04-17T20:12:50+02:00
EXP_C1	Robustness: E00 with pure PERMISSION filter (excl retention/consequent/extension)	apps_per_ha_per_year	2.6733	KEEP			Exclude RETENTION PERMISSION, PERMISSION CONSEQUENT, EXTENSION OF DURATION from app count	False	annual_pure_perm=21148, excluded_pct=3.6%	2026-04-17T20:23:40.114750
EXP_A1	Robustness: E00 excluding Fingal (denominator mismatch concern)	apps_per_ha_per_year	4.8304	KEEP			Fingal 3519ha likely uses broader RZLT scope than Goodbody residential-only definition	False	excl_fingal_annual=21215, excl_fingal_zoned=4392ha	2026-04-17T20:23:40.114750
EXP_B1	Robustness: E13 correlation excluding Fingal outlier	pearson_r_excl_fingal	0.6415	KEEP			Fingal outlier (3519ha RZLT scope) drives r from 0.64 to 0.02	False	with_fingal_r=0.0218, p_excl=0.0002	2026-04-17T20:23:40.114750
EXP_D1	Robustness: partial correlation approval_rate vs intensity controlling for population	partial_pearson_r	-0.0649	KEEP			Controls for urbanization confound in approval-rate-as-deterrent hypothesis	False	simple_r=-0.0722, partial_p=0.7334	2026-04-17T20:23:40.114750
