id,title,authors,year,journal,doi_or_url,category,relevance,key_finding
55,"Identification of factors affecting the reduction of VOC emissions in the paint industry: SLR","Various",2022,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/pii/S0300944022002429","sustainability","high","Systematic review of VOC reduction factors in paint industry"
56,"Development of a solvent sustainability guide for the paints and coatings industry","Various",2024,"Green Chemistry","https://pubs.rsc.org/en/content/articlehtml/2024/gc/d4gc01962h","sustainability","high","Solvent sustainability guide for coatings using green chemistry metrics"
57,"Progress in waterborne polymer dispersions for coating applications: commercialized systems and new trends","Various",2024,"RSC Sustainability","https://pubs.rsc.org/en/content/articlehtml/2024/su/d4su00267a","sustainability","high","Review of waterborne polymer dispersions for sustainable coatings"
58,"Alkyd resins produced from bio-based resources for more sustainable coating applications","Various",2023,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10507036/","sustainability","high","Bio-based alkyd resins from vegetable oils for sustainable coatings"
59,"Sustainable bio-based functional additives for adhesives and coatings - A review","Various",2025,"ScienceDirect","https://www.sciencedirect.com/science/article/pii/S2949823625000546","sustainability","medium","Bio-based functional additives for sustainable coatings"
60,"Advancing renewable functional coatings: sustainable solutions for modern material challenges","Various",2025,"Journal of Coatings Technology and Research","https://link.springer.com/article/10.1007/s11998-025-01147-y","sustainability","high","Renewable functional coatings from plant oils, natural resins, algae"
61,"Sustainable smart anti-corrosion coating materials derived from vegetable oil derivatives: a review","Various",2023,"RSC Advances","https://pubs.rsc.org/en/content/articlehtml/2023/ra/d2ra07825b","sustainability","medium","Vegetable oil derived smart anticorrosion coatings"
62,"Bio-Based Polyurethane Coatings: Pioneering Efficient and Sustainable Approaches","Various",2024,"JRTE","https://www.jrte.org/wp-content/uploads/2024/10/Bio-Based-Polyurethane-Coatings.pdf","sustainability","medium","Bio-based PU coatings from castor and soybean oils"
63,"Optimizing Anticorrosion Coating Performance: Synthesis of Polyurethane/Epoxy Hybrids","Various",2025,"Polymers MDPI","https://www.mdpi.com/2073-4360/17/11/1516","formulation_science","high","PU/epoxy hybrid optimization: tensile 39.1->86.3 MPa, adhesion 2.5->8.3 MPa"
64,"Tailoring an epoxy-polyurethane self-healing coating for anticorrosion performance","Various",2025,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/abs/pii/S0300944025004382","formulation_science","medium","Epoxy-PU semi-IPN with >90% self-healing efficiency"
65,"Research progress in organic zinc rich primer coatings for cathodic protection of metals","Various",2021,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/abs/pii/S0300944020312510","formulation_science","high","Comprehensive review of zinc-rich primer formulation and protection mechanisms"
66,"Concepts of steel protection by coatings with a reduced content of zinc pigments","Various",2021,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/abs/pii/S0300944021003428","formulation_science","medium","Strategies for reducing zinc content while maintaining cathodic protection"
67,"Promoting Barrier Performance and Cathodic Protection of Zinc-Rich Epoxy Primer via Single-Layer Graphene","Various",2018,"Polymers MDPI","https://www.mdpi.com/2073-4360/10/6/591","formulation_science","medium","Graphene addition enhances zinc-rich epoxy primer performance"
68,"Assessment of Anticorrosion Performance of Zinc-Rich Epoxy Coatings Added with Zinc Fibers","Various",2022,"ACS Omega","https://pubs.acs.org/doi/10.1021/acsomega.2c03738","formulation_science","medium","Zinc fiber addition to zinc-rich primers for enhanced performance"
69,"Electrochemical Characterization of Polymeric Coatings for Corrosion Protection: A Review","Various",2022,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9228341/","testing","high","Review of EIS and electrochemical methods for coating evaluation"
70,"Electrochemical Impedance Spectroscopy Analysis of Organic Epoxy Coatings Reinforced with Nano Clay","Various",2024,"Materials MDPI","https://www.mdpi.com/1996-1944/17/12/3028","testing","medium","EIS analysis of nano-clay epoxy coatings barrier properties"
71,"Site-specific weathering of coatings: Comparison of natural and accelerated protocols","Various",2024,"Journal of Coatings Technology and Research","https://link.springer.com/article/10.1007/s11998-024-01005-3","testing","medium","Accelerated vs natural weathering comparison for coatings"
72,"An Industrial Perspective on Challenges in the Lifetime Prediction of Organic Coatings: A Century Retrospective","Various",2023,"CORROSION AMPP","https://content.ampp.org/corrosion/article/79/3/304/2202","testing","high","Industrial challenges in coating lifetime prediction; century review"
73,"Ten-year exterior durability test results compared to various accelerated weathering devices","Various",2013,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/abs/pii/S0300944012002809","testing","high","10-year outdoor vs accelerated weathering comparison for coil coatings"
74,"From Wet to Protective: Film Formation in Waterborne Coatings","Various",2024,"ACS Applied Materials & Interfaces","https://pubs.acs.org/doi/10.1021/acsami.4c09729","coating_science","high","Film formation mechanisms in waterborne coatings"
75,"Coalescence and Film Formation from Latexes","Hoy, K.L.",1996,"Journal of Coatings Technology","https://www.paint.org/wp-content/uploads/2021/09/jctFEB96-Hoy.pdf","coating_science","high","Foundational paper on latex film formation and coalescence"
76,"Solvent diffusion and drying of coatings","Various",2005,"ResearchGate","https://www.researchgate.net/publication/292397231_Solvent_diffusion_and_drying_of_coatings","coating_science","medium","Models of solvent evaporation and diffusion during coating drying"
77,"Quantifying the Open Time and Film Formation of Waterborne Coatings with Laser Speckle Imaging","Various",2024,"ACS Applied Optical Materials","https://pubs.acs.org/doi/full/10.1021/acsaom.4c00051","coating_science","medium","Novel laser speckle technique for waterborne coating film formation"
78,"Effect of Different Surfactants on Emulsion Polymerization of a Vinyl-Acrylic Latex","Various",2023,"PCI Magazine","https://www.pcimag.com/articles/111721","coating_science","medium","Surfactant effects on vinyl-acrylic latex emulsion polymerization"
79,"Hybrid Free-Radical/Cationic Phase-Separated UV-Curable System: Impact of Photoinitiator Content","Various",2022,"Macromolecules","https://pubs.acs.org/doi/10.1021/acs.macromol.1c02252","formulation_science","medium","Photoinitiator and monomer fraction effects on UV-curable coating gloss"
80,"UV-Curable Polymer Nanocomposites: Material Selection, Formulations, and Recent Advances","Various",2024,"Composites Part C MDPI","https://www.mdpi.com/2504-477X/8/11/441","formulation_science","medium","Review of UV-curable nanocomposite coating formulations"
81,"Dual-Curable Epoxy-Amine Thermosets: Influence of Stoichiometry and Ratio between Hardeners","Various",2024,"ACS Applied Polymer Materials","https://pubs.acs.org/doi/10.1021/acsapm.3c03132","formulation_science","high","Stoichiometry effects on Tg, gel time, network density in epoxy-amine systems"
82,"Calculation of Crosslink Density of Thermoset Polymers","Various",2018,"PCI Magazine","https://www.pcimag.com/articles/104955","coating_science","medium","Methods for calculating crosslink density in thermoset coatings"
83,"Integration of fillers in paint formulation: Comprehensive insights","Various",2025,"Results in Surfaces and Interfaces","https://www.sciencedirect.com/science/article/pii/S2590123025016135","formulation_science","high","Comprehensive review of filler integration in paint formulations"
84,"A Python tool for predicting optimal solvent blends based on Hansen solubility parameters","Various",2025,"Journal of Coatings Technology and Research","https://link.springer.com/article/10.1007/s11998-025-01109-4","computational_design","high","Open-source Python tool for HSP-based solvent blend optimization"
85,"Polymer Nanocomposites - A Comparison between Carbon Nanotubes, Graphene, and Clay as Nanofillers","Various",2016,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC5502926/","nanocomposite","medium","Comparative review of CNT, graphene, clay nanofillers in polymer coatings"
86,"High gas barrier of clay/graphene oxide/chitosan multilayer nanocoatings at high humidity","Various",2025,"Progress in Organic Coatings","https://www.sciencedirect.com/science/article/abs/pii/S0300944024007215","nanocomposite","medium","Clay/GO/chitosan multilayer for high barrier at high humidity"
87,"Unfolding graphene nanosheets towards high barrier performance of epoxy/graphene nanocomposite coating","Various",2022,"Composites Part A","https://www.sciencedirect.com/science/article/abs/pii/S1359835X21004462","nanocomposite","medium","Graphene unfolding improves epoxy coating barrier properties"
88,"Mini-Review of Self-Healing Mechanism and Formulation Optimization of Polyurea Coating","Various",2022,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9316374/","smart_coatings","medium","Self-healing polyurea coating formulation optimization review"
89,"Recent Advances of Microcapsule-based Intelligent Coatings","Zhao et al.",2025,"Advanced Science","https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202506557","smart_coatings","high","Review of bioinspired microcapsule intelligent coatings design"
90,"Advanced Micro/Nanocapsules for Self-Healing Coatings","Various",2024,"Applied Sciences MDPI","https://www.mdpi.com/2076-3417/14/18/8396","smart_coatings","medium","Micro/nanocapsule formulation for self-healing coatings"
91,"Microcapsule-based self-healing anticorrosive coatings: Capsule size, coating formulation, and exposure testing","Various",2013,"ResearchGate","https://www.researchgate.net/publication/257124143","smart_coatings","medium","Capsule size and formulation effects on self-healing anticorrosion coatings"
92,"A Comprehensive Review on Intumescent Coatings: Formulation, Manufacturing Methods, Research Development","Various",2025,"Fire MDPI","https://www.mdpi.com/2571-6255/8/4/155","fire_protection","high","Comprehensive review of intumescent coating formulations"
93,"Flame Retardant Coatings: Additives, Binders, and Fillers","Various",2022,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9324192/","fire_protection","medium","Review of flame retardant coating components and formulation"
94,"Research Progress of Polymer-Based Coatings for Anti-Corrosion Application: A Mini Review","Various",2026,"Journal of Polymer Science","https://onlinelibrary.wiley.com/doi/10.1002/pol.20250479","formulation_science","high","Recent review of polymer anticorrosion coatings; epoxy, PU, silicone systems"
95,"Advances in Bioinspired Superhydrophobic Surfaces Made from Silicones","Various",2023,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9919805/","formulation_science","medium","Silicone-based superhydrophobic surface fabrication and optimization"
96,"Modification strategy of siloxane antifouling coating: adhesion strength, static antifouling, and self-healing","Various",2023,"Surface Science and Technology","https://link.springer.com/article/10.1007/s44251-023-00028-z","formulation_science","medium","Siloxane antifouling coating formulation optimization strategies"
97,"Marine biofouling and the role of biocidal coatings in balancing environmental impacts","Various",2023,"Biofouling","https://www.tandfonline.com/doi/full/10.1080/08927014.2023.2246906","marine_coatings","medium","Biocidal vs foul-release antifouling coating tradeoffs"
98,"Effects of NCO/OH Ratios on Bio-Based Polyurethane Film Properties Made from Acacia mangium Liquefied Wood","Various",2023,"Polymers MDPI","https://pmc.ncbi.nlm.nih.gov/articles/PMC10007325/","formulation_science","medium","NCO/OH ratio effects on PU film Tg, thermal stability, mechanical properties"
99,"Pareto Front Interpolation for Nonlinear Multiobjective Optimization (PAINT)","Hartikainen et al.",2012,"JYU","https://jyx.jyu.fi/bitstream/handle/123456789/50901/hartikainenpaint.pdf","optimization","medium","PAINT method for Pareto front approximation in multi-objective optimization"
100,"Achieving Six Sigma Objectives for Variability Reduction in Coating Formulation and Processing","Various",2004,"PCI Magazine","https://www.pcimag.com/articles/85884","quality_control","medium","Six Sigma for variability reduction in coating formulation"
101,"Facilitating Coatings Product Development with Artificial Intelligence","Various",2024,"CoatingsTech ACA","https://www.paint.org/coatingstech-magazine/articles/facilitating-coatings-product-development-with-artificial-intelligence/","ML_formulation","high","AI integration for coatings product development; Dorfner case study"
102,"Leveraging Big Data, AI, and ML in the Coatings Industry","Various",2024,"CoatingsTech ACA","https://www.paint.org/coatingstech-magazine/articles/leveraging-big-data-artificial-intelligence-and-machine-learning-in-the-coatings-industry/","ML_formulation","high","Big data and ML applications across coatings industry value chain"
103,"Cutting Through Complexity","Various",2024,"PCI Magazine","https://www.pcimag.com/articles/114311-cutting-through-complexity","DOE","medium","Mixture DOE and combined designs for complex coating formulations"
104,"The Truth About Digital Formulation","Various",2023,"PCI Magazine","https://www.pcimag.com/articles/112034-the-truth-about-digital-formulation","computational_design","high","Realistic assessment of digital formulation tools for coatings"
105,"Optimizing Effect Paint Formulation with Smart Technology","Various",2024,"PCI Magazine","https://www.pcimag.com/articles/113655","computational_design","high","Smart algorithms reduce effect paint formulation from 10+ to 2-4 iterations"
106,"A survey of active learning in materials science: Data-driven paradigm","Various",2025,"arXiv","https://arxiv.org/html/2601.06971v1","active_learning","high","Comprehensive survey of active learning methods for materials science"
107,"Knowledge-driven learning, optimization, and experimental design under uncertainty for materials discovery","Various",2023,"PMC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10682757/","active_learning","medium","Knowledge-driven approaches for materials discovery under uncertainty"
108,"Bayesian and surrogate-assisted optimization: comparison on multi-fidelity optimization problems","Various",2026,"Control Engineering Practice","https://www.sciencedirect.com/science/article/abs/pii/S0967066126001589","Bayesian_opt","medium","Comparison of BO and surrogate-assisted approaches for multi-fidelity problems"
109,"Machine learning-enabled constrained multi-objective design of architected materials","Various",2023,"Nature Communications","https://www.nature.com/articles/s41467-023-42415-y","optimization","medium","ML-constrained MOO for materials design; applicable methodology"
110,"Transfer learning assessment of small datasets relating manufacturing parameters","Various",2025,"npj Advanced Manufacturing","https://www.nature.com/articles/s44334-025-00024-1","transfer_learning","medium","Transfer learning for manufacturing problems with limited data"
111,"Functional coatings for textiles: advancements in flame resistance, antimicrobial defense, and self-cleaning performance","Various",2025,"RSC Advances","https://pubs.rsc.org/en/content/articlehtml/2025/ra/d5ra01429h","functional_coatings","medium","Multifunctional coating technologies for textiles"
112,"Evaluating organic coating performance by EIS: Correlation between long-term EIS measurements and corrosion","Bongiorno et al.",2024,"Materials and Corrosion","https://onlinelibrary.wiley.com/doi/full/10.1002/maco.202313863","testing","medium","Long-term EIS correlation with actual coating corrosion performance"
113,"Computer Vision for Predictive Rating Analysis of Coating Durability","Various",2025,"University of Delaware","https://sites.udel.edu/midas-nrt/files/2025/02/Arkema-1.pdf","ML_testing","medium","Computer vision for automated coating durability rating"
114,"Drying of Alkyd Emulsion Paints","Weissenborn et al.",2000,"Journal of Coatings Technology","https://www.paint.org/wp-content/uploads/2021/09/jctJUL00-Weissenborn.pdf","coating_science","medium","Drying mechanisms and kinetics of alkyd emulsion paints"
115,"Low-VOC waterborne coatings for use in industrial maintenance painting","Various",2016,"ResearchGate","https://www.researchgate.net/publication/292402428","sustainability","medium","Waterborne low-VOC coatings for industrial maintenance"
