exp_id	description	target	mae	rmse	r2	prior	decision	notes
E005	scratch_hardness_N: add matting_pigment_ratio	scratch_hardness_N	1.8987	2.5345	0.0821	0.40	REVERT	family=ridge feats=1
E006	scratch_hardness_N: add hdi_frac	scratch_hardness_N	1.8326	2.4472	0.1443	0.35	REVERT	family=ridge feats=1
E007	scratch_hardness_N: add crosslink_x_cyc	scratch_hardness_N	1.8750	2.5130	0.0976	0.45	REVERT	family=ridge feats=1
E008	scratch_hardness_N: add crosslink_sq	scratch_hardness_N	1.8609	2.4793	0.1216	0.30	REVERT	family=ridge feats=1
E009	scratch_hardness_N: add matting_agent_sq	scratch_hardness_N	1.8431	2.4372	0.1513	0.40	REVERT	family=ridge feats=1
E010	scratch_hardness_N: add pigment_paste_sq	scratch_hardness_N	1.8105	2.3181	0.2322	0.40	REVERT	family=ridge feats=1
E011	scratch_hardness_N: add log_thickness	scratch_hardness_N	1.8349	2.4465	0.1447	0.45	REVERT	family=ridge feats=1
E012	scratch_hardness_N: add inv_thickness	scratch_hardness_N	1.8443	2.4537	0.1397	0.30	REVERT	family=ridge feats=1
E013	scratch_hardness_N: add thickness_sq	scratch_hardness_N	1.8449	2.4640	0.1325	0.30	REVERT	family=ridge feats=1
E014	scratch_hardness_N: add thickness_x_matting	scratch_hardness_N	1.8214	2.4182	0.1644	0.45	REVERT	family=ridge feats=1
E015	scratch_hardness_N: add thickness_x_pigment	scratch_hardness_N	1.8354	2.4591	0.1359	0.40	REVERT	family=ridge feats=1
E016	scratch_hardness_N: add lr_crosslink	scratch_hardness_N	9999.0000	9999.0000	-9999.0000	0.40	ERROR	Input X contains NaN.
Ridge does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor wh
E017	scratch_hardness_N: add lr_cyc	scratch_hardness_N	1.8627	2.4791	0.1218	0.40	REVERT	family=ridge feats=1
E018	scratch_hardness_N: add lr_matting	scratch_hardness_N	1.8777	2.4840	0.1183	0.50	REVERT	family=ridge feats=1
E019	scratch_hardness_N: add lr_pigment	scratch_hardness_N	1.8567	2.4699	0.1283	0.45	REVERT	family=ridge feats=1
E020	scratch_hardness_N: add crosslink_x_matting	scratch_hardness_N	1.8418	2.4287	0.1572	0.35	REVERT	family=ridge feats=1
E021	scratch_hardness_N: add cyc_x_matting	scratch_hardness_N	1.8201	2.4327	0.1544	0.30	REVERT	family=ridge feats=1
E022	scratch_hardness_N: add pigment_x_matting	scratch_hardness_N	1.8749	2.5144	0.0966	0.40	REVERT	family=ridge feats=1
E023	gloss_60: add pvc_proxy	gloss_60	10.7435	13.2763	0.7228	0.70	REVERT	family=extratrees feats=1
E024	gloss_60: add pvc_cpvc_dist	gloss_60	10.7435	13.2763	0.7228	0.65	REVERT	family=extratrees feats=1
E025	gloss_60: add binder_frac	gloss_60	10.7409	13.2991	0.7218	0.50	REVERT	family=extratrees feats=1
E026	gloss_60: add binder_pigment_ratio	gloss_60	10.6747	13.2622	0.7234	0.50	REVERT	family=extratrees feats=1
E027	gloss_60: add matting_pigment_ratio	gloss_60	10.7658	13.4343	0.7161	0.40	REVERT	family=extratrees feats=1
E028	gloss_60: add hdi_frac	gloss_60	10.3134	13.0170	0.7335	0.35	KEEP	family=extratrees feats=1
E029	gloss_60: add crosslink_x_cyc	gloss_60	10.7476	13.3548	0.7195	0.45	REVERT	family=extratrees feats=1
E030	gloss_60: add crosslink_sq	gloss_60	10.7429	13.2769	0.7228	0.30	REVERT	family=extratrees feats=1
E031	gloss_60: add matting_agent_sq	gloss_60	10.8735	13.3485	0.7198	0.40	REVERT	family=extratrees feats=1
E032	gloss_60: add pigment_paste_sq	gloss_60	10.7228	13.2918	0.7221	0.40	REVERT	family=extratrees feats=1
E033	gloss_60: add log_thickness	gloss_60	10.3972	12.8558	0.7401	0.45	REVERT	family=extratrees feats=1
E034	gloss_60: add inv_thickness	gloss_60	10.3272	12.7496	0.7443	0.30	REVERT	family=extratrees feats=1
E035	gloss_60: add thickness_sq	gloss_60	10.1234	12.5841	0.7509	0.30	REVERT	family=extratrees feats=1
E036	gloss_60: add thickness_x_matting	gloss_60	10.5289	13.2493	0.7239	0.45	REVERT	family=extratrees feats=1
E037	gloss_60: add thickness_x_pigment	gloss_60	10.6745	13.3464	0.7199	0.40	REVERT	family=extratrees feats=1
E038	gloss_60: add lr_crosslink	gloss_60	10.5496	13.0760	0.7311	0.40	REVERT	family=extratrees feats=1
E039	gloss_60: add lr_cyc	gloss_60	10.4950	13.1394	0.7285	0.40	REVERT	family=extratrees feats=1
E040	gloss_60: add lr_matting	gloss_60	10.6695	13.2492	0.7239	0.50	REVERT	family=extratrees feats=1
E041	gloss_60: add lr_pigment	gloss_60	10.7601	13.4012	0.7175	0.45	REVERT	family=extratrees feats=1
E042	gloss_60: add crosslink_x_matting	gloss_60	10.9552	13.4818	0.7141	0.35	REVERT	family=extratrees feats=1
E043	gloss_60: add cyc_x_matting	gloss_60	10.6358	13.4184	0.7168	0.30	REVERT	family=extratrees feats=1
E044	gloss_60: add pigment_x_matting	gloss_60	10.8412	13.3370	0.7202	0.40	REVERT	family=extratrees feats=1
E045	hiding_power_pct: add pvc_proxy	hiding_power_pct	2.3672	3.7647	0.6370	0.70	KEEP	family=extratrees feats=1
E046	hiding_power_pct: add pvc_cpvc_dist	hiding_power_pct	2.3672	3.7647	0.6370	0.65	REVERT	family=extratrees feats=1
E047	hiding_power_pct: add binder_frac	hiding_power_pct	2.3936	3.8062	0.6290	0.50	REVERT	family=extratrees feats=1
E048	hiding_power_pct: add binder_pigment_ratio	hiding_power_pct	2.3456	3.7473	0.6404	0.50	REVERT	family=extratrees feats=1
E049	hiding_power_pct: add matting_pigment_ratio	hiding_power_pct	2.4690	3.9720	0.5959	0.40	REVERT	family=extratrees feats=1
E050	hiding_power_pct: add hdi_frac	hiding_power_pct	2.3676	3.8656	0.6173	0.35	REVERT	family=extratrees feats=1
E051	hiding_power_pct: add crosslink_x_cyc	hiding_power_pct	2.3917	3.9720	0.5959	0.45	REVERT	family=extratrees feats=1
E052	hiding_power_pct: add crosslink_sq	hiding_power_pct	2.4751	3.9075	0.6090	0.30	REVERT	family=extratrees feats=1
E053	hiding_power_pct: add matting_agent_sq	hiding_power_pct	2.4375	3.8547	0.6194	0.40	REVERT	family=extratrees feats=1
E054	hiding_power_pct: add pigment_paste_sq	hiding_power_pct	2.4361	3.7474	0.6403	0.40	REVERT	family=extratrees feats=1
E055	hiding_power_pct: add log_thickness	hiding_power_pct	2.3949	3.9556	0.5993	0.45	REVERT	family=extratrees feats=1
E056	hiding_power_pct: add inv_thickness	hiding_power_pct	2.4261	3.9613	0.5981	0.30	REVERT	family=extratrees feats=1
E057	hiding_power_pct: add thickness_sq	hiding_power_pct	2.4274	4.0091	0.5884	0.30	REVERT	family=extratrees feats=1
E058	hiding_power_pct: add thickness_x_matting	hiding_power_pct	2.4043	3.8275	0.6248	0.45	REVERT	family=extratrees feats=1
E059	hiding_power_pct: add thickness_x_pigment	hiding_power_pct	2.2635	3.6809	0.6530	0.40	KEEP	family=extratrees feats=1
E060	hiding_power_pct: add lr_crosslink	hiding_power_pct	2.3527	3.7702	0.6359	0.40	REVERT	family=extratrees feats=1
E061	hiding_power_pct: add lr_cyc	hiding_power_pct	2.4267	3.9271	0.6050	0.40	REVERT	family=extratrees feats=1
E062	hiding_power_pct: add lr_matting	hiding_power_pct	2.4147	3.8353	0.6233	0.50	REVERT	family=extratrees feats=1
E063	hiding_power_pct: add lr_pigment	hiding_power_pct	2.4501	3.8820	0.6140	0.45	REVERT	family=extratrees feats=1
E064	hiding_power_pct: add crosslink_x_matting	hiding_power_pct	2.3976	3.7758	0.6349	0.35	REVERT	family=extratrees feats=1
E065	hiding_power_pct: add cyc_x_matting	hiding_power_pct	2.3525	3.7908	0.6320	0.30	REVERT	family=extratrees feats=1
E066	hiding_power_pct: add pigment_x_matting	hiding_power_pct	2.3537	3.7269	0.6443	0.40	REVERT	family=extratrees feats=1
E067	cupping_mm: add pvc_proxy	cupping_mm	1.6654	2.3570	0.6656	0.70	KEEP	family=extratrees feats=1
E068	cupping_mm: add pvc_cpvc_dist	cupping_mm	1.6654	2.3570	0.6656	0.65	REVERT	family=extratrees feats=1
E069	cupping_mm: add binder_frac	cupping_mm	1.6575	2.3659	0.6631	0.50	REVERT	family=extratrees feats=1
E070	cupping_mm: add binder_pigment_ratio	cupping_mm	1.6592	2.3512	0.6672	0.50	REVERT	family=extratrees feats=1
E071	cupping_mm: add matting_pigment_ratio	cupping_mm	1.6950	2.4150	0.6489	0.40	REVERT	family=extratrees feats=1
E072	cupping_mm: add hdi_frac	cupping_mm	1.7105	2.4802	0.6297	0.35	REVERT	family=extratrees feats=1
E073	cupping_mm: add crosslink_x_cyc	cupping_mm	1.6602	2.3270	0.6740	0.45	REVERT	family=extratrees feats=1
E074	cupping_mm: add crosslink_sq	cupping_mm	1.7078	2.4119	0.6498	0.30	REVERT	family=extratrees feats=1
E075	cupping_mm: add matting_agent_sq	cupping_mm	1.7059	2.4099	0.6504	0.40	REVERT	family=extratrees feats=1
E076	cupping_mm: add pigment_paste_sq	cupping_mm	1.6918	2.3731	0.6610	0.40	REVERT	family=extratrees feats=1
E077	cupping_mm: add log_thickness	cupping_mm	1.6595	2.3761	0.6601	0.45	REVERT	family=extratrees feats=1
E078	cupping_mm: add inv_thickness	cupping_mm	1.6275	2.3525	0.6669	0.30	KEEP	family=extratrees feats=1
E079	cupping_mm: add thickness_sq	cupping_mm	1.6467	2.3809	0.6588	0.30	REVERT	family=extratrees feats=1
E080	cupping_mm: add thickness_x_matting	cupping_mm	1.7230	2.4457	0.6399	0.45	REVERT	family=extratrees feats=1
E081	cupping_mm: add thickness_x_pigment	cupping_mm	1.6927	2.3733	0.6610	0.40	REVERT	family=extratrees feats=1
E082	cupping_mm: add lr_crosslink	cupping_mm	1.7077	2.4319	0.6440	0.40	REVERT	family=extratrees feats=1
E083	cupping_mm: add lr_cyc	cupping_mm	1.7072	2.4215	0.6470	0.40	REVERT	family=extratrees feats=1
E084	cupping_mm: add lr_matting	cupping_mm	1.7240	2.4430	0.6407	0.50	REVERT	family=extratrees feats=1
E085	cupping_mm: add lr_pigment	cupping_mm	1.7149	2.4312	0.6442	0.45	REVERT	family=extratrees feats=1
E086	cupping_mm: add crosslink_x_matting	cupping_mm	1.7036	2.4013	0.6529	0.35	REVERT	family=extratrees feats=1
E087	cupping_mm: add cyc_x_matting	cupping_mm	1.5499	2.2182	0.7038	0.30	KEEP	family=extratrees feats=1
E088	cupping_mm: add pigment_x_matting	cupping_mm	1.6920	2.4021	0.6527	0.40	REVERT	family=extratrees feats=1
E089	scratch_hardness_N: PVC suite (pvc_proxy + pvc_cpvc_dist + binder_frac)	scratch_hardness_N	1.8333	2.4481	0.1436	0.60	REVERT	family=ridge feats=3
E090	scratch_hardness_N: Aitchison log-ratio suite	scratch_hardness_N	9999.0000	9999.0000	-9999.0000	0.55	ERROR	Input X contains NaN.
Ridge does not accept missing values encoded as NaN natively. For supervised learning, you might want to consider sklearn.ensemble.HistGradientBoostingClassifier and Regressor wh
E091	scratch_hardness_N: thickness interactions (log+x_matting+x_pigment)	scratch_hardness_N	1.8314	2.4322	0.1547	0.55	REVERT	family=ridge feats=3
E092	scratch_hardness_N: quadratic + interaction suite	scratch_hardness_N	1.9067	2.4592	0.1359	0.45	REVERT	family=ridge feats=5
E093	gloss_60: PVC suite (pvc_proxy + pvc_cpvc_dist + binder_frac)	gloss_60	11.0740	13.3837	0.7183	0.60	REVERT	family=extratrees feats=3
E094	gloss_60: Aitchison log-ratio suite	gloss_60	10.9363	13.6530	0.7068	0.55	REVERT	family=extratrees feats=4
E095	gloss_60: thickness interactions (log+x_matting+x_pigment)	gloss_60	10.3954	12.8881	0.7388	0.55	REVERT	family=extratrees feats=3
E096	gloss_60: quadratic + interaction suite	gloss_60	11.3872	13.9198	0.6953	0.45	REVERT	family=extratrees feats=5
E097	hiding_power_pct: PVC suite (pvc_proxy + pvc_cpvc_dist + binder_frac)	hiding_power_pct	2.3819	3.7635	0.6372	0.60	REVERT	family=extratrees feats=3
E098	hiding_power_pct: Aitchison log-ratio suite	hiding_power_pct	2.4668	3.9370	0.6030	0.55	REVERT	family=extratrees feats=4
E099	hiding_power_pct: thickness interactions (log+x_matting+x_pigment)	hiding_power_pct	2.3326	3.7691	0.6362	0.55	REVERT	family=extratrees feats=3
E100	hiding_power_pct: quadratic + interaction suite	hiding_power_pct	2.4610	3.7399	0.6418	0.45	REVERT	family=extratrees feats=5
E101	cupping_mm: PVC suite (pvc_proxy + pvc_cpvc_dist + binder_frac)	cupping_mm	1.6731	2.3449	0.6690	0.60	REVERT	family=extratrees feats=3
E102	cupping_mm: Aitchison log-ratio suite	cupping_mm	1.7619	2.5202	0.6177	0.55	REVERT	family=extratrees feats=4
E103	cupping_mm: thickness interactions (log+x_matting+x_pigment)	cupping_mm	1.6410	2.3341	0.6721	0.55	REVERT	family=extratrees feats=3
E104	cupping_mm: quadratic + interaction suite	cupping_mm	1.7325	2.3878	0.6568	0.45	REVERT	family=extratrees feats=5
E105	gloss_60: xgb lr=0.03 n=500 d=5	gloss_60	10.2689	13.2598	0.7235	0.35	REVERT	family=xgboost feats=2
E106	gloss_60: xgb lr=0.1 n=300 d=4	gloss_60	10.6663	13.8131	0.6999	0.30	REVERT	family=xgboost feats=2
E107	gloss_60: xgb lr=0.05 n=600 d=4	gloss_60	10.2783	13.4497	0.7155	0.30	REVERT	family=xgboost feats=2
E108	gloss_60: xgb lr=0.05 n=300 d=3	gloss_60	10.1686	13.2399	0.7243	0.35	REVERT	family=xgboost feats=2
E109	gloss_60: xgb lr=0.05 n=300 d=7	gloss_60	10.0359	13.2077	0.7256	0.20	KEEP	family=xgboost feats=2
E110	gloss_60: monotone constraints {'matting_agent': -1, 'pigment_paste': -1}	gloss_60	10.4028	13.5236	0.7124	0.55	REVERT	family=xgboost feats=3
E111	scratch_hardness_N: monotone constraints {'matting_agent': 1, 'crosslink': 1}	scratch_hardness_N	2.2489	2.8699	-0.1769	0.55	REVERT	family=xgboost feats=3
E112	hiding_power_pct: monotone constraints {'pigment_paste': 1}	hiding_power_pct	3.0260	4.6319	0.4505	0.55	REVERT	family=xgboost feats=3
E113	cupping_mm: monotone constraints {'thickness_um': 1}	cupping_mm	1.7441	2.5108	0.6205	0.55	REVERT	family=xgboost feats=3
E114	scratch_hardness_N: log target transform	scratch_hardness_N	1.8983	2.5063	0.1025	0.30	REVERT	family=ridge feats=1
E115	gloss_60: log target transform	gloss_60	10.3002	12.9389	0.7367	0.30	REVERT	family=extratrees feats=1
E116	hiding_power_pct: log target transform	hiding_power_pct	2.4026	3.9418	0.6021	0.25	REVERT	family=extratrees feats=1
E117	cupping_mm: log target transform	cupping_mm	1.5614	2.4708	0.6325	0.35	REVERT	family=extratrees feats=1
E118	gloss_60: ExtraTrees n=100	gloss_60	10.5007	12.9465	0.7364	0.25	REVERT	family=extratrees feats=0
E119	gloss_60: ExtraTrees n=200	gloss_60	10.2707	12.7317	0.7451	0.30	REVERT	family=extratrees feats=0
E120	gloss_60: ExtraTrees n=600	gloss_60	10.4094	12.9326	0.7370	0.35	REVERT	family=extratrees feats=0
E121	gloss_60: ExtraTrees n=1000	gloss_60	10.4706	12.9712	0.7354	0.30	REVERT	family=extratrees feats=0
E122	hiding_power_pct: ExtraTrees n=100	hiding_power_pct	2.5123	3.9623	0.5979	0.25	REVERT	family=extratrees feats=0
E123	hiding_power_pct: ExtraTrees n=200	hiding_power_pct	2.4717	3.8980	0.6108	0.30	REVERT	family=extratrees feats=0
E124	hiding_power_pct: ExtraTrees n=600	hiding_power_pct	2.3895	3.8088	0.6285	0.35	REVERT	family=extratrees feats=0
E125	hiding_power_pct: ExtraTrees n=1000	hiding_power_pct	2.3810	3.8052	0.6292	0.30	REVERT	family=extratrees feats=0
E126	cupping_mm: ExtraTrees n=100	cupping_mm	1.7355	2.4184	0.6479	0.25	REVERT	family=extratrees feats=0
E127	cupping_mm: ExtraTrees n=200	cupping_mm	1.6826	2.3706	0.6617	0.30	REVERT	family=extratrees feats=0
E128	cupping_mm: ExtraTrees n=600	cupping_mm	1.6672	2.3615	0.6643	0.35	REVERT	family=extratrees feats=0
E129	cupping_mm: ExtraTrees n=1000	cupping_mm	1.6593	2.3561	0.6658	0.30	REVERT	family=extratrees feats=0
E130	scratch_hardness_N: GP(matern) - published baseline family	scratch_hardness_N	1.9488	2.5208	0.0920	0.45	REVERT	family=gp feats=0
E131	scratch_hardness_N: GP(rbf) - published baseline family	scratch_hardness_N	2.0489	2.6243	0.0159	0.40	REVERT	family=gp feats=0
E132	scratch_hardness_N: GP(rbf_dot) - published baseline family	scratch_hardness_N	1.9022	2.4703	0.1280	0.35	REVERT	family=gp feats=0
E133	gloss_60: GP(matern) - published baseline family	gloss_60	10.7888	13.7386	0.7031	0.45	REVERT	family=gp feats=0
E134	gloss_60: GP(rbf) - published baseline family	gloss_60	10.9067	13.9464	0.6941	0.40	REVERT	family=gp feats=0
E135	gloss_60: GP(rbf_dot) - published baseline family	gloss_60	11.2895	14.3196	0.6775	0.35	REVERT	family=gp feats=0
E136	hiding_power_pct: GP(matern) - published baseline family	hiding_power_pct	2.5201	4.2552	0.5363	0.45	REVERT	family=gp feats=0
E137	hiding_power_pct: GP(rbf) - published baseline family	hiding_power_pct	2.7174	4.3787	0.5090	0.40	REVERT	family=gp feats=0
E138	hiding_power_pct: GP(rbf_dot) - published baseline family	hiding_power_pct	2.7557	4.4415	0.4948	0.35	REVERT	family=gp feats=0
E139	cupping_mm: GP(matern) - published baseline family	cupping_mm	1.8288	2.5701	0.6024	0.45	REVERT	family=gp feats=0
E140	cupping_mm: GP(rbf) - published baseline family	cupping_mm	1.9794	2.7067	0.5590	0.40	REVERT	family=gp feats=0
E141	cupping_mm: GP(rbf_dot) - published baseline family	cupping_mm	2.0240	2.7890	0.5317	0.35	REVERT	family=gp feats=0
P25_001	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'pvc_proxy']	scratch_hardness_N	1.8009	2.3369	0.2197	0.55	REVERT	family=ridge feats=2
P25_002	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'matting_agent_sq']	scratch_hardness_N	1.8095	2.3429	0.2156	0.50	REVERT	family=ridge feats=2
P25_003	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'thickness_x_matting']	scratch_hardness_N	1.7940	2.3247	0.2278	0.50	REVERT	family=ridge feats=2
P25_004	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'crosslink_sq']	scratch_hardness_N	1.8254	2.3638	0.2016	0.45	REVERT	family=ridge feats=2
P25_005	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'pvc_proxy', 'matting_agent_sq']	scratch_hardness_N	1.8110	2.3449	0.2143	0.50	REVERT	family=ridge feats=3
P25_006	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'log_thickness', 'thickness_x_matting']	scratch_hardness_N	1.7959	2.3275	0.2259	0.50	REVERT	family=ridge feats=3
P25_007	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'pigment_paste_sq', 'matting_agent_sq']	scratch_hardness_N	1.8238	2.3379	0.2190	0.45	REVERT	family=ridge feats=3
P25_008	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'pvc_cpvc_dist']	scratch_hardness_N	1.8009	2.3369	0.2197	0.45	REVERT	family=ridge feats=2
P25_009	scratch_hardness_N: combo feats=['binder_pigment_ratio', 'crosslink_x_matting']	scratch_hardness_N	1.8222	2.3519	0.2096	0.40	REVERT	family=ridge feats=2
P25_010	gloss_60: combo feats=['log_thickness', 'thickness_x_matting', 'pvc_proxy']	gloss_60	10.3926	13.5400	0.7117	0.55	REVERT	family=xgboost feats=3
P25_011	gloss_60: combo feats=['log_thickness', 'thickness_x_matting', 'matting_pigment_ratio']	gloss_60	10.5594	13.5932	0.7094	0.50	REVERT	family=xgboost feats=3
P25_012	gloss_60: combo feats=['log_thickness', 'thickness_x_matting', 'thickness_sq']	gloss_60	10.1935	13.1974	0.7261	0.40	REVERT	family=xgboost feats=3
P25_013	gloss_60: combo feats=['log_thickness', 'thickness_x_matting', 'pigment_paste_sq']	gloss_60	10.3277	13.4270	0.7165	0.35	REVERT	family=xgboost feats=3
P25_014	gloss_60: combo feats=['log_thickness', 'thickness_x_matting', 'matting_agent_sq']	gloss_60	10.4271	13.4205	0.7167	0.40	REVERT	family=xgboost feats=3
P25_015	gloss_60: combo feats=['log_thickness', 'thickness_x_matting', 'binder_pigment_ratio']	gloss_60	10.5693	13.5842	0.7098	0.45	REVERT	family=xgboost feats=3
P25_016	gloss_60: combo feats=['log_thickness', 'thickness_x_matting', 'inv_thickness']	gloss_60	10.2027	13.2197	0.7251	0.30	REVERT	family=xgboost feats=3
P25_017	hiding_power_pct: combo feats=['thickness_x_pigment', 'pvc_proxy']	hiding_power_pct	2.2781	3.6871	0.6518	0.55	REVERT	family=extratrees feats=2
P25_018	hiding_power_pct: combo feats=['thickness_x_pigment', 'pigment_paste_sq']	hiding_power_pct	2.3191	3.6683	0.6554	0.50	REVERT	family=extratrees feats=2
P25_019	hiding_power_pct: combo feats=['thickness_x_pigment', 'log_thickness']	hiding_power_pct	2.3603	3.8545	0.6195	0.50	REVERT	family=extratrees feats=2
P25_020	hiding_power_pct: combo feats=['thickness_x_pigment', 'matting_pigment_ratio']	hiding_power_pct	2.3631	3.8436	0.6216	0.45	REVERT	family=extratrees feats=2
P25_021	hiding_power_pct: combo feats=['thickness_x_pigment', 'pigment_paste_sq', 'matting_agent_sq']	hiding_power_pct	2.3015	3.6398	0.6607	0.45	REVERT	family=extratrees feats=3
P25_022	cupping_mm: combo feats=['cyc_x_matting', 'log_thickness']	cupping_mm	1.5231	2.1934	0.7104	0.55	REVERT	family=extratrees feats=2
P25_023	cupping_mm: combo feats=['cyc_x_matting', 'thickness_sq']	cupping_mm	1.5358	2.2081	0.7065	0.45	REVERT	family=extratrees feats=2
P25_024	cupping_mm: combo feats=['cyc_x_matting', 'crosslink_x_cyc']	cupping_mm	1.5514	2.1893	0.7115	0.45	REVERT	family=extratrees feats=2
P25_025	cupping_mm: combo feats=['cyc_x_matting', 'pvc_proxy']	cupping_mm	1.5194	2.1772	0.7147	0.40	KEEP	family=extratrees feats=2
P25_026	cupping_mm: combo feats=['cyc_x_matting', 'log_thickness', 'crosslink_x_cyc']	cupping_mm	1.5348	2.1867	0.7122	0.50	REVERT	family=extratrees feats=3
P25_027	scratch_hardness_N: retry xgboost on current features	scratch_hardness_N	2.1135	2.7252	-0.0612	0.35	REVERT	family=xgboost feats=1
P25_028	scratch_hardness_N: retry lightgbm on current features	scratch_hardness_N	2.1752	2.7731	-0.0988	0.35	REVERT	family=lightgbm feats=1
P25_029	scratch_hardness_N: retry extratrees on current features	scratch_hardness_N	2.0063	2.5952	0.0376	0.35	REVERT	family=extratrees feats=1
P25_030	gloss_60: retry lightgbm on current features	gloss_60	11.3918	15.1595	0.6386	0.35	REVERT	family=lightgbm feats=2
P25_031	gloss_60: retry extratrees on current features	gloss_60	10.2842	12.7117	0.7459	0.35	REVERT	family=extratrees feats=2
P25_032	gloss_60: retry ridge on current features	gloss_60	12.3708	14.7923	0.6559	0.35	REVERT	family=ridge feats=2
P25_033	hiding_power_pct: retry xgboost on current features	hiding_power_pct	2.8710	4.4107	0.5017	0.35	REVERT	family=xgboost feats=1
P25_034	hiding_power_pct: retry lightgbm on current features	hiding_power_pct	3.1177	4.7132	0.4311	0.35	REVERT	family=lightgbm feats=1
P25_035	hiding_power_pct: retry ridge on current features	hiding_power_pct	2.7461	4.1175	0.5658	0.35	REVERT	family=ridge feats=1
P25_036	cupping_mm: retry xgboost on current features	cupping_mm	1.7391	2.5522	0.6079	0.35	REVERT	family=xgboost feats=1
P25_037	cupping_mm: retry lightgbm on current features	cupping_mm	1.8441	2.5859	0.5975	0.35	REVERT	family=lightgbm feats=1
P25_038	cupping_mm: retry ridge on current features	cupping_mm	2.2192	2.8286	0.5184	0.35	REVERT	family=ridge feats=1
P25_039	gloss_60: xgb depth sweep d=4	gloss_60	10.2526	13.4255	0.7165	0.30	REVERT	family=xgboost feats=2
P25_040	gloss_60: xgb depth sweep d=5	gloss_60	9.9833	13.1928	0.7263	0.35	REVERT	family=xgboost feats=2
P25_041	gloss_60: xgb depth sweep d=6	gloss_60	10.0047	13.2310	0.7247	0.35	REVERT	family=xgboost feats=2
