id,title,authors,year,venue,theme,key_finding,relevance_to_hdr
22,"CoLight: Learning Network-level Cooperation for Traffic Signal Control","Wei et al.",2019,"CIKM","RL for Traffic Signals","Graph Attention Networks for junction cooperation; index-free neighbour modelling","Network architecture for coordination"
23,"AttendLight: Universal Attention-Based RL Model for Traffic Signal Control","Oroojlooy et al.",2020,"NeurIPS","RL for Traffic Signals","46% improvement over FixedTime; universal model for any intersection geometry","Architecture design: attention mechanism"
24,"FRAP: Learning Phase Competition for Traffic Signal Control","Zheng et al.",2019,"CIKM","RL for Traffic Signals","Phase competition principle; when signals conflict priority goes to larger flow","Phase configuration insights"
25,"DynamicLight: Two-Stage Dynamic Traffic Signal Timing","Various",2022,"arXiv","RL for Traffic Signals","Two-stage approach: cycle planning then phase assignment","Action space design"
26,"DuaLight: Enhancing TSC by Leveraging Scenario-Specific and Scenario-Shared Knowledge","Various",2023,"arXiv","RL for Traffic Signals","Dual knowledge transfer between scenarios","Transfer learning for HDR"
27,"A Comparative Study of Deep RL Models: DQN vs PPO vs A2C","de la Fuente et al.",2024,"KDD Workshop","RL for Traffic Signals","PPO outperformed DQN and A2C; up to 21% fewer conflicts; DQN ideal for quick adaptation","Algorithm selection for HDR"
28,"Optimizing Traffic at Intersections With Deep RL","Boyko et al.",2024,"Journal of Engineering","RL for Traffic Signals","Comprehensive comparison of DRL methods for intersection optimisation","Benchmark results"
29,"Optimization Control of Adaptive Traffic Signal with Deep RL","Various",2024,"Electronics","RL for Traffic Signals","Multi-objective adaptive signal control with DRL","Multi-objective reward design"
30,"Adaptive Traffic Signal Control Using DRL: Multi-Objective Approach","Various",2025,"ScienceDirect","RL for Traffic Signals","Single and multi-intersection scenarios with multi-objective RL","Design variable: objective weighting"
31,"Deep RL for Traffic Signal Control Model and Adaptation Study","Various",2022,"PMC","RL for Traffic Signals","Model adaptation across different traffic conditions","Transfer and adaptation"
32,"A Reinforcement Learning Approach for Reducing Traffic Congestion Using Deep Q Learning","Various",2024,"Scientific Reports","RL for Traffic Signals","DQN for congestion reduction; real-world validation","Practical deployment insights"
33,"Intelligent Traffic Light via Policy-based Deep RL","Various",2022,"IJITSR","RL for Traffic Signals","Policy gradient methods for traffic light control","Algorithm comparison"
34,"Adaptive Urban Traffic Signal Control Based on Enhanced DRL","Various",2024,"Scientific Reports","RL for Traffic Signals","Enhanced DRL architecture for urban signal control","Architecture design"
35,"Effects Analysis of Reward Functions on RL for Traffic Signal Control","Garg et al.",2022,"PLOS ONE","Reward Engineering","Systematic analysis of reward function effects; AWT and AQL dominate; weight sensitivity is critical","Core HDR target: reward function tuning"
36,"Biased Pressure: Cyclic RL Model for Intelligent TSC","Various",2022,"PMC","Reward Engineering","Biased pressure reward improves over standard pressure","Pressure variant for HDR exploration"
37,"RL Based Traffic Signal Design to Minimize Queue Lengths","Various",2025,"arXiv","Reward Engineering","Queue-based PPO with autoencoder state outperformed alternatives","Reward+state co-design"
38,"Federated DRL-Based Urban Traffic Signal Optimal Control","Various",2025,"Scientific Reports","Reward Engineering","Federated approach with pressure-based reward optimisation","Distributed reward design"
39,"Two-Layer Coordinated RL for TSC in Traffic Network","Various",2023,"Expert Systems with Applications","Reward Engineering","Two-layer reward: local intersection + regional coordination","Hierarchical reward structure"
40,"Recent Advances in RL for TSC: A Survey of Models and Evaluation","Various",2024,"KDD Explorations","Reward Engineering","Comprehensive survey of reward functions; queue and pressure most effective","Reward function catalogue"
41,"A Survey on Deep RL Approaches for Traffic Signal Control","Various",2024,"Engineering Applications of AI","Reward Engineering","Deep analysis of reward function design choices and their impacts","Reward engineering principles"
42,"Advances in RL for TSC: A Review of Recent Progress","Various",2025,"Intelligent Transportation Infrastructure","Reward Engineering","Coupling between network topology and flow dynamics constrains performance","Topology-aware reward design"
43,"Traffic Signal Control via RL: A Review on Applications and Innovations","Various",2025,"Infrastructures","Reward Engineering","Multi-factor reward with queue, waiting time, speed, pressure; weight sensitivity highlighted","Multi-objective reward design"
44,"Multi-Agent RL for Traffic Signal Control: A Cooperative Approach","Various",2023,"Sustainability","Multi-Intersection Coordination","Cooperative MARL with information sharing outperforms independent agents","Coordination strategy design"
45,"FLDQN: Cooperative Multi-Agent Federated RL for Travel Time Minimisation","Various",2025,"Sensors","Multi-Intersection Coordination",">34.6% travel time reduction vs non-cooperative methods","Federated coordination strategy"
46,"Large-Scale Multi-Agent RL for Traffic Signal Control","Various",2024,"ICLR (under review)","Multi-Intersection Coordination","CityLight: Multi-Agent PPO for large-scale networks","Scalable coordination"
47,"Multi-Agent Deep RL for Large-Scale TSC with Spatio-Temporal Attention","Various",2025,"Applied Sciences","Multi-Intersection Coordination","Spatio-temporal attention for network-wide coordination","Attention-based coordination"
48,"Multi-Agent Deep RL collaborative TSC considering Intersection Heterogeneity","Various",2024,"Transportation Research Part C","Multi-Intersection Coordination","Heterogeneity-aware multi-agent coordination","Design variable: heterogeneity handling"
49,"Meta-Learning Based Spatial-Temporal Graph Attention Network for TSC","Various",2022,"Knowledge-Based Systems","Multi-Intersection Coordination","Meta-learning with STGAT for fast adaptation","Meta-learning for coordination"
50,"DynSTGAT: Dynamic Spatial-Temporal Graph Attention Network for TSC","Various",2022,"DeepAI","Multi-Intersection Coordination","Multi-head graph attention with TCN for spatio-temporal modelling","Architecture for coordination"
51,"Graph Attention Network for Lane-Wise and Topology-Invariant Intersection Simulation","Various",2024,"arXiv","Multi-Intersection Coordination","GAT for lane-level simulation across topologies","Graph architecture design"
52,"Spatiotemporal Decision Transformer for Multi-Agent Traffic Coordination","Various",2025,"arXiv","Multi-Intersection Coordination","Decision transformers for multi-agent coordination","Transformer architecture"
53,"A Large-Scale TSC Algorithm Based on Multi-Layer Graph DRL","Various",2024,"Science China Information Sciences","Multi-Intersection Coordination","Multi-layer graph: network-level + intersection-level graphs","Hierarchical graph representation"
54,"Multi-Agent RL for Traffic Flow Management of Autonomous Vehicles","Various",2023,"PMC","Multi-Intersection Coordination","MARL for mixed autonomous vehicle traffic","Mixed traffic coordination"
55,"CoordLight: Learning Decentralized Coordination for Network-Wide TSC","Various",2025,"arXiv","Multi-Intersection Coordination","Decentralised coordination learning at network scale","Scalable coordination"
56,"Hierarchical RL-Based Traffic Signal Control","Shen et al.",2025,"Scientific Reports","Multi-Intersection Coordination","Manager-worker hierarchy: managers set regional goals workers execute local control","Hierarchical design variable"
57,"HALO: Hierarchical RL for Large-Scale Adaptive TSC","Various",2025,"arXiv","Multi-Intersection Coordination","Transformer-LSTM encoders for global guidance; low-level decentralised control","Scalable hierarchical control"
58,"Federated Hierarchical RL for Adaptive TSC","Various",2025,"arXiv","Multi-Intersection Coordination","Combined federated and hierarchical approaches","Combined coordination strategy"
59,"Extensible Hierarchical MARL Algorithm in TSC","Various",2022,"Applied Sciences","Multi-Intersection Coordination","Extensible hierarchical framework for multi-agent signal control","Modular coordination"
60,"Information Upwards Recommendation Downwards: RL with Hierarchy for TSC","Various",2022,"Procedia Computer Science","Multi-Intersection Coordination","Bidirectional information flow in hierarchical control","Communication design"
61,"SCOOT and SCATS: A Closer Look into Their Operations","Stevanovic",2006,"TRB","Adaptive vs Fixed-Time","Both deliver similar delays with different cycle lengths; fundamentally different methods","Real-world adaptive baselines"
62,"Decision-Making Tool for Applying Adaptive Traffic Control Systems","NYSERDA",2016,"NYSERDA Report","Adaptive vs Fixed-Time","Framework for deciding when to deploy adaptive control","Deployment criteria"
63,"Adaptive Signal Control Technology (ASCT)","FHWA",2012,"FHWA EDC","Adaptive vs Fixed-Time","Adaptive control shows 29.89% improvement in waiting time vs fixed-time","Performance benchmark"
64,"Self-Organizing Traffic Lights","Gershenson & Rosenblueth",2005,"Complex Systems","Adaptive vs Fixed-Time","SOTL reduces waiting time 50% vs green wave; robust to individual failures","Baseline comparison for HDR"
65,"Self-Organizing Traffic Lights at Multiple-Street Intersections","Gershenson",2004,"arXiv","Adaptive vs Fixed-Time","Threshold-based self-organisation without central control","Decentralised baseline"
66,"Swarm-Based Controller for Traffic Lights Management","Various",2015,"Springer","Adaptive vs Fixed-Time","Swarm intelligence for decentralised traffic control","Bio-inspired baseline"
67,"Smart Traffic Signals: Comparing MARL and Fixed-Time Strategies","Various",2025,"arXiv","Adaptive vs Fixed-Time","MARL consistently outperforms fixed-time across scenarios","MARL vs fixed-time comparison"
68,"Real-Time Adaptive TSC in Connected Vehicle Environment","Various",2022,"PMC","Adaptive vs Fixed-Time","RL with vehicle speed guidance in connected vehicle setting","Connected vehicle integration"
69,"Self-Learning Adaptive TSC for Real-Time Safety Optimization","Various",2020,"Accident Analysis & Prevention","Adaptive vs Fixed-Time","Safety-focused adaptive control with self-learning","Safety-aware adaptation"
70,"An Evaluation of SCOOT and SCATS through Microsimulation","Various",2006,"TRB","Adaptive vs Fixed-Time","SCOOT mixed reviews; SCATS generally positive from agencies","Real-world system evaluation"
71,"TransferLight: Zero-Shot Traffic Signal Control on any Road-Network","Various",2024,"arXiv","Open Challenges","Decentralised weight-tied policy for zero-shot transfer to any network","Transfer learning for HDR"
72,"GeneraLight: Improving Environment Generalization via Meta-RL","Various",2020,"CIKM","Open Challenges","Wasserstein GAN traffic flow generator + meta-RL for generalization","Meta-learning for HDR"
73,"ModelLight: Model-Based Meta-RL for TSC","Various",2021,"AAAI","Open Challenges","Ensemble of models + optimisation-based meta-learning for data efficiency","Data-efficient HDR"
74,"UniTSA: A Universal RL Framework for V2X TSC","Various",2023,"arXiv","Open Challenges","Traffic state augmentation for unseen intersections","Generalisation strategy"
75,"CROSS: A Mixture-of-Experts RL Framework for Generalizable Large-Scale TSC","Various",2025,"arXiv","Open Challenges","General Feature Extraction module for cross-scenario generalisation","Scalable generalisation"
76,"LLMLight: Large Language Models as Traffic Signal Control Agents","Lai et al.",2024,"KDD 2025","Open Challenges","Chain-of-Thought reasoning for traffic signal decisions; GPT-4o-mini 83% accuracy","LLM-based control"
77,"Traffic-R1: Reinforced LLMs Bring Human-Like Reasoning to TSC","Various",2025,"arXiv","Open Challenges","Lightweight reinforced LLM (Qwen2.5-3B) with two-stage agentic RL fine-tuning","LLM reasoning for TSC"
78,"CoLLMLight: Cooperative LLM Agents for Network-Wide TSC","Various",2025,"OpenReview","Open Challenges","First cooperative LLM agent framework for network-wide TSC","Cooperative LLM control"
79,"LLMs as Traffic Control Systems at Urban Intersections: A New Paradigm","Various",2025,"Vehicles","Open Challenges","LLMs as new paradigm for traffic control","Emerging direction"
80,"First Steps Towards Real-World Traffic Signal Control Optimisation by RL","Various",2024,"Journal of Simulation","Open Challenges","Real-world RL deployment challenges; action definition constraints","Sim-to-real gap"
81,"Traffic Co-Simulation Framework Empowered by Infrastructure Camera Sensing and RL","Various",2024,"arXiv","Open Challenges","Co-simulation with real camera data for sim-to-real transfer","Real-world validation"
82,"LLM Powered Sim-to-Real Transfer for Traffic Signal Control","Various",2023,"ResearchGate","Open Challenges","LLMs for bridging simulation-reality gap","Transfer strategy"
83,"Reproducible and Low-Cost Sim-to-Real Environment for TSC","Various",2025,"ResearchGate","Open Challenges","Low-cost real-world test environment for TSC","Deployment testing"
84,"A Scalable Approach to Optimize TSC with Federated RL","Various",2023,"Scientific Reports","Open Challenges","Federated learning for scalable signal control optimisation","Scalability solution"
85,"Transferable TSC: RL with Graph Centric State Representation","Various",2021,"Transportation Research Part C","Open Challenges","Graph-structured state enables flexible transfer across geometries","State representation for transfer"
86,"AI-Driven Traffic Signal Control System to Reduce CO2 Emissions","Various",2024,"CEUR-WS","Reward Engineering","DRL reduces CO2 emissions 21-27% vs fixed-time control","Emissions reward"
87,"Impact of DRL-Based TSC on Emission Reduction in Urban Road Networks","Various",2025,"Applied Energy","Reward Engineering","Cooperative vehicle-infrastructure systems for emission reduction","System-level emissions"
88,"Urban Eco-Network Traffic Control via MARL-Based Signals and Vehicle Speed Coordination","Various",2025,"Applied Sciences","Reward Engineering","MARL for combined signal timing and speed guidance with eco objectives","Multi-modal coordination"
89,"Deep RL for Traffic Light Timing Optimization","Various",2022,"Processes","RL for Traffic Signals","Systematic DRL approach to timing optimisation","Timing optimisation"
90,"Adaptive Traffic Signal Control Optimization Using Novel Road Partition","Various",2025,"arXiv","RL for Traffic Signals","Multi-channel state representation with road partitioning","State representation design"
91,"Sequence Decision Transformer for Adaptive TSC","Various",2024,"Sensors","RL for Traffic Signals","Decision transformer architecture for sequential signal decisions","Transformer for TSC"
92,"Traffic Light Optimization with Low Penetration Rate Vehicle Trajectory Data","Various",2024,"Nature Communications","Open Challenges","Optimisation with limited sensor coverage; practical deployment","Low-data regime"
93,"Expression is Enough: Improving TSC with Advanced Traffic State Representation","Various",2022,"ResearchGate","RL for Traffic Signals","Simple but expressive state representation suffices","Observation space design"
94,"A Novel Deep RL Approach to TSC with Connected Vehicles","Various",2023,"Applied Sciences","RL for Traffic Signals","Connected vehicle data for enriched state representation","CV-enhanced observation"
95,"Hierarchically and Cooperatively Learning TSC","Various",2021,"AAAI","Multi-Intersection Coordination","Hierarchical + cooperative learning for multi-intersection control","Combined hierarchy + cooperation"
96,"A Deep RL Model for Large-Scale TSC Based on Graph Meta-Learning Using Local Subgraphs","Various",2024,"Science China","Multi-Intersection Coordination","Graph meta-learning with local subgraphs for scalability","Meta-learning + graphs"
97,"A Survey on Multi-Agent RL for Adaptive Transportation Solutions","Various",2025,"SN Computer Science","Multi-Intersection Coordination","Comprehensive MARL survey: >60% of studies use MARL for TSC","Field overview"
98,"Intelligent TSC Based on RL: A Survey","Various",2026,"AI Review","RL for Traffic Signals","Comprehensive survey of RL-based intelligent TSC methods","Latest survey"
99,"A Survey of RL Approaches for Traffic Signal Control","Various",2025,"IJERT","RL for Traffic Signals","Survey of RL approaches focusing on practical applications","Applied survey"
100,"A Hierarchical Deep RL Framework for TSC with Predictable Cycle Planning","Various",2025,"arXiv","Multi-Intersection Coordination","Predictable cycle planning within hierarchical RL","Cycle planning design"
101,"Frontiers: Multi-agent RL Framework for Autonomous TSC in Smart Cities","Various",2025,"Frontiers in Mechanical Engineering","Multi-Intersection Coordination","Autonomous multi-agent TSC for smart city deployment","Smart city integration"
102,"Dynamic Traffic Flow Optimization Using RL and Predictive Analytics","Various",2025,"Sustainability","Open Challenges","Combined RL + predictive analytics for Belgrade case study","Predictive analytics integration"
103,"Multi-Level Speed Guidance Cooperative Approach Based on Bidirectional Periodic Green Wave","Various",2025,"PMC","Traffic Flow Fundamentals","Speed guidance + green wave coordination in connected environment","Speed + signal co-optimisation"
104,"Real-Time Traffic Signal Optimization for Urban Mobility: RL-Enhanced Framework","Various",2025,"Frontiers in Robotics and AI","Open Challenges","Real-time RL framework applied to Kuwait City","Real-world deployment"
105,"A Survey of RL and DRL for Coordination in Intelligent Traffic Light Control","Various",2025,"Journal of Big Data","Multi-Intersection Coordination","Comprehensive coordination survey covering RL and DRL approaches","Coordination survey"
106,"Multi-Agent Deep RL with GAT for TSC in Multiple-Intersection Urban Areas","Yang et al.",2025,"Transportation Research Record","Multi-Intersection Coordination","GAT-based MARL for multiple intersection coordination","GAT coordination architecture"
