id,title,authors,year,type,domain,subcategory,method,features_discussed,key_finding,hypothesis_generated,relevance
27,Solar Flare Prediction Using Advanced Feature Extraction,Ahmed et al.,2013,paper,ML,feature selection,CCNN,"21 magnetic features",Top 6 features comparable to all 21,Aggressive feature selection justified,3
28,LOS Magnetic Field and Solar Flare Forecasts,Sadykov & Kosovichev,2017,paper,ML,PIL features,SVM,PIL characteristics from LOS,TSS=0.76 M+ TSS=0.84 X+ from PIL features alone,PIL-specific features from LOS are powerful,4
29,Deep Flare Net Model for Solar Flare Prediction,Nishizuka et al.,2018,paper,DL,multi-wavelength,DNN skip connections,"79 features magnetogram+EUV",TSS=0.80 M+ TSS=0.63 C+,Multi-wavelength data improves prediction,4
30,Operational Deep Flare Net,Nishizuka et al.,2021,paper,DL,operational,DeFN,SHARP + EUV features,Operational TSS 0.70-0.84 C+; running since 2019,Operational DL deployment is achievable,4
31,Deep CNN Forecast from Full-Disk Magnetograms,Park et al.,2018,paper,DL,image-based,CNN AlexNet GoogLeNet,full-disk magnetograms,CNNs learn from raw magnetograms without features,Image-based DL viable alternative,3
32,Predicting Solar Flares Using LSTM,Liu et al.,2019,paper,DL,temporal,"LSTM","25 SHARP + 15 history features",14-22 features achieve better than all 40; temporal modeling helps,Temporal SHARP evolution captures pre-flare signatures,4
33,Identifying Solar Flare Precursors Using Time Series,Chen et al.,2019,paper,DL,precursors,LSTM + autoencoder,HMI vector magnetograms,Pre-flare signature detectable ~20 hours before,20-hour pre-flare window has operational value,4
34,SolarFlareNet: Transformer-Based Framework,Abduallah et al.,2023,paper,DL,transformer,"CNN+LSTM+Transformer",SHARP parameters,Predicts flares 24-72 hours ahead,Transformer captures long-range temporal dependencies,3
35,Solar Flare Forecasting Based on Swin Transformer and TCN,various,2025,paper,DL,vision transformer,SwinTCN-Att,magnetogram sequences,TSS=0.825 C+ TSS=0.879 M+ — SOTA,Vision transformers + TCN = current state-of-the-art,3
36,SHARPs Space-Weather HMI Active Region Patches,Bobra et al.,2014,paper,features,SHARP definition,pipeline,16+ SHARP indices,Defined canonical SHARP feature set at 12-min cadence,SHARP parameters are canonical inputs,5
37,MAG4 Forecasting from Free Magnetic Energy Proxy,Falconer et al.,2011,paper,features,free energy,WLsg proxy,free-energy proxy + flare history,Combined with flare history for strong performance,Prior flare history consistently valuable,4
38,How to Train Your Flare Prediction Model,Ahmadzadeh et al.,2021,paper,methodology,sampling,systematic study,"SWAN-SF benchmark",Improper CV inflates scores; temporal coherence mandatory,Always split chronologically; no AR overlap,5
39,SWAN-SF Multivariate Time Series Dataset,Angryk et al.,2020,paper,benchmark,dataset,MVTS,"51 SHARP parameters",Community-standard benchmark with known challenges,SWAN-SF is the standard benchmark,4
40,Evaluation of Yes/No Forecasts,Woodcock,1976,paper,metrics,theory,statistical analysis,forecast verification,TSS is the only metric independent of event/non-event ratio,TSS is universally correct for rare events,5
41,Solar Cycle Dependence in Flare Prediction,Wang et al.,2020,paper,methodology,temporal,LSTM,SHARP parameters,Skill depends on solar cycle phase; chronological split mandatory,Train/test across cycle boundaries to test generalization,4
42,Flare Forecasting at the Met Office,Murray et al.,2017,paper,operational,Met Office,McIntosh + human,"McIntosh classification",Human-edited forecasts outperform automated,Operational considerations constrain model design,3
43,Why Is AR 12192 Flare-Rich but CME-Poor,Sun et al.,2015,paper,physics,eruptiveness,SHARP analysis,SHARP parameters,Large free energy alone insufficient for eruptiveness,Flare prediction and CME prediction are distinct,3
44,Flare Observations,Benz,2017,review,physics,observations,multi-wavelength,various,Coronal sources appear before hard X-ray emission,Multi-wavelength context important,3
45,The Magnetic Nature of Solar Flares,Priest & Forbes,2002,review,physics,MHD theory,reconnection models,various,MHD catastrophe drives eruption; reconnection produces ribbons,Reconnection physics informs feature design,3
46,Magnetic Reconnection MHD Theory,Priest & Forbes,2000,book,physics,textbook,MHD theory,various,Standard reconnection textbook,Foundation for understanding flare physics,3
47,Heliophysics (3 volumes),Schrijver & Siscoe,2009,book,physics,textbook,comprehensive,various,Comprehensive solar/heliospheric physics,Reference for domain fundamentals,3
48,The Magnetic Polarity of Sun-Spots,Hale et al.,1919,paper,physics,foundational,observation,sunspot polarity,Established Hale's polarity law,Foundation of magnetic classification,2
49,Automated Solar Activity Prediction ASAP,Colak & Qahwaji,2009,paper,ML,automated,NN SVM RBF,MDI images,End-to-end automated prediction from imagery feasible,Automated pipeline is viable,3
50,Solar Flare Prediction with Machine Learning and Sunspot Associations,Qahwaji & Colak,2007,paper,ML,McIntosh ML,SVM CCNN RBFN,numerical McIntosh,SVMs best for binary; CCNNs for multiclass,McIntosh can be effectively encoded for ML,4
