id,authors,year,title,venue,url,tag,key_finding_1sentence
22,Bliemel M & Flores R,2015,Accelerators as Start-Up Infrastructure for Entrepreneurial Clusters,Entrepreneurship & Regional Development 31(1-2) 133-149,https://doi.org/10.1080/08985626.2018.1537152,accelerator-core,Accelerators act as institutional infrastructure connecting startups to investors mentors and customers in regional clusters.
23,Dempwolf C S & Auer J,2014,Innovation Accelerators: Defining Characteristics Among Startup Assistance Organizations,US Small Business Administration Research Report,https://www.sba.gov/sites/default/files/rs425-Innovation-Accelerators-Report-FINAL.pdf,accelerator-core,Proposes a taxonomy of innovation accelerators; finds YC Techstars and 500 Startups as distinct category with cohort equity investment.
24,Madaleno M & Mateus C,2020,Business accelerators: A systematic literature review,Journal of Economic Surveys 35(1) 111-152,https://doi.org/10.1111/joes.12390,accelerator-meta,Systematic review of 150+ papers; concludes accelerator impact literature is underdeveloped with selection problems dominating.
25,Crisan E L et al.,2021,Are incubators and accelerators the same thing? A meta-analytic review of the literature,Studies in Higher Education 46(9) 1950-1963,https://doi.org/10.1080/0251712X.2019.1666960,accelerator-meta,Meta-analysis shows incubators and accelerators produce distinguishable outcomes; accelerator effects are larger but noisier.
26,Del Sarto N & Di Minin A,2020,Meta-analysis on acceleration and growth of startups,Technological Forecasting and Social Change 151,https://doi.org/10.1016/j.techfore.2019.119800,accelerator-meta,Across 24 studies accelerator participation increases mean revenue and funding but effect shrinks after controlling for selection.
27,Sharma L & Arya P P,2025,A meta-analysis towards the effectiveness of startup accelerators,Journal of Technology Transfer 50,https://link.springer.com/article/10.1007/s10961-025-10218-6,accelerator-meta,Meta-analysis of effects across ~30 studies; positive average accelerator effect on funding (d~0.2) small and heterogeneous.
28,Stayton J & Mangematin V,2019,Seed accelerators and the speed of new venture creation,Journal of Technology Transfer 44 1163-1187,https://doi.org/10.1007/s10961-017-9646-0,accelerator-core,Accelerators compress venture creation timeline; ventures reach key milestones roughly twice as fast as non-accelerated peers.
29,Goswami K Mitchell J R & Bhagavatula S,2018,Accelerator expertise: Understanding the intermediary role of accelerators in the development of the Bangalore entrepreneurial ecosystem,Strategic Entrepreneurship Journal 12(1) 117-150,https://doi.org/10.1002/sej.1281,accelerator-core,Accelerators act as intermediaries transferring expertise across cohorts; value-add varies by program selectivity and mentor quality.
30,Gonzalez-Uribe J & Reyes S,2021,Identifying and boosting gazelles: Evidence from business accelerators,Journal of Financial Economics 139(1) 260-287,https://doi.org/10.1016/j.jfineco.2020.07.012,accelerator-core,RDD shows top-ranked accelerator applicants (gazelles) experience +40% employment growth from program; below-median applicants see no effect.
31,Kerr W R Lerner J & Schoar A,2014,The Consequences of Entrepreneurial Finance: Evidence from Angel Financings,Review of Financial Studies 27(1) 20-55,https://academic.oup.com/rfs/article-abstract/27/1/20/1571221,angel-finance,Ventures just above angel funding threshold show better survival exits and employment but no significant difference in follow-on financing.
32,Lerner J Schoar A Sokolinski S & Wilson K,2018,The globalization of angel investments: Evidence across countries,Journal of Financial Economics 127(1) 1-20,https://doi.org/10.1016/j.jfineco.2017.05.012,angel-finance,Angel funding improves survival and exit outcomes across 21 countries even when VC networks are weak.
33,Hsu D H,2004,What Do Entrepreneurs Pay for Venture Capital Affiliation?,Journal of Finance 59(4) 1805-1844,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2004.00680.x,vc-certification,High-reputation VC offers are 3x more likely to be accepted and command a 10-14% valuation discount (certification effect).
34,Hsu D H,2006,Venture Capitalists and Cooperative Start-up Commercialization Strategy,Management Science 52(2) 204-219,https://doi.org/10.1287/mnsc.1050.0480,vc-certification,VC-backed startups more likely to choose cooperative commercialization (licensing/alliance) than comparable SBIR-funded peers.
35,Puri M & Zarutskie R,2012,On the Life Cycle Dynamics of Venture-Capital and Non-Venture-Capital-Financed Firms,Journal of Finance 67(6) 2247-2293,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2012.01786.x,startup-survival,VC-financed firms grow to larger scale than matched non-VC firms but are not more profitable; less than 0.2% of firms ever get VC.
36,Bernstein S Giroud X & Townsend R R,2016,The Impact of Venture Capital Monitoring,Journal of Finance 71(4) 1591-1622,https://onlinelibrary.wiley.com/doi/10.1111/jofi.12370,vc-monitoring,Exogenous reduction in VC-portfolio travel time (new airline routes) raises innovation and successful exits; VC value-add is real not selection.
37,Kaplan S N & Stromberg P,2003,Financial Contracting Theory Meets the Real World: An Empirical Analysis of Venture Capital Contracts,Review of Economic Studies 70(2) 281-315,https://doi.org/10.1111/1467-937X.00245,vc-contracting,VC term sheets separate cash flow voting board and liquidation rights contingent on performance; consistent with financial-contracting theory.
38,Kaplan S N & Stromberg P,2004,Characteristics Contracts and Actions: Evidence from Venture Capitalist Analyses,Journal of Finance 59(5) 2177-2210,https://doi.org/10.1111/j.1540-6261.2004.00696.x,vc-contracting,VC investment memoranda reveal team/market/strategy scoring that predicts outcomes; contracts change contingent on these ex ante risks.
39,Hochberg Y V Ljungqvist A & Lu Y,2007,Whom You Know Matters: Venture Capital Networks and Investment Performance,Journal of Finance 62(1) 251-301,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.2007.01207.x,vc-networks,Better-networked VCs achieve more successful exits and their portfolio companies more likely to survive follow-on rounds.
40,Sorensen M,2007,How Smart Is Smart Money? A Two-Sided Matching Model of Venture Capital,Journal of Finance 62(6) 2725-2762,https://doi.org/10.1111/j.1540-6261.2007.01291.x,vc-matching,Two-sided matching of VCs and startups; most measured VC value-add is actually sorting (better deals to better VCs).
41,Chen H Gompers P Kovner A & Lerner J,2010,Buy Local? The Geography of Venture Capital,Journal of Urban Economics 67(1) 90-102,https://doi.org/10.1016/j.jue.2009.09.013,vc-geography,VC-backed companies concentrate in San Francisco Boston and New York; out-of-area investments underperform local ones.
42,Kerr W R Nanda R & Rhodes-Kropf M,2014,Entrepreneurship as Experimentation,Journal of Economic Perspectives 28(3) 25-48,https://www.aeaweb.org/articles?id=10.1257/jep.28.3.25,startup-theory,Entrepreneurship is serial experimentation under skewed unknown returns; agency and coordination problems shape which experiments get run.
43,Lerner J,2012,The Architecture of Innovation: The Economics of Creative Organizations,Harvard Business Review Press Book,https://www.hbs.edu/faculty/Pages/item.aspx?num=42801,startup-theory,Links VC and corporate innovation; argues cohort-based models reduce moral-hazard costs of financing experimentation.
44,Nanda R & Rhodes-Kropf M,2013,Investment cycles and startup innovation,Journal of Financial Economics 110(2) 403-418,https://doi.org/10.1016/j.jfineco.2013.07.001,vc-cycles,Startups funded in hot VC markets are more innovative but also more likely to fail; VC cycle affects risk-taking.
45,Nanda R & Rhodes-Kropf M,2017,Financing risk and innovation,Management Science 63(4) 901-918,https://doi.org/10.1287/mnsc.2015.2350,vc-cycles,Models how investors willingness to fund follow-on rounds determines which initial experiments get tried at all.
46,Kwon S Lowry M & Qian Y,2020,Mutual fund investments in private firms,Journal of Financial Economics 136(2) 407-443,https://doi.org/10.1016/j.jfineco.2019.10.003,late-stage-capital,Mutual funds late-stage private investments grew from $16M (1995) to $8B (2015); 39% of VC-backed 2016 IPOs had MF financing.
47,Ewens M & Farre-Mensa J,2020,The Deregulation of the Private Equity Markets and the Decline in IPOs,Review of Financial Studies 33(12) 5463-5509,https://doi.org/10.1093/rfs/hhaa053,late-stage-capital,NSMIA (1996) deregulation expanded late-stage private capital supply; startups stay private longer; IPO decline is supply-side.
48,Rosenbaum P R & Rubin D B,1983,The Central Role of the Propensity Score in Observational Studies for Causal Effects,Biometrika 70(1) 41-55,https://academic.oup.com/biomet/article-abstract/70/1/41/240879,methods-propensity,Introduces propensity score; adjustment on it suffices to remove bias from all observed covariates under strong ignorability.
49,Imbens G W & Rubin D B,2015,Causal Inference for Statistics Social and Biomedical Sciences: An Introduction,Cambridge University Press Textbook,https://www.cambridge.org/core/books/causal-inference-for-statistics-social-and-biomedical-sciences/71126BE90C58F1A431FE9B2DD07938AB,methods-textbook,Canonical textbook on potential outcomes; chapters on propensity matching subclassification and IV directly apply here.
50,Angrist J D & Pischke J S,2009,Mostly Harmless Econometrics: An Empiricists Companion,Princeton University Press Textbook,https://press.princeton.edu/books/paperback/9780691120355/mostly-harmless-econometrics,methods-textbook,Practical guide to matching DiD IV and RD; warns that matching does NOT solve unobserved-confounder bias.
51,Gompers P A & Lerner J,2004,The Venture Capital Cycle 2nd Edition,MIT Press Textbook,https://mitpress.mit.edu/9780262572385/the-venture-capital-cycle/,vc-textbook,Comprehensive overview of fundraising investing and exit phases in VC; baseline reference for industry structure.
52,Metrick A & Yasuda A,2010,Venture Capital and the Finance of Innovation 2nd Edition,Wiley Textbook,https://www.wiley.com/en-us/Venture+Capital+and+the+Finance+of+Innovation%2C+2nd+Edition-p-9780470454701,vc-textbook,Quantitative reference for VC economics; fund structures carry waterfall and valuation mechanics.
53,Cumming D & Johan S,2013,Venture Capital and Private Equity Contracting: An International Perspective 2nd Edition,Academic Press Textbook,https://www.elsevier.com/books/venture-capital-and-private-equity-contracting/cumming/978-0-12-409596-0,vc-textbook,Textbook on VC/PE contracts across jurisdictions; documents term variation that affects measured outcomes.
54,Rosenbaum P R,2002,Observational Studies 2nd Edition,Springer Textbook,https://doi.org/10.1007/978-1-4757-3692-2,methods-textbook,Introduces Rosenbaum Gamma sensitivity bounds; essential for quantifying how large unobserved confounder would need to be to overturn findings.
55,Hernan M A & Robins J M,2020,Causal Inference: What If,CRC Press Textbook,https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/,methods-textbook,Modern treatment of counterfactual inference including g-methods and target trial emulation relevant to accelerator timing.
56,Stuart E A,2010,Matching methods for causal inference: A review and a look forward,Statistical Science 25(1) 1-21,https://doi.org/10.1214/09-STS313,methods-propensity,Review of matching variants (NN propensity Mahalanobis CEM); strong guidance on diagnostics and balance checking.
57,Iacus S M King G & Porro G,2012,Causal Inference Without Balance Checking: Coarsened Exact Matching,Political Analysis 20(1) 1-24,https://doi.org/10.1093/pan/mpr013,methods-propensity,Introduces Coarsened Exact Matching; guarantees balance on coarsened covariates without iterative balance checking.
58,Dehejia R H & Wahba S,2002,Propensity Score-Matching Methods for Nonexperimental Causal Studies,Review of Economics and Statistics 84(1) 151-161,https://doi.org/10.1162/003465302317331982,methods-propensity,Applied demo of propensity matching vs experimental benchmark; matching recovers experimental estimate when overlap is good.
59,King G & Nielsen R,2019,Why Propensity Scores Should Not Be Used for Matching,Political Analysis 27(4) 435-454,https://doi.org/10.1017/pan.2019.11,methods-propensity,Critique: propensity matching can increase imbalance and model dependence; recommends CEM/Mahalanobis instead.
60,Abadie A & Imbens G W,2006,Large Sample Properties of Matching Estimators for Average Treatment Effects,Econometrica 74(1) 235-267,https://doi.org/10.1111/j.1468-0262.2006.00655.x,methods-propensity,Asymptotic theory for matching estimators; bias-corrected matching is root-n consistent under overlap.
61,Abadie A et al.,2010,Synthetic Control Methods for Comparative Case Studies: Estimating the Effect of Californias Tobacco Control Program,Journal of the American Statistical Association 105(490) 493-505,https://doi.org/10.1198/jasa.2009.ap08746,methods-synthetic-control,Synthetic control method: weighted combination of untreated units approximates counterfactual; applicable to single-treatment units like individual YC batches.
62,Abadie A,2021,Using Synthetic Controls: Feasibility Data Requirements and Methodological Aspects,Journal of Economic Literature 59(2) 391-425,https://doi.org/10.1257/jel.20191450,methods-synthetic-control,Review of synthetic control applications and requirements; pre-period fit and donor pool matter more than covariate match.
63,Athey S & Imbens G W,2017,The State of Applied Econometrics: Causality and Policy Evaluation,Journal of Economic Perspectives 31(2) 3-32,https://doi.org/10.1257/jep.31.2.3,methods-review,Survey of DiD RD IV matching and synthetic control for policy evaluation; recommends design-based robustness.
64,Chernozhukov V et al.,2018,Double/debiased machine learning for treatment and structural parameters,The Econometrics Journal 21(1) C1-C68,https://doi.org/10.1111/ectj.12097,methods-dml,Double ML lets ML estimate nuisance (propensity outcome) functions while keeping treatment effect estimate root-n; relevant for high-dim YC covariates.
65,Wager S & Athey S,2018,Estimation and Inference of Heterogeneous Treatment Effects using Random Forests,Journal of the American Statistical Association 113(523) 1228-1242,https://doi.org/10.1080/01621459.2017.1319839,methods-het,Causal forests estimate heterogeneous treatment effects; applicable to YC effect moderated by sector batch founder type.
66,Athey S Tibshirani J & Wager S,2019,Generalized Random Forests,Annals of Statistics 47(2) 1148-1178,https://doi.org/10.1214/18-AOS1709,methods-het,Generalization of causal forests; robust inference on local moments including CATE.
67,Chernozhukov V Escanciano J C Ichimura H Newey W K & Robins J M,2022,Locally robust semiparametric estimation,Econometrica 90(4) 1501-1535,https://doi.org/10.3982/ECTA16294,methods-dml,Locally-robust orthogonal moments reduce sensitivity to nuisance estimation error; best practice for PSM with ML.
68,Rosenbaum P R,2004,Design of Observational Studies 2nd Edition,Springer Textbook,https://doi.org/10.1007/978-1-4419-1213-8,methods-textbook,Detailed treatment of matched designs sensitivity analysis and hidden-bias bounds for observational inference.
69,Heckman J J,1979,Sample Selection Bias as a Specification Error,Econometrica 47(1) 153-161,https://doi.org/10.2307/1912352,methods-selection,Classic: selection on unobservables produces biased OLS; Heckman correction reduces bias if exclusion restriction holds.
70,Heckman J J Ichimura H & Todd P,1997,Matching as an Econometric Evaluation Estimator: Evidence from Evaluating a Job Training Programme,Review of Economic Studies 64(4) 605-654,https://doi.org/10.2307/2971733,methods-propensity,Matching reproduces experimental benchmark only when common support and rich covariates exist; motivates covariate breadth.
71,Imbens G W,2004,Nonparametric Estimation of Average Treatment Effects under Exogeneity: A Review,Review of Economics and Statistics 86(1) 4-29,https://doi.org/10.1162/003465304323023651,methods-propensity,Review of ATE estimators under selection on observables; emphasises the need for overlap and covariate balance.
72,Imbens G W & Wooldridge J M,2009,Recent Developments in the Econometrics of Program Evaluation,Journal of Economic Literature 47(1) 5-86,https://doi.org/10.1257/jel.47.1.5,methods-review,Comprehensive review; practical recommendations on matching weighting and DiD for program evaluation.
73,Rubin D B,1974,Estimating Causal Effects of Treatments in Randomized and Nonrandomized Studies,Journal of Educational Psychology 66(5) 688-701,https://doi.org/10.1037/h0037350,methods-foundation,Foundational paper establishing potential outcomes framework used throughout this project.
74,Rubin D B,2006,Matched Sampling for Causal Effects,Cambridge University Press Textbook,https://www.cambridge.org/core/books/matched-sampling-for-causal-effects/BDB1EF46C0C2A7F1F7B28E90A47B91F0,methods-textbook,Rubin collected papers on matched sampling; direct technical reference for 1-to-k matching and caliper rules.
75,Bloom N Sadun R & Van Reenen J,2019,Does Management Matter? Evidence from India,Quarterly Journal of Economics 128(1) 1-51,https://doi.org/10.1093/qje/qjs044,mgmt-quality,RCT shows better management practices raise firm productivity 17%; relevant to accelerator curriculum mechanism.
76,Bloom N et al.,2020,Do CEOs Matter? US Evidence,Review of Financial Studies 33(4) 1665-1713,https://doi.org/10.1093/rfs/hhz077,mgmt-quality,CEO effects on firm performance are large; supports idea that founder quality (selected on by YC) dominates post-program mechanics.
77,Kaplan S N Sensoy B A & Stromberg P,2009,Should Investors Bet on the Jockey or the Horse? Evidence from the Evolution of Firms from Early Business Plans to Public Companies,Journal of Finance 64(1) 75-115,https://doi.org/10.1111/j.1540-6261.2008.01429.x,founder-vs-idea,Businesses change but founders are stable; early business plan maps poorly to eventual exit; bet on the horse not the jockey.
78,Gompers P A Kovner A Lerner J & Scharfstein D,2010,Performance persistence in entrepreneurship,Journal of Financial Economics 96(1) 18-32,https://doi.org/10.1016/j.jfineco.2009.11.001,founder-vs-idea,Serial entrepreneurs who succeeded once have 30% success rate vs 18% for first-timers; founder track record persists.
79,Eggers J P & Song L,2015,Dealing with Failure: Serial Entrepreneurs and the Costs of Changing Industries Between Ventures,Academy of Management Journal 58(6) 1785-1803,https://doi.org/10.5465/amj.2014.0050,founder-vs-idea,Serial entrepreneurs lose their advantage when switching industries; experience is industry-specific.
80,Azoulay P Jones B F Kim J D & Miranda J,2020,Age and High-Growth Entrepreneurship,American Economic Review: Insights 2(1) 65-82,https://doi.org/10.1257/aeri.20180582,founder-demographics,Mean age of successful founders (top 0.1% growth firms) is 45; contradicts young-founder stereotype that drives YC selection.
81,Levine R & Rubinstein Y,2017,Smart and Illicit: Who Becomes an Entrepreneur and Do They Earn More?,Quarterly Journal of Economics 132(2) 963-1018,https://doi.org/10.1093/qje/qjw044,founder-demographics,Entrepreneurs score high on cognitive ability AND on illicit/risk-taking behaviours in adolescence; selection is not on ability alone.
82,Bernstein S Korteweg A & Laws K,2017,Attracting Early-Stage Investors: Evidence from a Randomized Field Experiment,Journal of Finance 72(2) 509-538,https://doi.org/10.1111/jofi.12470,investor-matching,RCT: investors respond strongly to founder information more than to team or traction; demo-day pitches reflect this.
83,Gornall W & Strebulaev I A,2020,Squaring Venture Capital Valuations with Reality,Journal of Financial Economics 135(1) 120-143,https://doi.org/10.1016/j.jfineco.2018.04.015,valuation,Unicorn valuations are overstated ~48% on average once preferred share rights are priced; headline valuations a noisy outcome.
84,Hochberg Y V Ljungqvist A & Vissing-Jorgensen A,2014,Informational Holdup and Performance Persistence in Venture Capital,Review of Financial Studies 27(1) 102-152,https://doi.org/10.1093/rfs/hht046,vc-performance,Existing investors use private information to hold up follow-on rounds; creates path dependence in fund performance.
85,Kaplan S N & Schoar A,2005,Private Equity Performance: Returns Persistence and Capital Flows,Journal of Finance 60(4) 1791-1823,https://doi.org/10.1111/j.1540-6261.2005.00780.x,vc-performance,PE/VC fund returns persist across funds of same GP; suggests GP-level (not just selection) value add.
86,Korteweg A & Sorensen M,2017,Skill and Luck in Private Equity Performance,Journal of Financial Economics 124(3) 535-562,https://doi.org/10.1016/j.jfineco.2017.03.006,vc-performance,Most VC return variation is luck; only modest evidence of persistent skill at fund level.
87,Ewens M Rhodes-Kropf M & Strebulaev I A,2016,Insider Financing and Venture Capital Returns,Stanford Working Paper,https://www.gsb.stanford.edu/faculty-research/working-papers/insider-financing-venture-capital-returns,vc-performance,Insider-led rounds correlate with later underperformance; may create selection bias in YC follow-on samples.
88,Howell S T,2017,Financing Innovation: Evidence from R&D Grants,American Economic Review 107(4) 1136-1164,https://doi.org/10.1257/aer.20150808,grants-rdd,RDD shows SBIR Phase I grants (~$150k) double likelihood of obtaining VC; small certification grants can change trajectories.
89,Howell S T,2020,Reducing Information Frictions in Venture Capital: The Role of New Venture Competitions,Journal of Financial Economics 136(3) 676-694,https://doi.org/10.1016/j.jfineco.2019.11.001,pitch-competitions,New venture competitions reduce information frictions; winners more likely to raise follow-on capital.
90,Ewens M Nanda R & Rhodes-Kropf M,2018,Cost of experimentation and the evolution of venture capital,Journal of Financial Economics 128(3) 422-442,https://doi.org/10.1016/j.jfineco.2018.03.001,vc-cycles,Cloud and AWS lowered startup experimentation costs around 2005; explains rise of seed-stage accelerator model.
91,Lerner J & Nanda R,2020,Venture Capitals Role in Financing Innovation: What We Know and How Much We Still Need to Learn,Journal of Economic Perspectives 34(3) 237-261,https://doi.org/10.1257/jep.34.3.237,vc-review,VC plays narrow role in financing innovation; many gaps remain including about accelerators.
92,Da Rin M Hellmann T & Puri M,2013,A Survey of Venture Capital Research,Handbook of the Economics of Finance 2 573-648,https://doi.org/10.1016/B978-0-44-453594-8.00008-2,vc-review,Canonical survey of VC research up to 2013; identifies causal identification as the central open challenge.
93,Gompers P A Gornall W Kaplan S N & Strebulaev I A,2020,How do venture capitalists make decisions?,Journal of Financial Economics 135(1) 169-190,https://doi.org/10.1016/j.jfineco.2019.06.011,vc-review,Survey of 885 VC partners: deals come from networks; founding team most important factor; consistent with YC selection story.
94,Bengtsson O,2013,Relational venture capital financing of serial founders,Journal of Financial Intermediation 22(3) 308-334,https://doi.org/10.1016/j.jfi.2013.02.001,founder-vs-idea,Serial founders relationship with prior VC predicts terms; relevant since YC alumni tap YC-network investors.
95,Samila S & Sorenson O,2011,Venture Capital Entrepreneurship and Economic Growth,Review of Economics and Statistics 93(1) 338-349,https://doi.org/10.1162/REST_a_00066,vc-ecosystem,VC availability causally raises regional entrepreneurship and employment; instrument is endowment returns.
96,Ozmel U Reuer J J & Gulati R,2013,Signals Across Multiple Networks: How Venture Capital and Alliance Networks Affect Interorganizational Collaboration,Academy of Management Journal 56(3) 852-866,https://doi.org/10.5465/amj.2011.0549,vc-networks,Startup position in VC and alliance networks jointly signals quality to potential partners.
97,Gonzalez-Uribe J,2020,Exchanges of Innovation Resources Inside Venture Capital Portfolios,Journal of Financial Economics 135(1) 144-168,https://doi.org/10.1016/j.jfineco.2019.07.006,vc-networks,VC portfolio companies exchange innovation resources; YC cohort may be a substitute for this within one batch.
98,Bernstein S Giroud X & Townsend R R,2016,The Impact of Venture Capital Monitoring: Evidence from a Natural Experiment,NBER Working Paper w20309,https://www.nber.org/papers/w20309,vc-monitoring,NBER working paper version of Journal of Finance 2016; referenced separately since it contains additional robustness appendix.
99,Ewens M & Marx M,2018,Founder Replacement and Startup Performance,Review of Financial Studies 31(4) 1532-1565,https://doi.org/10.1093/rfs/hhx130,founder-replacement,Forced founder replacement improves startup performance when the founder was underperforming; relevant to post-YC exits.
100,Lindsey L,2008,Blurring Firm Boundaries: The Role of Venture Capital in Strategic Alliances,Journal of Finance 63(3) 1137-1168,https://doi.org/10.1111/j.1540-6261.2008.01354.x,vc-networks,VC-backed firms form alliances with other VC-portfolio companies; documents the network advantage of VC portfolio.
101,Gompers P A Gornall W Kaplan S N & Strebulaev I A,2022,Venture Capitalists and COVID-19,Journal of Financial and Quantitative Analysis 57(6) 2360-2386,https://doi.org/10.1017/S0022109022000795,vc-shocks,VCs reallocated toward later-stage deals during COVID; exogenous shock to cohort composition 2020-21.
