id,title,authors,year,type,domain,subcategory,method,key_finding,hypothesis_generated,relevance
3021,Emergent abilities of large language models,"Wei, J.; Tay, Y.; Bommasani, R.; Raffel, C.; Barret, Z.; Metzler, D.; Chi, E.H.; Hashimoto, T.; Vinyals, O.; Liang, P.; Dean, J.; Fedus, W.",2022,paper,scaling,emergence,empirical,"Specific capabilities (arithmetic, instruction-following) appear abruptly above scale thresholds",Emergent-capability boundaries could correspond to activation-criticality phase transitions; test on nanoGPT size sweep,4
3022,Are emergent abilities of large language models a mirage?,"Schaeffer, R.; Miranda, B.; Koyejo, S.",2023,paper,scaling,emergence,critique,"Most emergent abilities vanish under smooth metrics; argue emergence is an artefact of discontinuous metrics",Methodological warning: critical-looking transitions may be metric artefacts; use smooth order parameters,5
3023,A mathematical framework for transformer circuits,"Elhage, N.; Nanda, N.; Olsson, C.; Henighan, T.; Joseph, N.; Mann, B.; Askell, A.; Bai, Y.; Chen, A.; Conerly, T.; DasSarma, N.; Drain, D.; Ganguli, D.; Hatfield-Dodds, Z.; Hernandez, D.; Jones, A.; Kernion, J.; Lovitt, L.; Ndousse, K.; Amodei, D.; Brown, T.; Clark, J.; Kaplan, J.; McCandlish, S.; Olah, C.",2021,paper,mech_interp,transformer_circuits,reverse_engineering,"Decomposes attention-only transformers into QK/OV circuits and virtual-head pathways; residual stream as communication channel",Residual stream is the natural substrate on which to compute avalanche/correlation statistics,5
3024,In-context learning and induction heads,"Olsson, C.; Elhage, N.; Nanda, N.; Joseph, N.; DasSarma, N.; Henighan, T.; Mann, B.; Askell, A.; Bai, Y.; Chen, A.; Conerly, T.; Drain, D.; Ganguli, D.; Hatfield-Dodds, Z.; Hernandez, D.; Johnston, S.; Jones, A.; Kernion, J.; Lovitt, L.; Ndousse, K.; Amodei, D.; Brown, T.; Clark, J.; Kaplan, J.; McCandlish, S.; Olah, C.",2022,paper,mech_interp,transformer_circuits,reverse_engineering,"Induction heads emerge via a phase transition during training; responsible for much in-context learning",Mid-training circuit emergence is a concrete phase transition — align with criticality measurements on nanoGPT,5
3025,Interpretability in the wild: a circuit for indirect object identification,"Wang, K.; Variengien, A.; Conmy, A.; Shlegeris, B.; Steinhardt, J.",2023,paper,mech_interp,transformer_circuits,activation_patching,"Reverse-engineers a specific 26-head circuit in GPT-2 small implementing the IOI task",Demonstrates sparse functional circuits in pretrained GPT-2 — evidence of highly organised (possibly scale-free) usage,4
3026,Towards monosemanticity: decomposing language models with dictionary learning,"Bricken, T.; Templeton, A.; Batson, J.; Chen, B.; Jermyn, A.; Conerly, T.; Turner, N.; Anil, C.; Denison, C.; Askell, A.; Lasenby, R.; Wu, Y.; Kravec, S.; Schiefer, N.; Maxwell, T.; Joseph, N.; Hatfield-Dodds, Z.; Tamkin, A.; Nguyen, K.; McLean, B.; Burke, J.E.; Hume, T.; Carter, S.; Henighan, T.; Olah, C.",2023,paper,mech_interp,sparse_autoencoders,dictionary_learning,"Sparse autoencoders recover interpretable monosemantic features from a 1-layer transformer; features form sparse overcomplete basis",SAE feature firings give natural unit set for avalanche analysis — active SAE features per token ≈ avalanche events,5
3027,Scaling monosemanticity: extracting interpretable features from Claude 3 Sonnet,"Templeton, A.; Conerly, T.; Marcus, J.; Lindsey, J.; Bricken, T.; Chen, B.; Pearce, A.; Citro, C.; Ameisen, E.; Jones, A.; Cunningham, H.; Turner, N.; McDougall, C.; MacDiarmid, M.; Tamkin, A.; Durmus, E.; Hume, T.; Mosconi, F.; Freeman, C.D.; Sumers, T.R.; Rees, E.; Batson, J.; Jermyn, A.; Carter, S.; Olah, C.; Henighan, T.",2024,paper,mech_interp,sparse_autoencoders,dictionary_learning,"Scaling SAEs to Claude 3 Sonnet recovers millions of features including safety-relevant ones",Feature count scales with model; test whether SAE-feature-firing distribution exhibits power laws,4
3028,Gemma Scope: open sparse autoencoders everywhere all at once on Gemma 2,"Lieberum, T.; Rajamanoharan, S.; Conmy, A.; Smith, L.; Sonnerat, N.; Varma, V.; Kramár, J.; Dragan, A.; Shah, R.; Nanda, N.",2024,paper,mech_interp,sparse_autoencoders,dictionary_learning,"Open-weights SAE suite trained on every layer/site of Gemma-2 2B/9B",Public SAEs available for layer-resolved criticality analysis — no SAE training needed,4
3029,Sparse autoencoders find highly interpretable features in language models,"Cunningham, H.; Ewart, A.; Riggs, L.; Huben, R.; Sharkey, L.",2023,paper,mech_interp,sparse_autoencoders,dictionary_learning,"Dictionary learning recovers more interpretable features than raw neurons in Pythia-70M/410M",Independent replication of SAE method; validates feature-firing-as-avalanche-unit assumption,4
3030,Locating and editing factual associations in GPT (ROME),"Meng, K.; Bau, D.; Andonian, A.; Belinkov, Y.",2022,paper,mech_interp,activation_patching,causal_tracing,"Causal-trace experiments localise factual knowledge to mid-layer MLPs in GPT; rank-one updates can edit facts",Causal tracing is gold-standard intervention protocol — adopt for avalanche-propagation experiments,4
3031,Localizing model behaviour with path patching,"Goldowsky-Dill, N.; MacLeod, C.; Sato, L.; Arora, A.",2023,paper,mech_interp,activation_patching,path_patching,"Path patching refines activation patching to isolate specific residual-stream paths",Methodology: which subcomponents of a forward pass are causally relevant for downstream activation,3
3032,Toy models of superposition,"Elhage, N.; Hume, T.; Olsson, C.; Schiefer, N.; Henighan, T.; Kravec, S.; Hatfield-Dodds, Z.; Lasenby, R.; Drain, D.; Chen, C.; Grosse, R.; McCandlish, S.; Kaplan, J.; Amodei, D.; Wattenberg, M.; Olah, C.",2022,paper,mech_interp,superposition,theory_and_empirical,"Networks represent more features than they have neurons via non-orthogonal superposition; phase transitions between monosemantic and polysemantic regimes",Superposition transitions are direct phase transitions — relate to criticality in feature-firing distribution,5
3033,Not all language model features are linear,"Engels, J.; Liao, I.; Michaud, E.J.; Gurnee, W.; Tegmark, M.",2024,paper,mech_interp,feature_geometry,empirical,"Some LLM features are inherently multi-dimensional (e.g. days of the week as a circle)",Feature geometry is non-trivial; avalanche clusters should be computed in appropriate feature geometry,3
3034,Universal neurons in GPT2 language models,"Gurnee, W.; Horsley, T.; Guo, Z.C.; Varma Manoj, T.; Tigges, C.; Kamath, U.; Bertsimas, D.",2024,paper,mech_interp,feature_geometry,empirical,"Small fraction (~1-5 percent) of GPT-2 neurons are universal across random seeds — they implement canonical functions (deletion, entropy control)",Universal neurons may be the 'hubs' in a scale-free neuron graph,4
3035,Finding neurons in a haystack: case studies with sparse probing,"Gurnee, W.; Nanda, N.; Pauly, M.; Harvey, K.; Troitskii, D.; Bertsimas, D.",2023,paper,mech_interp,feature_geometry,probing,"Sparse probes (k=1-32) find features that are surprisingly often localised to individual neurons in Pythia",Localisation vs distributed coding is a tunable property — relates to avalanche localisation,3
3036,The lazy neuron phenomenon: on emergence of activation sparsity in transformers,"Li, Z.; You, C.; Bhojanapalli, S.; Li, D.; Rawat, A.S.; Reddi, S.J.; Ye, K.; Chern, F.; Yu, F.; Guo, R.; Kumar, S.",2023,paper,activation_analysis,sparsity,empirical,"Trained transformers exhibit extreme activation sparsity — only tens of neurons active per token in MLP layers",Activation sparsity implies avalanche-size distributions are highly non-uniform; baseline for 'fraction active' statistic,5
3037,ReLU strikes back: exploiting activation sparsity in large language models,"Mirzadeh, I.; Alizadeh, K.; Mehta, S.; Del Mundo, C.C.; Tuzel, O.; Samei, G.; Rastegari, M.; Farajtabar, M.",2024,paper,activation_analysis,sparsity,empirical,"Replacing SiLU/GELU with ReLU in LLMs preserves quality while restoring ~95 percent activation sparsity",Activation function choice directly controls dead-unit fraction; impacts definition of avalanche events,4
3038,Deja Vu: contextual sparsity for efficient LLMs at inference time,"Liu, Z.; Wang, J.; Dao, T.; Zhou, T.; Yuan, B.; Song, Z.; Kailas, A.; Shrivastava, A.; Zhang, C.; Tian, Y.; Re, C.; Chen, B.",2023,paper,activation_analysis,sparsity,empirical,"Context-dependent activation sparsity — only 15-25 percent of MLP neurons contribute to each token; predictable from residual stream","Sparsity pattern is token-dependent — avalanches are context-conditional, not static",4
3039,MoEfication: transformer feed-forward layers are mixtures of experts,"Zhang, Z.; Lin, Y.; Liu, Z.; Li, P.; Sun, M.; Zhou, J.",2022,paper,activation_analysis,sparsity,empirical,"Dense FFN layers can be decomposed into sparsely-activated expert groups; suggests inherent modularity of FFN computation",Modular structure implies block-avalanche dynamics rather than homogeneous branching,3
3040,Deep residual learning for image recognition,"He, K.; Zhang, X.; Ren, S.; Sun, J.",2016,paper,network_topology,residual,empirical,"Residual connections allow training of 152-layer networks; identity shortcuts mitigate degradation",Skip connections are the central topology knob in the nanoGPT sweep — provide canonical citation,5
3041,Residual networks behave like ensembles of relatively shallow networks,"Veit, A.; Wilber, M.; Belongie, S.",2016,paper,network_topology,residual,empirical,"ResNets can be unrolled into an ensemble of O(2^L) paths with geometrically-distributed effective depths; most gradient flows through short paths",Effective-depth distribution is an avalanche-like statistic; direct precedent,5
3042,Deep learning systems as complex networks,"Testolin, A.; Piccolini, M.; Suweis, S.",2020,paper,network_topology,graph_analysis,empirical,"Trained DBNs analysed as graphs exhibit small-world and approximately scale-free connectivity",Direct precedent for treating a trained net as a complex network; look for transformer analogue,5
3043,Structure and performance of fully connected neural networks: emerging complex network properties,"Scabini, L.F.S.; Bruno, O.M.",2023,paper,network_topology,graph_analysis,empirical,"Weight-graph degree distributions of trained MLPs show power-law-like tails; structure correlates with generalisation",Weight-graph topology is a candidate observable alongside activation graphs,4
3044,Preferential attachment during the evolution of a potential energy landscape,"Watanabe, C.; Hiramatsu, K.; Kashino, K.",2020,paper,network_topology,graph_analysis,empirical,"Effective connectivity in trained deep networks exhibits scale-free structure consistent with preferential attachment during training",VERIFY venue — Front. Comp. Neuro. 2020; training as a growth process producing scale-free topology,4
3045,The critical brain hypothesis in deep learning,"Torres, J.J.; Morales, G.B.; di Santo, S.; Muñoz, M.A.",2023,paper,criticality_in_dl,criticality_rnns,empirical,"VERIFY exact authors/venue — claims that RNN-type networks organise near criticality during training",Direct precedent for criticality-in-trained-nets claim; check methodology,5
3046,Quasi-universal scaling in mouse-brain neuronal activity stems from edge-of-instability critical dynamics,"Morales, G.B.; di Santo, S.; Muñoz, M.A.",2023,paper,criticality_in_dl,criticality_theory,theory_and_empirical,"VERIFY — unifies edge-of-instability framework; cross-over between RNN dynamics and cortical activity",Framework may extend to transformer activations; bridge neuroscience and ML,4
3047,Fundamentals of recurrent neural network (RNN) and long short-term memory (LSTM) network,"Sherstinsky, A.",2020,paper,criticality_in_dl,rnn_review,review,"Comprehensive derivation of RNN/LSTM from differential-equation perspective",Background for treating transformer as dynamical system (via unrolled state),2
3048,Contrasting random and learned features in deep Bayesian linear regression,"Zavatone-Veth, J.A.; Canatar, A.; Ruben, B.S.; Pehlevan, C.",2022,paper,dl_theory,feature_learning,theory,"Analytical comparison of random vs trained features in deep Bayesian linear nets; feature-learning improves generalisation in a quantifiable regime",Distinguishes 'random-feature' null model from genuine feature-learning — critical for null-hypothesis design,3
3049,Transformer feed-forward layers are key-value memories,"Geva, M.; Schuster, R.; Berant, J.; Levy, O.",2021,paper,mech_interp,ffn_analysis,empirical,"FFN layers in transformers implement key-value memory lookups where keys detect patterns and values promote token distributions",FFN activations have specific semantic structure — natural boundary for defining avalanche events,4
3050,Knowledge neurons in pretrained transformers,"Dai, D.; Dong, L.; Hao, Y.; Sui, Z.; Chang, B.; Wei, F.",2022,paper,mech_interp,ffn_analysis,empirical,"Identifies knowledge neurons whose ablation specifically removes factual associations",Knowledge neurons are candidate 'hubs' — highly connected in functional-activation graph,3
3051,Eight things to know about large language models,"Bowman, S.R.",2023,paper,scaling,emergence,position,"Overview of LLM phenomenology including predictable scaling and unpredictable capability emergence",Situates emergence debate; useful context,2
3052,On the theory of implicit deep learning: global convergence with implicit layers,"Bai, S.; Kolter, J.Z.; Koltun, V.",2019,paper,dl_theory,implicit_models,theory,"VERIFY — foundational implicit/deep-equilibrium models paper",Deep-equilibrium nets are naturally fixed-point systems — Lyapunov analysis is immediate,2
3053,Pathways to emergence: universality and criticality in deep networks,"Pilarski, S.; et al.",2023,paper,criticality_in_dl,lyapunov,empirical_theory,"VERIFY author list and venue; Jacobian-spectrum proxies for maximal Lyapunov exponent in wide feedforward nets",Direct methodology for Lyapunov-in-deep-net; central citation for sensitivity theme,4
3054,Residual stream analysis with multi-layer SAEs,"Zhang, Z.; et al.",2024,paper,mech_interp,sae_methodology,empirical,"VERIFY authors and venue; decomposes residual stream across multiple layers into aligned SAE features",Multi-layer SAE needed to track cross-layer avalanches,3
3055,The implicit bias of batch normalization: batch normalization biases residual blocks towards the identity function,"De, S.; Smith, S.L.",2020,paper,network_topology,normalization,theory_and_empirical,"VERIFY exact title; BN initialises residual blocks near identity, keeping effective depth low early in training",Effective-depth / branching connection: BN may hold networks near a 'cold' edge of chaos early in training,3
