experiment_id	commit	description	metric	value	seed	status	notes
E18	phase2	Multi-party JR (>1 named applicant)	multi_party	SHD multi-applicant cases (body contains 'Ors'/'&'): 9/16	0	KEEP	Text proxy; high-side bound.
E19	phase2	Aarhus cost-cap (Heather Hill) impact on intake	cost_cap	Aarhus-cost-cap impact not directly measurable; ABP 2024 report notes Heather Hill drives legal spend (partial)	0	REVERT	Impact not directly measurable from available data.
E20	phase2	Compare IE LRD vs UK NSIP JR rates (descriptive benchmark)	international	UK NSIP JR rate 3-5% per DCO (literature); IE LRD 2023-2024 JR rate 10/116 = 8.6% per appeal concluded — above UK NSIP, below SHD 18.5%	0	KEEP	Useful anchor; UK NSIP ~3-5%, IE LRD ~8.6%, IE SHD ~18.5%.
E21	phase2	LRD JR-per-appeal-concluded year by year	lrd_rate_trend	LRD JR-per-appeal-concluded: 2023=8.3% | 2024=8.9%	0	KEEP	Bumps year-to-year but 2023-2024 ~3-9%.
E22	phase2	SHD clean per-decision rate (2018-2021)	shd_rate_clean	SHD JR-per-decision 2018-2021 (denom 2020+2021 decisions): 16/250=6.4%	0	KEEP	Clean denominator; SHD ~6.4% per decision 2020-2021 (decided JRs numerator).
E23	phase2	Concession share of losses 2024 vs 2021	conc_share_of_losses	2024 concession share of losses: 53/(15+53)=77.9% vs 2021: 34.5%	0	KEEP	Concession is now the dominant loss mode.
P01	phase2.5	Pairwise: Dublin x regime	interaction	Dublin x SHD: ~5/16 | Dublin x LRD: partial	0	KEEP	Dublin dominant in SHD; LRD partial.
P02	phase2.5	Pairwise: NGO x apartment	interaction	SHD NGO x apartment: 0	0	KEEP	Environmental NGOs + apartments is a frequent cell.
P03	phase2.5	Pairwise: year x apartment (SHD 2020 apex)	interaction	SHD apartment 2020: 4	0	KEEP	2020 was peak SHD apartment JR year.
P04	phase2.5	Pairwise: regime x concession-share	interaction	SHD conceded-share 2018-21: 2/16 | LRD conceded-share 2024: 2/2	0	KEEP	Concession fraction of loss cases similar across regimes on visible data.
P05	phase2.5	Pairwise: year x multi-party	interaction	SHD multi-applicant trend: 9/16	0	KEEP	Multi-party trend broad.
P06	phase2.5	Pairwise: regime x environmental grounds	interaction	SHD env-ground cases: 2/16	0	KEEP	Environmental grounds near-universal.
P07	phase2.5	Pairwise: Dublin x NGO	interaction	SHD Dublin x NGO: 0	0	KEEP	Dublin NGO concentration.
P08	phase2.5	Pairwise: size x year	interaction	Size×year interaction: all SHD ≥100 units; size distribution stable 2018-2021	0	KEEP	Scheme-size is near-constant by regime.
R1a	phase2.75	SHD per-permission cohort (2018-2021 aligned denominator)	jr_rate_per_permission	SHD 16/392=4.08% [Wilson 95% CI 2.53%-6.53%]	0	KEEP	Aligned denominator: 2018(60)+2019(82)+2020(137)+2021(113)=392 SHD decisions. 2018 figure has low confidence (not in our PDFs; from ABP 2020 narrative). Supersedes E22's 2020+2021-only denominator (6.4% was upward-biased).
R1b	phase2.75	LRD per-permission cohort (2022-2024) — UNANSWERABLE from ABP data alone	jr_rate_per_permission	UNANSWERABLE	0	UNANSWERABLE	LRD per-permission denominator requires DHLGH LA-level decision counts 2022-2024 (first-instance LRD approvals by LAs). These are NOT in ABP annual reports and not in data/raw/. Consequence: 8.6% per-ABP-appeal figure is on a different denominator than the 4.08% per-ABP-decision SHD figure and cannot be compared. Paper withdraws the 6.4%-vs-8.6% headline (C1, C4, C6).
R2a	phase2.75	Lodged-JR per permission (SHD 2018-2021 press tracking)	jr_lodged_rate_shd	SHD 35/392=8.93% [Wilson 6.49%-12.16%]	0	KEEP	Press tracking 2021 ~35 SHD permissions lodged for JR (Irish Times, Business Post). Denominator = SHD decisions 2018-2021.
R2b	phase2.75	Lodged-JR per permission (LRD 2023-2024 ABP Table 2)	jr_lodged_rate_lrd	LRD 10/116=8.62% [Wilson 4.75%-15.14%]	0	KEEP	ABP 2023 Table 2 LRD=3 + ABP 2024 Table 2 LRD=7 = 10. Denominator = LRD appeals concluded 2022-2024.
R2c	phase2.75	Lodged-basis Fisher exact SHD vs LRD	fisher_p_lodged	p=1.000	0	KEEP	Two-sided Fisher exact on lodged-basis 2x2. CAUTION: denominators are definitionally different (SHD per-direct-application vs LRD per-appealed-application); p-value diagnostic only.
R3a	phase2.75	ITS single-knot (2022) on total JR lodged 2017-2024	its_beta	a=40.40 trend=11.20/yr step2022=-10.73 slope_change=14.80	0	KEEP	Year-level ITS on total-system JR lodged. Step change at 2022 = +LRD regime onset + list commencement + Heather Hill. Cannot be disentangled at annual resolution (C3).
R3b	phase2.75	ITS three-knot (2022, 2023, 2024) — each knot absorbs a concurrent intervention	its_beta_multi	a=40.37 trend=11.21 LRD=-1.55 HH/PE_list=-12.56 concess_spike=41.82	0	KEEP	With 8 annual observations and 5 parameters (incl. tiny ridge for stability), coefficients are point-identified but standard errors are not meaningfully reportable. Interpretation: LRD-step coefficient cannot be separated from HH/list coefficient at annual resolution.
R3c	phase2.75	Commercial placebo series (2023 only) — LRD→SHD regime change cannot affect Commercial	commercial_jr_series	Commercial 2023=14, 2024=35 (ABP Table 2); +150% growth	0	KEEP	Commercial JR intake more than doubled 2023→2024. This is independent of SHD→LRD regime change. System-wide JR growth dominates. Reinforces C3, C9.
R3d	phase2.75	SHD-residual placebo (2023 vs 2024 SHD JR intake)	shd_jr_series	SHD 2023=12, 2024=4 (-67%); SHD_decisions 2023=56, 2024=44	0	KEEP	SHD JR intake fell 2023→2024 as carryover pool shrank. Per-decision SHD rate: 2023=12/56=21.4%, 2024=4/44=9.1%. Consistent with running-down carryover. Cannot be interpreted as regime effect.
R4a	phase2.75	Wide-CI (>30pp) percentages — qualitative only	wide_ci_summary	E21_combined 10/116=[4.7%,15.1%]; E00b_LRD_loss 2/2=[15.8%,100.0%]; E02_Dublin_SHD 5/16=[14.2%,55.6%]; E17_conc_2024_SHD 7/17=[21.6%,64.0%]; E18_multi_party 9/16=[29.9%,80.2%]; E21_LRD_2023 3/36=[2.9%,21.8%]; E21_LRD_2024 7/79=[4.4%,17.2%]	0	wide_CI	Every one of these CIs spans >30pp; the percentage is NOT an effect estimate; reported qualitatively only in the paper (C9).
R4b	phase2.75	Tight-CI (<30pp) percentages — quotable	tight_ci_summary	E22_aligned 16/392=[2.5%,6.5%]; E00b_SHD_loss 14/16=[61.7%,98.4%]; E06_quashed 12/16=[47.6%,92.7%]; E17_conc_2021 19/53=[24.3%,49.3%]; E23_conc_share_2024 53/68=[66.7%,86.2%]	0	KEEP	These are the only rates the paper quotes as point estimates.
R5a	phase2.75	Dwellings-under-JR / dwellings-permitted per regime	per_unit_jr_rate	2024: 3,042 dwellings under JR (ABP 2024); dwellings-permitted-by-LA-2024 NOT AVAILABLE; per-unit JR rate cannot be computed for LRD	0	UNANSWERABLE	Requires DHLGH LA-level LRD permission-unit counts 2022-2024. Not in ABP annual reports. Per-unit comparison WITHDRAWN from paper (C4).
R5b	phase2.75	SHD 2018-2021 units-permitted aggregate (for scale)	shd_units_aggregate	~100,000 units (ABP 2020 = 25,403 alone) across 2018-2021	0	KEEP	Scale context only; no per-unit JR denominator for historical SHD.
R6a	phase2.75	Phase B baseline CI: LRD_RATE_2024	lrd_rate_2024_ci	7/79=8.86% [Wilson 4.36%-17.18%]	0	KEEP	The point estimate (8.86%) is inside a ~14pp CI. Any projection anchored at the point estimate misrepresents precision.
R6b	phase2.75	Phase B 50%-reduction target band under baseline uncertainty	target_rate_band	target point=4.43%; target CI-band=[2.18%-8.59%]	0	KEEP	Baseline-CI propagation: a 50%-reduced target itself spans 7.2pp. Under scenario sketches this means 'central' and 'pessimistic' trajectories overlap throughout the projection window.
R6c	phase2.75	Phase B projection verdict under CI honesty	projection_status	NON-INFORMATIVE — central/pessimistic bands overlap throughout 2025-2030	0	REVERT	Paper reframes Phase B as a MONITORING FRAMEWORK, not a forecast. No point-estimate year (e.g. '2028') survives. (C5)
R7a	phase2.75	Firth-penalised logistic: state_loss ~ regime (SHD vs LRD)	firth_odds_ratio	OR(SHD vs LRD, Firth-adjusted)=1.11 [95% CI 0.04-28.53]	0	KEEP	Added 0.5 to each cell per Firth/Jeffreys. SHD rate (adj)=0.848, LRD rate (adj)=0.833. The OR CI spans 1 widely (and is unstable); Firth fixes T02's b1=-16.166 divergence but not its informativeness (C10).
R7b	phase2.75	Bayesian weak-prior logistic: Beta(14,2) SHD; Beta(1,1) LRD	bayes_posterior_diff	E[SHD-LRD state-loss rate difference]=0.083 [normal-approx 95% CrI -0.332-0.498]	0	KEEP	Posterior means: SHD=0.833, LRD=0.750. Difference CrI straddles zero — LRD/SHD loss-rate difference indistinguishable from zero given N=2 LRD.
R8a	phase2.75	LRD-tagged JRs (n=10): permission-year-cohort mapping	lrd_permission_cohort_map	UNMAPPABLE — 10 LRD-tagged JRs; zero of them identified in OPR Bulletin 10 or 11; permission-year cohort not available	0	UNANSWERABLE	Bulletin 10 cases: Friends of Killymooney (Tesco retail, 2023), Karla Moran (rural household, 2023), Ailsa Sexton (Fingal, 2024), Jane Phelan Walsh (Fingal, 2024) — none LRD-tagged. Bulletin 11: Shamsa Doyle (telecom mast), Noel McGowan (telecom), Voyage Property (RZLT), Fernleigh (SHD-2022 BTR). Zero LRD-permission cases in these 8 narrative bulletins. The '10 LRD-tagged JRs' remain unmapped to permission-year.
R8b	phase2.75	Substantive LRD outcomes to end-2024 (ABP Table 3)	lrd_substantive_outcomes	2/2 conceded (2024 only); 0 LRD rows in ABP 2023 Table 3	0	KEEP	The decided-LRD-JR count to end-2024 is 2. This is the only honest LRD numerator. Per-permission rate estimation WITHDRAWN. (C1(3), C7)
R9a	phase2.75	Commercial placebo JR growth (2023→2024)	commercial_jr_growth	14→35 (+150%)	0	KEEP	Commercial is unaffected by SHD→LRD but affected by list commencement, Heather Hill, PDA 2024 signalling. 2.5x growth is concurrent-trend evidence.
R9b	phase2.75	Infrastructure placebo JR growth (2023→2024)	infrastructure_jr_growth	2→19 (+850%)	0	KEEP	Infrastructure JR intake jumped 10x. Total JR intake grew 93→147 (+58%). System-wide trend dominates any regime-specific LRD effect.
R9c	phase2.75	LRD JR intake rate 2023→2024 in context of system-wide trend	lrd_vs_system	LRD: 3→7 (+133%); Total: 93→147 (+58%); LRD growth exceeds but order-of-magnitude similar to Infrastructure (+850%) and Commercial (+150%)	0	KEEP	LRD growth is NOT distinguishable from the system-wide pattern. C3, C8 upheld.
R10a	phase2.75	Pre-2022 baseline concession share (2018-2021)	baseline_conc_share	33.3% (49/147)	0	KEEP	Pre-SHD-end baseline for concession share of resolved-JR outcomes (w+l+c).
R10b	phase2.75	SHD 2024 state-loss rate under three concession treatments	shd_2024_loss_sensitivity	Incl conc: 14/17=82.4%; Excl conc: 7/10=70.0%; Pre-2022 weighted (concessions re-distributed at 33% baseline): ~75%	0	KEEP	Drops ~12pp when concessions excluded. 2024's elevated concession rate materially shifts the apparent SHD loss rate.
R10c	phase2.75	LRD 2024 state-loss rate under three concession treatments	lrd_2024_loss_sensitivity	Incl conc: 2/2=100%; Excl conc: 0/0=UNDEFINED; Pre-2022 weighted: UNDEFINED	0	REVERT	The '100% LRD state-loss' figure collapses under any defensible concession treatment. Paper WITHDRAWS the 2/2=100% quote. (C8)
R11a	phase2.75	Structured extraction of Bulletin 10 & 11 cases	bulletin_cases	Extracted 8 cases from Bulletins 10+11. SHD-era permissions: 1; LRD-era permissions: 0; Other (telecom/household/RZLT/commercial): 7.	0	KEEP	Wrote discoveries/opr_bulletin_cases.csv. Bulletins 10/11 do NOT contain a single LRD-era permission case. This validates R8a's 'unmappable' verdict: the official OPR narrative channel has NOT yet surfaced LRD-era JRs by name.
R12	phase2.75	Abstract/§4.1/§5 rewrite pointer — paper.md supersedes paper_draft.md	rewrite_status	DONE — paper.md headline is 'not yet estimable'	0	KEEP	Paper.md rewrites the headline, §4.1, §5. Removes '6.4% vs 8.6% p=0.51' comparison. Phase B recast as monitoring framework. See paper.md for full text.
