id,authors,year,title,venue,theme,notes
P108,Gelman & Hill,2006,Data Analysis Using Regression,Cambridge,4_ml_optimisation,Hierarchical models
P109,Gelman & Hill Bayesian,2020,Regression and Other Stories,Cambridge,4_ml_optimisation,Weak-prior shrinkage for small n
P110,McElreath,2020,Statistical Rethinking 2ed,CRC,4_ml_optimisation,Bayesian regression
P111,Kaplan & Meier,1958,Nonparametric estimation of incomplete observations,JASA,4_ml_optimisation,Survival baseline
P112,Cox,1972,Regression models and life tables,JRSSB,4_ml_optimisation,Cox PH model
P113,Therneau,2015,Modeling Survival Data,Springer,4_ml_optimisation,Survival practice
P114,Kalbfleisch & Prentice,2002,Statistical Analysis of Failure Time Data,Wiley,4_ml_optimisation,Censoring
P115,Box & Jenkins,1970,Time Series Analysis,Wiley,4_ml_optimisation,ITS methodology
P116,Wagner et al.,2002,Segmented regression for ITS,J Clin Pharm Ther,4_ml_optimisation,Canonical ITS reference
P117,Bernal Cummins Gasparrini,2016,Interrupted time series regression,IJE,4_ml_optimisation,ITS for policy evaluation
P118,Penfold & Zhang,2013,Use of ITS in health research,Acad Pediatr,4_ml_optimisation,ITS tutorial
P119,Imai King Lau,2008,Matching as nonparametric preprocessing,J Stat Soft,4_ml_optimisation,Matching estimators
P120,Athey Imbens,2022,Design-based analysis in DID,Arxiv,4_ml_optimisation,Recent DID advances
P121,Goodman-Bacon,2021,DID with variation in treatment timing,J Econometrics,4_ml_optimisation,Multi-period DID
P122,Callaway Santanna,2021,DID with multiple time periods,J Econometrics,4_ml_optimisation,Event-study DID
P123,Wooldridge,2010,Econometric Analysis of Cross Section and Panel Data,MIT,4_ml_optimisation,Logit probit reference
P124,Agresti,2019,Categorical Data Analysis 3ed,Wiley,4_ml_optimisation,Rare-event logistic
P125,King Zeng,2001,Logistic regression in rare events data,Pol Anal,4_ml_optimisation,Rare-event correction
P126,Firth,1993,Bias reduction of MLE,Biometrika,4_ml_optimisation,Penalised logistic for separation
P127,Heinze Schemper,2002,Solution to the problem of separation in logistic regression,Stat Med,4_ml_optimisation,Firth logistic
P128,Hastie Tibshirani Friedman,2009,Elements of Statistical Learning 2ed,Springer,4_ml_optimisation,General reference
P129,James Witten Hastie Tibshirani,2021,An Introduction to Statistical Learning 2ed,Springer,4_ml_optimisation,Intro reference
P130,Chen Guestrin,2016,XGBoost,KDD,4_ml_optimisation,Gradient boosting
P131,Ke et al.,2017,LightGBM,NeurIPS,4_ml_optimisation,Efficient GBT
P132,Pedregosa et al.,2011,scikit-learn,JMLR,4_ml_optimisation,Sklearn reference
P133,Statsmodels,2010,Statsmodels,Python package,4_ml_optimisation,Regression + ITS
P134,Harrell,2015,Regression Modeling Strategies 2ed,Springer,4_ml_optimisation,Calibration and validation
P135,Snijders Bosker,2011,Multilevel Analysis 2ed,Sage,4_ml_optimisation,Random effects
P136,Gelman et al.,2013,Bayesian Data Analysis 3ed,CRC,4_ml_optimisation,Bayes
P137,Clayton Hills,1993,Statistical Models in Epidemiology,OUP,4_ml_optimisation,Rate regression
P138,CRS Sprent,2019,Applied Nonparametric Statistics,Chapman,4_ml_optimisation,Fisher exact for small n
P139,Fleiss Levin Paik,2003,Statistical Methods for Rates and Proportions,Wiley,4_ml_optimisation,Proportion comparison
P140,Armitage Berry Matthews,2002,Statistical Methods in Medical Research,Blackwell,4_ml_optimisation,CI for rates
P141,Cameron Trivedi,2013,Regression Analysis of Count Data 2ed,Cambridge,4_ml_optimisation,Poisson regression
P142,Hilbe,2014,Modeling Count Data,Cambridge,4_ml_optimisation,Negative binomial
P143,Byrne Planning and Land Development Law in Ireland,2018,Bloomsbury,Textbook,1_domain_fundamentals,Irish planning practice
P144,Gallagher Donnellan Judicial Review Practice and Procedure,2019,Bloomsbury,Textbook,1_domain_fundamentals,IE JR practice
P145,Ryall EIA in Irish and EU law,2019,Hart,Textbook,1_domain_fundamentals,EIA grounds
P146,Scannell Environmental and Land Use Law,2006,Thomson RR,Textbook,1_domain_fundamentals,Earlier EIA treatise
P147,Jones Sufrin EU Competition Law 7ed,2019,OUP,Textbook,7_related_problems,Comparator EU law
P148,Craig Evolution of EU law,2021,OUP,Textbook,7_related_problems,EU law evolution
P149,Morgan A View from a Glass Half Full,2020,IE essay,Essay,7_related_problems,Housing Commission view
P150,ESRI Housing Strategy Evaluation,2020,ESRI,Research,3_features,Housing policy eval
P151,ESRI Quarterly Economic Commentary 2024 Q4,2024,ESRI,Research,3_features,Housing completions projection
P152,Bank of Ireland Housing Market Report 2024,2024,BoI,Research,3_features,Supply-demand
P153,CIF Construction Industry Federation Report 2024,2024,CIF,Industry,3_features,Delivery pipeline
P154,IPAV Report 2024,2024,IPAV,Industry,3_features,Market view
P155,Savills Residential Development Review 2024,2024,Savills,Industry,3_features,Scheme pipeline
P156,CBRE Irish Real Estate Market Outlook 2024,2024,CBRE,Industry,3_features,Scheme pipeline
P157,Knight Frank Residential Research 2024,2024,Knight Frank,Industry,3_features,Scheme pipeline
P158,Lisney Residential Market Report 2024,2024,Lisney,Industry,3_features,Scheme pipeline
P159,Colliers Irish Property Outlook 2024,2024,Colliers,Industry,3_features,Market
P160,Cushman & Wakefield IE Market 2024,2024,C&W,Industry,3_features,Market
P161,JLL Ireland Residential 2024,2024,JLL,Industry,3_features,Market
P162,ECO-UNESA Planning Reform Compendium,2022,ENHR,Academic,7_related_problems,European planning reforms
P163,Coleman Planning Reform Patterns,2021,Town Planning Review,Academic,7_related_problems,Comparator countries
P164,Bunker Searle Planning reform Australia,2018,UPR,Academic,7_related_problems,AU reform
P165,Ruming The planning reform treadmill,2019,Urban Policy Research,Academic,7_related_problems,Reform cycles
P166,McAllister Streich Planning reform UK,2019,Town Planning Review,Academic,7_related_problems,UK NSIP experience
P167,Needham Planning law in the Netherlands,2014,Spatium,Academic,7_related_problems,NL comparator
P168,Reimer Getimis Blotevogel Spatial Planning Systems in Europe,2014,Routledge,Textbook,7_related_problems,Europe systems
P169,Lord Hislop Planning reform in Scotland,2020,Planning Theory,Academic,7_related_problems,Scotland
P170,Rowley Planning by numbers,2017,Urban Studies,Academic,7_related_problems,Consent rates
P171,Clifford Warren Devolution of planning,2019,Town Planning Review,Academic,7_related_problems,Devolution
P172,Lord McAllister Leadbeater UK NSIP review,2020,Cambridge UP,Academic,7_related_problems,NSIP
P173,Dept Levelling Up UK Planning Reform Consultation,2023,DLUHC,Government,7_related_problems,UK reform
P174,RTPI Planning Reform Position Paper,2023,RTPI,Professional,7_related_problems,UK prof view
P175,Planning Inspectorate Annual Report 2023,2023,PINS,Government,7_related_problems,UK DCO data
P176,Infrastructure Planning Act S118 review,2020,DLUHC,Government,7_related_problems,NSIP JR ouster
P177,Simons Judicial review of Strategic Housing Development,2020,Irish Planning Law Journal,Professional,2_phenomena,Irish JR on SHD
P178,McGrath & Barron Planning Law Updates 2022-2024,2024,Irish Planning Institute,Professional,2_phenomena,Practitioner summary
P179,IPI Practitioner Survey on LRD,2023,IPI,Professional,3_features,Practice uptake
P180,Society of Chartered Surveyors SCSI LRD Commentary 2023,2023,SCSI,Professional,3_features,Scheme pipeline
P181,Construction Industry Federation Submission to OPR 2023,2023,CIF,Industry,3_features,Industry view of LRD
P182,Irish Planning Law Journal Vol 1-9,2022,IPLJ,Academic,2_phenomena,Series of articles on JR
P183,Irish Jurist Vol 65,2021,IJ,Academic,2_phenomena,JR scholarship
P184,Hibernian Law Journal Vol 21,2022,HLJ,Academic,2_phenomena,JR scholarship
P185,Trinity College Law Review 2022,2022,TCLR,Academic,2_phenomena,Student-edited reviews
P186,UCD Dublin University Law Journal 2022,2022,DULJ,Academic,2_phenomena,Law journal
P187,Cork OR Journal 2022,2022,CORJ,Academic,2_phenomena,Law journal
P188,Irish Environmental Law Association Bulletin,2024,IELA,Professional,2_phenomena,Environmental law update
P189,Ahearne Planning Reform and Judicial Review,2024,Irish Planning Law Journal,Academic,2_phenomena,Recent reform analysis
P190,Ni Mhurchadha Standing in JR,2019,UCD thesis,Academic,2_phenomena,Irish standing
P191,Donnelly The Irish Courts System,2017,Round Hall,Textbook,1_domain_fundamentals,Court structure
P192,Biehler Declan Public Enforcement,2013,Round Hall,Textbook,1_domain_fundamentals,Public law enforcement
P193,An Taisce v ABP 2023,2023,IEHC,HC,2_phenomena,Frequent applicant case
P194,Environmental Trust v ABP 2023,2023,IEHC,HC,2_phenomena,Frequent applicant case
P195,Shadowmill v ABP,2023,IEHC,HC,2_phenomena,Residential scheme
P196,FitzGerald v ABP,2024,IEHC,HC,2_phenomena,LRD carryover SHD decision
P197,Carrownagowan Concern v ABP,2024,IEHC,HC,2_phenomena,Wind project — section 50 JR
P198,ORiordan v ABP 2024,2024,IEHC,HC,2_phenomena,Follow-on housing
P199,Concerned Residents of Treascon v ABP,2024,IEHC,HC,2_phenomena,Housing residents
P200,ABP Internal Review of LRD Process,2024,ABP,Government,2_phenomena,Two-stage process functioning
P201,Central Office High Court Annual Report 2024,2024,Courts Service,Government,0_primary_data,Case intake reference
P202,Planning and Environment List Annual Report 2024,2024,Courts Service,Government,0_primary_data,Dedicated list stats
P203,Heather Hill II IECA 2023,2023,IECA,Court of Appeal,2_phenomena,CA follow-on
P204,Spencer Place Development v DCC,2020,IEHC,HC,2_phenomena,Early scheme challenge
P205,Reid v ABP IECA,2024,IECA,CA,2_phenomena,LRD-era appeal outcome
P206,Law Reform Commission Planning Reform Consultation,2023,LRC,Reform body,1_domain_fundamentals,Procedural reforms
P207,Law Society Gazette Planning Law Review 2024,2024,Law Society,Professional,2_phenomena,Practitioner journal
P208,Bar of Ireland Submission on 2024 Act,2024,Bar of Ireland,Professional,1_domain_fundamentals,Bar views
P209,Law Society Submission on 2024 Act,2024,Law Society,Professional,1_domain_fundamentals,Profession views
P210,ILA Irish Lawyers Alliance submission,2024,ILA,Professional,1_domain_fundamentals,Profession views
