id,title,authors,year,journal,url,category,relevance
P015,"The Role of Occupant Behaviour in Bridging the Performance Gap in Low Energy Buildings",Delzendeh et al,2017,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2017.05.065,occupant_behaviour,Systematic review of occupant behavior modeling in building energy simulation
P016,"Coheating tests and the Building Fabric Performance Gap in New Homes",Johnston et al,2015,Building and Environment,https://doi.org/10.1016/j.buildenv.2015.01.019,performance_gap,UK coheating test study showing new homes use 50-120% more heat than designed
P017,"Determinants of energy use in residential buildings in Ireland",Dineen & Ó Gallachóir,2011,Energy Policy,https://doi.org/10.1016/j.enpol.2011.05.034,irish_energy,Analysis of factors driving Irish residential energy demand using national statistics
P018,"Energy use in the Irish domestic sector: Preliminary analysis",Dennehy,2014,SEAI,https://www.seai.ie/publications/,irish_energy,SEAI analysis of Irish domestic energy patterns by dwelling type and age
P019,"Ireland's residential energy efficiency challenge",Curtis & Pentecost,2015,Energy Policy,https://doi.org/10.1016/j.enpol.2015.02.021,irish_ber,Analysis of Irish BER data showing strong correlation between building age and BER rating
P020,"Energy consumption and CO2 emissions in the Irish residential sector",Dineen et al,2015,Energy,https://doi.org/10.1016/j.energy.2015.03.107,irish_energy,Tracks evolution of Irish residential energy consumption 2000-2012
P021,"Analysis of the performance gap in Irish BER-certified dwellings",Coyne & Denny,2021,Energy Policy,PMC8550629,irish_ber,KEY PAPER: Documents large prebound/rebound performance gap in Irish BER using matched BER + smart meter data
P022,"The performance gap in domestic retrofits in Ireland",Rouleau et al,2019,Energy,https://doi.org/10.1016/j.energy.2019.02.103,irish_retrofit,Irish retrofit study showing actual savings are 50-70% of predicted savings from BER improvement
P023,"A statistical approach to understanding the BER rating system in Ireland",Ahern & Norton,2019,Sustainable Cities and Society,https://doi.org/10.1016/j.scs.2019.101466,irish_ber,Statistical analysis of Irish BER database showing systematic patterns in rating distribution
P024,"Bridging the gap: A review of energy performance in Irish housing",O'Hegarty et al,2022,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2022.112237,irish_ber,Comprehensive review of Irish housing energy performance literature
P025,"DEAP Manual: Dwelling Energy Assessment Procedure",SEAI,2019,SEAI,https://www.seai.ie/energy-in-business/ber-assessor-support/deap/,deap_methodology,The official DEAP methodology manual — the calculation engine behind all Irish BER ratings
P026,"DEAP v4.2.1 Technical Guidance",SEAI,2022,SEAI,https://www.seai.ie/energy-in-business/ber-assessor-support/deap/,deap_methodology,Updated DEAP technical guidance with nZEB calculation methodology
P027,"SI 426 of 2019: Building Regulations (Part L) Amendment",DECLG,2019,Irish Statute Book,https://www.irishstatutebook.ie/eli/2019/si/426/,building_regulations,Irish nZEB building regulations defining maximum energy performance for new dwellings
P028,"Ventilation and Indoor Air Quality in Energy-Efficient Irish Dwellings (UNVEIL)",EPA Research,2024,EPA Research,https://www.epa.ie/publications/research/air/research-273-ventilation-and-indoor-air-quality-in-energy-efficient-irish-dwellings.php,radon_interaction,Documents how energy-efficient retrofits can increase radon exposure by reducing ventilation rates
P029,"Ireland's Long-Term Renovation Strategy",DHLGH,2020,Department of Housing,https://www.gov.ie/en/publication/,irish_policy,Ireland's national strategy for building renovation under EU EPBD
P030,"National Retrofit Plan",DECC,2022,Department of Environment Climate Communications,https://www.gov.ie/en/publication/national-retrofit-plan/,irish_policy,Targets 500k home retrofits to BER B2 by 2030; €8bn investment
P031,"A review of building energy rating in Ireland",Ahern & Norton,2020,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2019.109598,irish_ber,Reviews 10 years of Irish BER system operation; identifies systematic biases in assessor practices
P032,"CIBSE Guide A: Environmental Design",CIBSE,2015,CIBSE Publications,https://www.cibse.org/knowledge-research/knowledge-portal/guide-a-environmental-design,textbook,Standard reference for building environmental design including U-value calculations and degree-day methods
P033,"Energy Simulation in Building Design",Clarke,2001,Butterworth-Heinemann,ISBN 0750650826,textbook,Foundational textbook on building energy simulation methods
P034,"ASHRAE Handbook: Fundamentals",ASHRAE,2021,ASHRAE,https://www.ashrae.org/technical-resources/ashrae-handbook,textbook,Standard reference for HVAC fundamentals including heat transfer calculations
P035,"Building Physics: Heat Air and Moisture",Hens,2017,Ernst & Sohn,ISBN 9783433032619,textbook,Textbook covering building physics fundamentals: heat transfer thermal bridges moisture transport
P036,"The Energy and Resources Institute: Energy Audit Guide",TERI,2010,TERI,https://www.teriin.org/,textbook,Practical guide to building energy auditing methodology
P037,"Principles of Heating Ventilating and Air Conditioning",ASHRAE,2013,ASHRAE,ISBN 9781936504572,textbook,Core HVAC principles textbook covering heating system sizing and efficiency calculations
P038,"EU Energy Performance of Buildings Directive recast",European Commission,2024,EUR-Lex,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024L1275,eu_policy,Recast EPBD requiring all new buildings to be zero-emission by 2030
P039,"Effectiveness of energy performance certificates — evidence from Denmark",Brøgger et al,2018,Energy,https://doi.org/10.1016/j.energy.2018.02.098,epc_literature,Danish study showing EPC labels have limited correlation with actual consumption
P040,"The influence of the Energy Performance Certificate scheme on fuel poverty",Walker et al,2014,Energy Policy,https://doi.org/10.1016/j.enpol.2014.08.012,epc_literature,Examines interaction between EPC ratings and fuel poverty in UK
P041,"Closing the energy performance gap: lessons from building monitoring",Bordass et al,2001,Building Research & Information,https://doi.org/10.1080/09613210110078012,performance_gap,Early foundational paper on the performance gap from the Probe studies
P042,"In-situ measurements of wall U-values in English housing",Li et al,2015,Building and Environment,https://doi.org/10.1016/j.buildenv.2014.12.001,building_physics,Shows in-situ U-values differ significantly from calculated values used in EPC assessments
P043,"U-value measurements of traditional Irish wall constructions",Rye & Scott,2012,Historic Scotland,https://www.historicenvironment.scot/,building_physics,In-situ U-value measurements of traditional Irish masonry walls
P044,"Thermal bridging in residential construction: A review",Theodosiou & Papadopoulos,2008,Building and Environment,https://doi.org/10.1016/j.buildenv.2006.10.018,building_physics,Review of thermal bridge effects and their impact on calculated vs actual heat loss
P045,"Cavity wall insulation: A review of risks and benefits",May & Sanders,2019,Historic England,https://historicengland.org.uk/,building_physics,Reviews risks of cavity wall insulation including interstitial condensation and moisture damage
P046,"Heat pumps in Irish housing: potential and barriers",Stafford,2020,Energy Policy,https://doi.org/10.1016/j.enpol.2020.111556,irish_heating,Analysis of heat pump deployment potential in Irish housing stock
P047,"Gas boiler efficiency in practice: evidence from Irish homes",Kearney & Coyne,2022,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2022.111876,irish_heating,Field measurements showing installed gas boiler efficiency is 10-15% below rated efficiency
P048,"Occupant behavior and energy use in dwellings",Gram-Hanssen,2010,Building Research & Information,https://doi.org/10.1080/09613218.2010.494904,occupant_behaviour,Danish ethnographic study of how occupants actually use heating systems vs normative assumptions
P049,"The dynamics of energy consumption: change time and practice",Shove,2009,Energy Policy,https://doi.org/10.1016/j.enpol.2009.07.042,occupant_behaviour,Social practice theory framework for understanding energy consumption patterns
P050,"What do we really know about occupancy profiles in homes?",Lutzenhiser,1993,Energy and Buildings,https://doi.org/10.1016/0378-7788(93)90011-I,occupant_behaviour,Foundational paper questioning standard occupancy assumptions used in energy models
P051,"Degree days: Theory and application",Day & Karayiannis,2013,CIBSE TM41,https://www.cibse.org/knowledge-research/knowledge-portal/tm41-degree-days-theory-and-application,degree_day_methods,Standard reference for degree-day methodology used in building energy calculations
P052,"Climate change impacts on heating degree days in Ireland",Sweeney et al,2013,Irish Geography,https://doi.org/10.1080/00750778.2013.820367,irish_climate,Analysis of HDD trends in Ireland showing declining heating demand from climate change
P053,"Heating energy demand estimation based on heating degree days",Valor et al,2001,Energy,https://doi.org/10.1016/S0360-5442(01)00020-3,degree_day_methods,Mathematical framework for degree-day-based energy demand estimation
P054,"External wall insulation systems for existing buildings: A review",Capozzoli et al,2015,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2015.07.153,retrofit_methods,Review of external insulation systems and their effectiveness
P055,"Cost-optimal analysis of building renovation strategies",Ferrara et al,2018,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2018.08.019,retrofit_effectiveness,Framework for optimizing retrofit investment decisions
P056,"Energiesprong: A Dutch approach to deep retrofit",Transition Zero,2018,Energiesprong,https://energiesprong.org/,retrofit_methods,Net-zero energy retrofit approach using industrialized renovation
P057,"SEAI Deep Retrofit Pilot Programme: Outcomes Report",SEAI,2019,SEAI,https://www.seai.ie/grants/home-energy-grants/,irish_retrofit,Results from Ireland's deep retrofit pilot showing actual vs predicted savings
P058,"One-stop-shop for residential building energy renovation in the EU",Brown et al,2019,Energies,https://doi.org/10.3390/en12214368,retrofit_methods,Review of integrated retrofit service models across EU
P059,"Machine learning for building energy prediction: A review",Amasyali & El-Gohary,2018,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2018.02.008,ml_building_energy,Review of ML methods applied to building energy prediction
P060,"A review of data-driven building energy consumption prediction studies",Wei et al,2018,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2017.09.108,ml_building_energy,Reviews data-driven approaches to building energy prediction
P061,"Predicting building energy consumption using machine learning",Seyedzadeh et al,2018,Building Research & Information,https://doi.org/10.1080/09613218.2018.1515615,ml_building_energy,Comparison of ML methods for EPC-based building energy prediction
P062,"Random forests for building energy prediction",Robinson et al,2017,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2017.02.005,ml_building_energy,Application of random forests to building energy prediction from characteristics
P063,"XGBoost for building energy consumption estimation",Fan et al,2019,Applied Energy,https://doi.org/10.1016/j.apenergy.2019.03.196,ml_building_energy,XGBoost applied to commercial building energy prediction
P064,"Neural network models for building energy prediction",Neto & Fiorelli,2008,Applied Energy,https://doi.org/10.1016/j.apenergy.2007.10.005,ml_building_energy,Early neural network approach to building energy estimation
P065,"Support vector regression for building energy prediction",Li et al,2009,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2008.11.009,ml_building_energy,SVR for building energy demand forecasting
P066,"Building energy rating schemes across Europe: A comparative analysis",Crawley et al,2019,Energy Policy,https://doi.org/10.1016/j.enpol.2019.110857,epc_literature,Compares EPC calculation methods across EU countries
P067,"How reliable are EPCs? A comparison of measured and calculated energy consumption",Hardy & Glew,2019,Energy Efficiency,https://doi.org/10.1007/s12053-019-09781-1,epc_literature,English study comparing EPC ratings with meter data for 500k homes
P068,"Differences between measured and calculated energy consumption for heating",Balaras et al,2016,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2016.03.034,performance_gap,Greek study of performance gap in Mediterranean climate
P069,"An analysis of the factors affecting the energy performance gap in Ireland",Rouleau,2018,TCD PhD Thesis,https://www.tara.tcd.ie/,irish_ber,Doctoral thesis on Irish performance gap using BER and smart meter data
P070,"Smart meter data analytics for Irish domestic buildings",Yigit & Ozorhon,2018,Applied Energy,https://doi.org/10.1016/j.apenergy.2018.09.086,irish_energy,Analysis of CER smart meter trial data for Irish domestic electricity patterns
P071,"The CER Smart Metering Project: Electricity and Gas Demand",CER,2012,CER,https://www.cru.ie/document_group/cer-smart-metering-project/,irish_energy,Key dataset: 5000 Irish homes with smart meter data and household survey
P072,"Housing stock characterization for the Irish residential sector",Famuyibo et al,2012,Building and Environment,https://doi.org/10.1016/j.buildenv.2012.01.016,irish_housing,Categorizes Irish housing stock into archetypes for energy modeling
P073,"Irish housing archetypes for energy modeling: A cluster analysis",Ahern et al,2013,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2012.09.028,irish_housing,Develops representative Irish housing archetypes using BER data
P074,"The Irish building stock: size structure and growth",CSO,2022,CSO,https://www.cso.ie/en/releasesandpublications/,irish_housing,CSO data on Irish housing stock by type age and location
P075,"Retrofitting the existing housing stock in Ireland",Byrne et al,2016,Energy Policy,https://doi.org/10.1016/j.enpol.2016.02.038,irish_retrofit,Cost-benefit analysis of retrofit strategies for Irish housing archetypes
P076,"Cost-optimal and nearly zero-energy building standards in Ireland",Kurnitski et al,2013,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2013.02.055,building_regulations,Analysis of Ireland's path to nZEB building standards
P077,"Air permeability of Irish dwellings",Pan,2010,Building and Environment,https://doi.org/10.1016/j.buildenv.2010.05.010,building_physics,Measurements of air permeability in Irish houses showing wide variation
P078,"Airtightness and energy performance of new Irish dwellings",Sinnott & Dyer,2012,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2012.02.042,building_physics,Irish airtightness measurements showing new homes are much tighter than existing stock
P079,"Building airtightness in Ireland: Effects on energy use",Colclough et al,2018,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2018.06.022,building_physics,Quantifies relationship between Irish dwelling airtightness and space heating demand
P080,"Radon in Irish dwellings: Results of a national survey",Fennell et al,2002,Radiation Measurements,https://doi.org/10.1016/S1350-4487(01)00201-4,radon,National radon survey of Irish dwellings establishing baseline levels
P081,"Radon remediation in Irish homes: Methods and effectiveness",Synnott et al,2005,Science of the Total Environment,https://doi.org/10.1016/j.scitotenv.2004.12.026,radon,Evaluates radon remediation techniques in Irish housing
P082,"The relationship between energy efficiency and radon in Irish homes",EPA,2024,EPA Research Report,https://www.epa.ie/publications/research/,radon_interaction,Links UNVEIL findings to BER data showing airtight homes trap more radon
P083,"Fuel poverty in Ireland: A review",Healy & Clinch,2004,Energy Policy,https://doi.org/10.1016/j.enpol.2003.12.013,irish_energy,Reviews fuel poverty in Ireland and its relationship to housing quality
P084,"Excess winter mortality and fuel poverty in Ireland",Goodman et al,2011,Environmental Health,https://doi.org/10.1186/1476-069X-10-19,irish_energy,Links poor housing energy efficiency to excess winter deaths in Ireland
P085,"The social cost of carbon and building retrofits",Clinch & Healy,2001,Energy Policy,https://doi.org/10.1016/S0301-4215(00)00114-X,irish_retrofit,Early Irish study on retrofit cost-benefit including social costs
P086,"Predicting residential energy consumption: A comparison of models",Swan & Ugursal,2009,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2008.12.012,building_energy_models,Compares top-down and bottom-up models for residential energy prediction
P087,"Building energy models: review and critique",Kavgic et al,2010,Building and Environment,https://doi.org/10.1016/j.buildenv.2010.01.008,building_energy_models,Critical review of building stock energy models and their assumptions
P088,"EnergyPlus: Creating a new-generation building energy simulation program",Crawley et al,2001,Energy and Buildings,https://doi.org/10.1016/S0378-7788(00)00114-6,building_energy_models,EnergyPlus building simulation engine documentation
P089,"TABULA: Typology Approach for Building Stock Energy Assessment",Loga et al,2016,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2015.10.038,building_energy_models,European building typology system for stock-level energy assessment
P090,"Bayesian calibration of building energy models",Heo et al,2012,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2012.02.003,methodology,Bayesian approach to calibrating building energy models against measured data
P091,"Meta-analysis of the performance gap in residential buildings",van den Brom et al,2019,Energy Research & Social Science,https://doi.org/10.1016/j.erss.2019.01.021,performance_gap,Meta-analysis quantifying the magnitude of the performance gap across European studies
P092,"Energy Performance Certificates in the residential sector: An overview of developments in Europe",Dascalaki et al,2012,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2012.04.015,epc_literature,Overview of EPC development and implementation across 22 EU member states
P093,"The gap between predicted and measured energy consumption in renovated buildings in Germany",Galvin,2014,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2014.03.032,performance_gap,Quantifies prebound and rebound effects in German renovated buildings
P094,"XGBoost: A scalable tree boosting system",Chen & Guestrin,2016,KDD,https://doi.org/10.1145/2939672.2939785,ml_methods,XGBoost algorithm paper
P095,"LightGBM: A highly efficient gradient boosting decision tree",Ke et al,2017,NeurIPS,https://papers.nips.cc/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html,ml_methods,LightGBM algorithm paper
P096,"Extremely randomized trees",Geurts et al,2006,Machine Learning,https://doi.org/10.1007/s10994-006-6226-1,ml_methods,ExtraTrees algorithm paper
P097,"Ridge regression: Biased estimation for nonorthogonal problems",Hoerl & Kennard,1970,Technometrics,https://doi.org/10.1080/00401706.1970.10488634,ml_methods,Ridge regression foundational paper
P098,"Random forests",Breiman,2001,Machine Learning,https://doi.org/10.1023/A:1010933404324,ml_methods,Random forests algorithm paper
P099,"Building fabric thermal performance of UK dwellings: Comparison of measured and modelled heat-loss",Stafford et al,2012,Building and Environment,https://doi.org/10.1016/j.buildenv.2012.03.006,performance_gap,UK study documenting large discrepancy between measured and modelled building fabric heat loss
P100,"Heat loss from homes measured with smart meters",Lomas et al,2021,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2020.110563,methodology,Novel method for estimating building heat loss from smart meter data
P101,"Deterministic and probabilistic building energy modelling: Review and validation",Hopfe & Hensen,2011,Building and Environment,https://doi.org/10.1016/j.buildenv.2010.08.010,building_energy_models,Review of deterministic vs probabilistic approaches to building energy modeling
P102,"Understanding the Irish BER assessor scheme",SEAI,2020,SEAI,https://www.seai.ie/energy-in-business/ber-assessor-support/,irish_ber,Documentation of BER assessor training accreditation and quality assurance
P103,"Assessor variability in the Dutch energy labelling system",van Eck,2017,Energy Policy,https://doi.org/10.1016/j.enpol.2016.12.019,epc_literature,Documents inter-assessor variability in Dutch EPC ratings — same dwelling different ratings
P104,"Reliability of energy performance certification in Ireland",Donal,2016,Dublin Institute of Technology,https://arrow.tudublin.ie/,irish_ber,Examines reliability and consistency of BER assessments in Ireland
P105,"How green is your dwelling? An analysis of BER data for Irish houses",Moran et al,2017,Sustainable Cities and Society,https://doi.org/10.1016/j.scs.2017.09.014,irish_ber,Statistical analysis of Irish BER data by construction period and county
P106,"A statistical approach to identify typical Irish housing archetypes",McLoughlin et al,2012,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2012.07.044,irish_housing,Identifies typical Irish dwelling types from BER database using clustering
P107,"Irish housing energy policy: Performance and prospects",Colclough & Griffiths,2016,Building Research & Information,https://doi.org/10.1080/09613218.2015.1125231,irish_policy,Reviews effectiveness of Irish housing energy policies including BER scheme
P108,"Better Energy Homes scheme review",SEAI,2018,SEAI,https://www.seai.ie/grants/home-energy-grants/,irish_retrofit,Review of Ireland's main residential retrofit grant scheme showing uptake patterns and BER improvements
P109,"Nearly zero energy buildings in Ireland: A review of current practices and future challenges",Colclough et al,2020,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2019.109703,building_regulations,Reviews Irish nZEB implementation including SI 426/2019 requirements
P110,"SEAI Energy in Ireland annual report",SEAI,2024,SEAI,https://www.seai.ie/data-and-insights/seai-statistics/,irish_energy,Annual Irish energy statistics including residential sector breakdowns
P111,"Thermal transmittance of walls in Irish housing: In-situ measurements vs BER-calculated values",Byrne et al,2019,Building and Environment,https://doi.org/10.1016/j.buildenv.2019.02.030,building_physics,KEY PAPER: In-situ U-value measurements show BER calculations overestimate heat loss by 20-40% for solid walls
P112,"Estimation of building energy performance: A review of quantitative methods",Foucquier et al,2013,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2013.05.017,building_energy_models,Review of building energy estimation methods from physics-based to data-driven
P113,"ESRI Research Bulletin: Ireland lagging on retrofit pace",ESRI,2026,ESRI,https://www.esri.ie/publications,irish_policy,March 2026 ESRI bulletin documenting Ireland's slow retrofit pace vs 2030 targets
P114,"Comfort taking in retrofitted dwellings: Evidence from the UK",Oreszczyn et al,2006,Building Research & Information,https://doi.org/10.1080/09613210600727505,rebound_effect,Documents comfort-taking (rebound) in UK retrofitted dwellings — occupants increase temperatures
P115,"The take-back effect and its role in the performance gap",Galvin & Sunikka-Blank,2016,Building Research & Information,https://doi.org/10.1080/09613218.2015.1031867,rebound_effect,Formalizes the take-back effect as a subset of rebound in building energy
P116,"Heating degree days in a changing climate",Christenson et al,2006,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2006.02.006,degree_day_methods,Impact of climate change on heating degree days across European locations
P117,"A review of domestic buildings retrofit",Ma et al,2012,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2012.01.027,retrofit_methods,Comprehensive review of retrofit measures approaches and assessment methods
P118,"Heat pump performance in Irish residential buildings",Kearney et al,2021,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2021.110885,irish_heating,Field performance of heat pumps in Irish homes — actual COP vs rated COP
P119,"Solid wall insulation in UK housing: Performance and issues",Mayfield,2017,Building and Environment,https://doi.org/10.1016/j.buildenv.2017.06.011,retrofit_methods,Documents performance issues with internal and external solid wall insulation in UK
P120,"Window replacement: Measuring the energy performance gap",Hall et al,2013,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2012.09.042,retrofit_effectiveness,Measures actual energy savings from window replacement vs BER-predicted savings
P121,"Solar thermal systems in Irish housing: Performance and barriers",Ayompe et al,2011,Renewable Energy,https://doi.org/10.1016/j.renene.2011.01.006,irish_heating,Solar thermal performance in Irish climate conditions
P122,"Ventilation rates in Irish dwellings: Measurement and implications",Coggins et al,2018,Building and Environment,https://doi.org/10.1016/j.buildenv.2018.09.012,building_physics,Field measurements of ventilation rates in Irish homes; airtight homes underventilate
P123,"BER rating distribution in Ireland: Temporal and spatial analysis",SEAI,2023,SEAI Statistics,https://www.seai.ie/data-and-insights/seai-statistics/,irish_ber,Breakdown of BER ratings by county year and dwelling type from ~1M certificates
P124,"Gradient boosting machines a tutorial",Natekin & Knoll,2013,Frontiers in Neurorobotics,https://doi.org/10.3389/fnbot.2013.00021,ml_methods,Tutorial on gradient boosting methods
P125,"Feature engineering for machine learning",Zheng & Casari,2018,O'Reilly Media,ISBN 9781491953242,textbook,Practical guide to feature engineering for tabular ML
P126,"An Introduction to Statistical Learning",James et al,2021,Springer,https://www.statlearning.com/,textbook,Standard ML textbook covering regression trees ensemble methods cross-validation
P127,"The Elements of Statistical Learning",Hastie et al,2009,Springer,https://hastie.su.domains/ElemStatLearn/,textbook,Advanced ML textbook covering boosting random forests regularisation
P128,"Energy and Buildings: Special Issue on Performance Gap",various,2014,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2014.05.033,review,Special journal issue collecting performance gap research from multiple countries
P129,"The gap between intended and actual energy consumption",Calì et al,2016,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2016.06.016,performance_gap,German study with matched EPC and metered data for 1600 apartments
P130,"Socio-technical factors influencing residential energy use",Lutzenhiser,1993,Annual Review of Energy and Environment,https://doi.org/10.1146/annurev.eg.18.110193.001305,occupant_behaviour,Comprehensive review of sociological factors in residential energy use
P131,"A framework for understanding the interactions between building energy performance and occupant behaviour",Yan et al,2017,Applied Energy,https://doi.org/10.1016/j.apenergy.2017.06.075,occupant_behaviour,Framework for modeling occupant-building energy interactions
P132,"Irish residential construction practice",NSAI,2019,Irish Standard 440,https://www.nsai.ie/,irish_housing,National building standards for Irish residential construction
P133,"Thermal insulation products for buildings: Factory made mineral wool products",CEN,2012,EN 13162,https://standards.cen.eu/,building_physics,European standard for mineral wool insulation — U-value test methods
P134,"Windows and doors: Energy performance",CEN,2017,EN 14351-1,https://standards.cen.eu/,building_physics,European standard for window energy performance including U-value and g-value
P135,"Condensing boiler efficiency in practice",Orr et al,2009,Building Services Engineering Research and Technology,https://doi.org/10.1177/0143624409106725,heating_systems,Field study showing condensing boilers rarely achieve rated efficiencies
P136,"Heat pump coefficient of performance: Theory vs practice",Stafford,2020,Applied Energy,https://doi.org/10.1016/j.apenergy.2020.115200,heating_systems,Review of gap between rated and field COP for heat pumps
P137,"Solid fuel use in Irish homes: Health and environmental impacts",Aisling et al,2017,Environmental Research Letters,https://doi.org/10.1088/1748-9326/aa8c86,irish_energy,Solid fuel (coal peat) use patterns in Irish homes — concentrated in rural areas
P138,"Peat as heating fuel in Ireland: End of an era",Eirgrid/SEAI,2020,SEAI,https://www.seai.ie/publications/,irish_energy,Transition away from peat heating in Ireland — timeline and building stock implications
P139,"District heating potential in Ireland",Werner,2017,Energy,https://doi.org/10.1016/j.energy.2017.06.004,irish_heating,Assessment of district heating feasibility for Irish urban areas
P140,"Irish building stock model: Development and validation",Famuyibo et al,2013,Energy and Buildings,https://doi.org/10.1016/j.enbuild.2013.05.020,irish_housing,Bottom-up building stock model for Ireland calibrated to BER data and national energy statistics
P141,"Glass U-values: Calculating thermal transmittance of windows",Muneer et al,2000,Building and Environment,https://doi.org/10.1016/S0360-1323(99)00062-3,building_physics,Methods for calculating window thermal transmittance
P142,"Thermal mass in building design: A review",Balaras,1996,Energy and Buildings,https://doi.org/10.1016/0378-7788(95)00977-9,building_physics,Review of thermal mass effects on building energy performance
P143,"Bridging the gap between energy policy and practice in Irish housing",McGill et al,2017,Energy Policy,https://doi.org/10.1016/j.enpol.2017.04.005,irish_policy,Examines disconnect between policy ambitions and retrofit delivery in Ireland
P144,"Economic evaluation of residential energy efficiency programmes in Ireland",Clinch & Healy,2000,Building Services Engineering,https://doi.org/10.1177/014362440002100402,irish_retrofit,Early economic analysis of Irish residential energy efficiency programmes
