key,authors,year,title,venue,identifier,theme,role,verify
arxiv2603_13322,TLS many-body authors,2026,A Superconducting Qubit Coupled to a Many-Body TLS,arXiv,arXiv:2603.13322,3,TLS mechanism reference,VERIFY
prx_realtime_adaptive_t1,Real-time adaptive T1 authors,2025,Real-Time Adaptive Tracking of Fluctuating Relaxation Rates in Superconducting Qubits,Phys. Rev. X,doi (gk1b-stl3),3,drift-tracking adjacent work on T1,VERIFY
caliqec2025,CaliQEC authors,2025,CaliQEC: In-situ Qubit Calibration for Surface Code QEC,ISCA 2025,doi:10.1145/3695053.3731042,3;6,in-situ calibration reference,VERIFY
bluvstein2024natom,Bluvstein et al.,2024,Logical quantum processor based on reconfigurable atom arrays,Nature,arXiv:2312.03982; doi:10.1038/s41586-023-06927-3,3,neutral-atom logical qubit reference,
atomcomputing2025,"Norcia et al. (Atom Computing)",2025,Continuous operation of a coherent 3000-qubit system,Nature,VERIFY,3,continuous-operation neutral-atom reference,VERIFY
quantinuum_h2_toolkit,Quantinuum,2024,QEC Decoder Toolkit,Quantinuum Docs,docs.quantinuum.com/systems/trainings/h2/getting_started/qec_decoder_toolkit/,3;6,H2 QEC toolkit reference,
quantinuum_singleshot2024,Quantinuum et al.,2024,Single-Shot Error Correction on H2,blog / arXiv,VERIFY,6,single-shot QEC on H2 reference,VERIFY
bravyi2024bb,Bravyi et al. (IBM),2024,High-threshold and low-overhead fault-tolerant quantum memory (bivariate bicycle codes),Nature,arXiv:2308.07915,4;6,qLDPC reference; IBM production path,VERIFY
ibm_qldpc_2025,IBM,2025,Landmark qLDPC paper on Nature cover,Nature,VERIFY,6,IBM production cadence context,VERIFY
gidney2024cultivation,Gidney Shutty Jones,2024,Magic state cultivation,arXiv,arXiv:2409.17595,7,magic-state cost reference,VERIFY
gidney2023yoked,Gidney Newman Brooks Jones,2023,Yoked surface codes,arXiv,arXiv:2312.04522,7,yoked-code qubit reduction,VERIFY
chevignard2024residue,Chevignard Fouque Schrottenloher,2024,Reducing the number of qubits in quantum factoring,IACR / arXiv,VERIFY,7,residue arithmetic reference,VERIFY
bonilla2021xzzx,"Bonilla Ataides Tuckett Bartlett Flammia Brown",2021,The XZZX surface code,Nat. Commun.,doi:10.1038/s41467-021-22274-1,4,biased-noise tailored code,
doucet2001smc,Doucet de Freitas Gordon (eds.),2001,Sequential Monte Carlo Methods in Practice,Springer,doi:10.1007/978-1-4757-3437-9,2,canonical SMC edited volume,
chopin2020smc,Chopin Papaspiliopoulos,2020,An Introduction to Sequential Monte Carlo,Springer,doi:10.1007/978-3-030-47845-2,2,modern SMC textbook,
robert2004mc,Robert Casella,2004,Monte Carlo Statistical Methods (2nd ed.),Springer,doi:10.1007/978-1-4757-4145-2,2,Monte Carlo reference,
doucet2011tutorial,Doucet Johansen,2011,A tutorial on particle filtering and smoothing: fifteen years later,"Oxford Handbook of Nonlinear Filtering",stats.ox.ac.uk/~doucet/doucet_johansen_tutorialPF2011.pdf,2,standard PF review,
gordon1993novel,Gordon Salmond Smith,1993,Novel approach to nonlinear / non-Gaussian Bayesian state estimation,IEE Proceedings F,doi:10.1049/ip-f-2.1993.0015,2,bootstrap PF origin,
kitagawa1996,Kitagawa,1996,Monte Carlo filter and smoother for non-Gaussian nonlinear state space models,J. Comput. Graph. Stat.,doi:10.1080/10618600.1996.10474692,2,systematic resampling,
liu1998particle,Liu Chen,1998,Sequential Monte Carlo methods for dynamic systems,JASA,doi:10.1080/01621459.1998.10473765,2,ESS resampling threshold,
doucet2000rbpf,Doucet de Freitas Murphy Russell,2000,Rao-Blackwellised particle filtering for dynamic Bayesian networks,UAI 2000,doi:10.5555/2073946.2073976,2,RBPF reference,
doucet2000optimal,Doucet Godsill Andrieu,2000,On sequential Monte Carlo sampling methods for Bayesian filtering,Statistics and Computing,doi:10.1023/A:1008935410038,2,optimal proposal reference,
pitt1999auxiliary,Pitt Shephard,1999,Filtering via simulation: auxiliary particle filters,JASA,doi:10.1080/01621459.1999.10474153,2,APF reference,
delmoral2006smc,Del Moral Doucet Jasra,2006,Sequential Monte Carlo samplers,JRSS-B,doi:10.1111/j.1467-9868.2006.00553.x,2,SMC sampler tempering,
beskos2016stability,Beskos Crisan Jasra,2016,On the stability of sequential Monte Carlo methods in high dimensions,Annals Appl. Probab.,doi:10.1214/14-AAP1041,2,dim-curse and tempering,
gerber2015qmc,Gerber Chopin,2015,Sequential quasi Monte Carlo,JRSS-B,doi:10.1111/rssb.12104,2,QMC SMC reference,
bengtsson2008dim,Bengtsson Bickel Li,2008,Curse-of-dimensionality revisited: collapse of the particle filter in very large scale systems,IMS Collections,doi:10.1214/193940307000000518,2,dim-curse reference,
snyder2008obstacles,Snyder Bengtsson Bickel Anderson,2008,Obstacles to high-dimensional particle filtering,Monthly Weather Review,doi:10.1175/2008MWR2529.1,2,dim-curse reference,
vanleeuwen2009pf,van Leeuwen,2009,Particle filtering in geophysical systems,Monthly Weather Review,doi:10.1175/2009MWR2835.1,2,dim-curse applied,
li2015resampling,Li Bolic Djuric,2015,Resampling methods for particle filtering,IEEE Signal Process. Mag.,doi:10.1109/MSP.2014.2330626,2,resampling strategies review,
robert2021rb,Robert,2021,Rao-Blackwellisation in the MCMC era,Int. Stat. Rev.,doi:10.1111/insr.12463,2,RB review,
arxiv2312_09860,Auto RB-SMC authors,2024,Automatic Rao-Blackwellization for Sequential Monte Carlo with Belief Propagation,arXiv,arXiv:2312.09860,2,auto-RB SMC,VERIFY
blackjax2024smc,Cabezas et al.,2024,BlackJAX SMC implementation,GitHub / arXiv,github.com/blackjax-devs/blackjax,2,JAX SMC reference implementation,VERIFY
pymcsmc,PyMC team,-,PyMC sequential Monte Carlo samplers,PyMC docs,docs.pymc.io,2,Python SMC sampler,
poulin2006bayesian,Poulin,2006,Optimal and efficient decoding of concatenated quantum block codes,arXiv,arXiv:quant-ph/0606126,1,historical fully-Bayesian-decoding reference,VERIFY
duclos2010fast,Duclos-Cianci Poulin,2010,Fast decoders for topological quantum codes,arXiv,arXiv:1006.1362,1,belief-propagation decoding historical context,VERIFY
panteleev2021posd,Panteleev Kalachev,2021,Degenerate quantum LDPC codes with good finite length performance,arXiv,arXiv:1904.02703,4,BP+OSD reference,VERIFY
panteleev2022good,Panteleev Kalachev,2022,Asymptotically good quantum and locally testable classical LDPC codes,STOC,doi:10.1145/3519935.3520017,4,asymptotic good qLDPC reference,
roffe2020ldpc,Roffe et al.,2020,Decoding across the quantum LDPC code landscape,Phys. Rev. Research,doi:10.1103/PhysRevResearch.2.043423,4,BP+OSD canonical reference,
delfosse2021uf,Delfosse Nickerson,2021,Almost-linear time decoding algorithm for topological codes,Quantum,doi:10.22331/q-2021-12-02-595,4,union-find decoder reference,
higgott2023pymatching,Higgott,2022,PyMatching v2,GitHub,github.com/oscarhiggott/PyMatching,4,PyMatching toolchain,
chubb2021tn,Chubb,2021,General tensor network decoding of 2D Pauli codes,arXiv,arXiv:2101.04125,4,TN decoder reference,
sahay2023colorrestriction,Sahay Brown,2023,Decoder for the triangular color code by matching on a Möbius strip,PRX Quantum,doi:10.1103/PRXQuantum.3.010310,4,color-code restriction decoder,VERIFY
gidney2022floquet,Gidney Shutty Jones,2022,Fault-tolerant logical primitives in floquet codes,arXiv,arXiv:2202.11845,4,honeycomb/floquet reference,VERIFY
hastings2021floquet,Hastings Haah,2021,Dynamically generated logical qubits,Quantum,doi:10.22331/q-2021-10-19-564,4,floquet code definition,
bombin2006color,Bombin Martin-Delgado,2006,Topological quantum distillation,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.97.180501,4,color code canonical,
litinski2019pauli,Litinski,2019,A game of surface codes: large-scale quantum computing with lattice surgery,Quantum,doi:10.22331/q-2019-03-05-128,6;7,lattice-surgery compilation,
aasen2023fault,Aasen Bonilla Ataides Higgott et al.,2023,Fault-tolerant Hastings-Haah codes on the honeycomb lattice,arXiv,arXiv:2308.03750,4,floquet code further reference,VERIFY
tuckett2019biased,Tuckett Bartlett Flammia,2019,Ultrahigh error threshold for surface codes with biased noise,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.120.050505,4,biased-noise threshold,
darmawan2018,Darmawan Poulin,2018,Linear-time general decoding algorithm for the surface code,Phys. Rev. E,doi:10.1103/PhysRevE.97.051302,4,Pauli-twirling loss reference,
bravyi2018,Bravyi Englbrecht Koenig et al.,2018,Correcting coherent errors with surface codes,npj Quantum Information,doi:10.1038/s41534-018-0106-y,4,coherent-noise loss reference,VERIFY
nielsenchuang2010,Nielsen Chuang,2010,Quantum Computation and Quantum Information (10th anniversary ed.),Cambridge,ISBN:9781107002173,1;4,QEC textbook,
lidar2013brun,Lidar Brun (eds.),2013,Quantum Error Correction,Cambridge,ISBN:9780521897877,1;4,QEC textbook,
gottesman2014constant,Gottesman,2014,Fault-tolerant quantum computation with constant overhead,QIC,doi:10.26421/QIC14.15-16,6,constant-overhead FTQC reference,
knill2005posts,Knill,2005,Quantum computing with realistically noisy devices,Nature,doi:10.1038/nature03350,6,postselection + concatenation FTQC reference,
aliferis2008post,Aliferis Preskill,2008,Fault-tolerant quantum computation against biased noise,Phys. Rev. A,doi:10.1103/PhysRevA.78.052331,4,biased-noise FTQC,
shor1996faulttol,Shor,1996,Fault-tolerant quantum computation,FOCS,doi:10.1109/SFCS.1996.548464,6,FTQC origin,
steane1996,Steane,1996,Error correcting codes in quantum theory,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.77.793,4,Steane code reference,
aharonov1997,Aharonov Ben-Or,1997,Fault-tolerant quantum computation with constant error,STOC,doi:10.1145/258533.258579,6,threshold theorem,
kitaev2003toric,Kitaev,2003,Fault-tolerant quantum computation by anyons,Ann. Phys.,doi:10.1016/S0003-4916(02)00018-0,4,toric code origin,
olle2024rl,"Ollé Rinaldi Tabesh Rose",2024,RL for quantum code discovery,arXiv,arXiv:2406.05992,4,RL code-discovery reference,VERIFY
leverrier2022tanner,Leverrier Zémor,2022,Quantum Tanner codes,FOCS,doi:10.1109/FOCS54457.2022.00078,4,good qLDPC reference,
tillich2014hgp,Tillich Zémor,2014,Quantum LDPC codes with positive rate and minimum distance proportional to √n,IEEE TIT,doi:10.1109/TIT.2013.2292061,4,hypergraph product reference,
bluvstein2025fta,Bluvstein et al.,2025,A fault-tolerant neutral-atom architecture for universal quantum computation,Nature,doi:10.1038/s41586-025-09848-5,3,neutral-atom FT architecture,VERIFY
xu2025compact,Xu et al.,2024,A compact neutral-atom fault-tolerant quantum computer based on new quantum codes,Nat. Phys.,doi:10.1038/s41567-024-02480-6,3,compact neutral-atom code,VERIFY
arxiv2308_14756,"Adaptive mitigation authors",2023,Adaptive mitigation of time-varying quantum noise,arXiv,arXiv:2308.14756,1,adaptive Bayesian mitigation reference,VERIFY
arxiv2509_12933,Data-Efficient ML noise authors,2025,Data-Efficient Quantum Noise Modeling via Machine Learning,arXiv,arXiv:2509.12933,1,ML noise modelling reference,VERIFY
arxiv2603_20127,"QEC decoder verifier authors",2026,Analyzing Decoders for Quantum Error Correction,arXiv,arXiv:2603.20127,4,decoder-verification reference,VERIFY
arxiv2603_18457,Beyond Pauli stochastic authors,2026,Simulating Quantum Error Correction beyond Pauli Stochastic Errors,arXiv,arXiv:2603.18457,5,non-Pauli noise simulation reference,VERIFY
chopin2020smc_python,Chopin,-,"particles: Python library for SMC",GitHub,github.com/nchopin/particles,2,Python SMC reference implementation,
cuda_q_qec_2024,NVIDIA,2024,CUDA-Q QEC,NVIDIA Docs,developer.nvidia.com/cuda-q-qec,4,GPU BP+OSD reference,
stim_github,Gidney et al.,2021-,Stim repository,GitHub,github.com/quantumlib/stim,5,Stim tool,
tesseract_github,Google Quantum AI,-,tesseract-decoder,GitHub,github.com/quantumlib/tesseract-decoder,4,correlated matching decoder reference,
chromobius_github,Google Quantum AI,-,chromobius,GitHub,github.com/quantumlib/chromobius,4,color code decoder,
pymatching_github,Higgott,2022,PyMatching repository,GitHub,github.com/oscarhiggott/PyMatching,4,matching decoder reference,
sinter_github,Google Quantum AI,-,Sinter,GitHub,github.com/quantumlib/stim/tree/main/glue/sample,5,Monte Carlo driver,
delfosse2021uf_arxiv,Delfosse Nickerson,2017,Almost-linear time decoding algorithm for topological codes,arXiv,arXiv:1709.06218,4,union-find reference,
duclos2014kitaev,Duclos-Cianci Poulin,2014,Fault-tolerant renormalization group decoder for abelian topological codes,arXiv,arXiv:1304.6100,4,RG decoder reference,
gidney2018magic,Gidney Fowler,2018,Efficient magic state factories with a catalyzed |CCZ⟩ to 2|T⟩ transformation,Quantum,doi:10.22331/q-2019-04-30-135,7,magic state factory reference,
azure_estimator_docs,Microsoft,2022,Azure Quantum Resource Estimator,Microsoft Docs,learn.microsoft.com/azure/quantum/overview-resources-estimator,7,PER-2 secondary estimator,
beverland2022assessing,Beverland et al. (Microsoft),2022,Assessing requirements to scale to practical quantum advantage,arXiv,arXiv:2211.07629,7,resource estimation methodology,VERIFY
haah2018magic,Haah Hastings,2018,Codes and protocols for distilling T, controlled-S, and Toffoli gates,Quantum,doi:10.22331/q-2018-05-08-71,7,magic state distillation reference,
litinski2019magic,Litinski,2019,Magic state distillation: not as costly as you think,Quantum,doi:10.22331/q-2019-12-02-205,7,magic state costing,
zhou2025concurrent,Zhou et al.,2025,Concurrent decoding reduces logical error rate,arXiv,VERIFY,4;6,concurrent decoding reference,VERIFY
arxiv2506_01779,Improved BP authors,2025,Improved BP decoding for qLDPC codes,arXiv,arXiv:2506.01779,4,BP without OSD reference,VERIFY
gillman2022superposition,Gillman Place Preskill,2022,Superposition-based quantum error correction,arXiv,VERIFY,1,alternative paradigm reference,VERIFY
aliferis2006accuracy,Aliferis Gottesman Preskill,2006,Quantum accuracy threshold for concatenated distance-3 codes,QIC,doi:10.26421/QIC6.2-2,6,threshold reference,
chamberland2022universal,Chamberland Noh et al. (AWS),2022,Building a fault-tolerant quantum computer using concatenated cat codes,arXiv,arXiv:2012.04108,4,cat-code reference,VERIFY
brown2016fault,Brown,2016,Fault-tolerant logical gates,review,VERIFY,4,logical gate review,VERIFY
bombin2015gauge,Bombin,2015,Gauge color codes: optimal transversal gates and gauge fixing in topological stabilizer codes,New J. Phys.,doi:10.1088/1367-2630/17/8/083002,4,3D color code transversal reference,
kovalev2013fault,Kovalev Pryadko,2013,Fault-tolerance of quantum low-density parity check codes,Phys. Rev. A,doi:10.1103/PhysRevA.87.020304,4,qLDPC FT reference,
breuckmann2021quantum,Breuckmann Eberhardt,2021,Quantum low-density parity-check codes,PRX Quantum,doi:10.1103/PRXQuantum.2.040101,4,qLDPC review,
terhal2015review,Terhal,2015,Quantum error correction for quantum memories,Rev. Mod. Phys.,doi:10.1103/RevModPhys.87.307,4,QEC review,
preskill1997reliable,Preskill,1997,Reliable quantum computers,Proc. Royal Soc. A,doi:10.1098/rspa.1998.0167,6,early FTQC reference,
campbell2017roads,Campbell Terhal Vuillot,2017,Roads towards fault-tolerant universal quantum computation,Nature,doi:10.1038/nature23460,6,FTQC review,
sivak2023realtime,Sivak Eickbusch et al. (Yale),2023,Real-time quantum error correction beyond break-even,Nature,doi:10.1038/s41586-023-05782-6,6,cat-code real-time QEC reference,
gertler2021protecting,Gertler Baker Li,2021,Protecting a bosonic qubit with autonomous quantum error correction,Nature,doi:10.1038/s41586-021-03257-0,6,bosonic QEC reference,
fluhmann2019encoding,Flühmann et al.,2019,Encoding a qubit in a trapped-ion mechanical oscillator,Nature,doi:10.1038/s41586-019-0960-6,6,GKP reference,
campagne2020quantum,Campagne-Ibarcq et al.,2020,Quantum error correction of a qubit encoded in a grid state,Nature,doi:10.1038/s41586-020-2603-3,6,GKP reference,
heussen2024quasiprob,Heussen et al.,2024,Measurement-based quasi-probability error mitigation,VERIFY,VERIFY,1,error mitigation adjacent,VERIFY
cai2023quantum,Cai et al.,2023,Quantum error mitigation,Rev. Mod. Phys.,doi:10.1103/RevModPhys.95.045005,1,QEM review,VERIFY
temme2017error,Temme Bravyi Gambetta,2017,Error mitigation for short-depth quantum circuits,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.119.180509,1,zero-noise extrapolation,
li2017efficient,Li Benjamin,2017,Efficient variational quantum simulator incorporating active error minimization,Phys. Rev. X,doi:10.1103/PhysRevX.7.021050,1,ZNE reference,
koczor2021exponential,Koczor,2021,Exponential error suppression for near-term quantum devices,Phys. Rev. X,doi:10.1103/PhysRevX.11.031057,1,virtual distillation reference,VERIFY
huggins2021virtual,Huggins et al.,2021,Virtual distillation for quantum error mitigation,Phys. Rev. X,doi:10.1103/PhysRevX.11.041036,1,virtual distillation reference,
hashim2021randomized,Hashim et al.,2021,Randomized compiling for scalable quantum computing on a noisy superconducting quantum processor,Phys. Rev. X,doi:10.1103/PhysRevX.11.041039,5,randomised compiling (tailors noise to stochastic),
wallman2016noise,Wallman Emerson,2016,Noise tailoring for scalable quantum computation via randomized compiling,Phys. Rev. A,doi:10.1103/PhysRevA.94.052325,5,randomised compiling origin,
merkel2013self,Merkel Gambetta Smolin Poletto Corcoles Johnson Chow Steffen,2013,Self-consistent quantum process tomography,Phys. Rev. A,doi:10.1103/PhysRevA.87.062119,3,GST reference,
nielsen2021gate,Nielsen Gamble Rudinger et al. (Sandia),2021,Gate Set Tomography,Quantum,doi:10.22331/q-2021-10-05-557,3,GST canonical reference,
blume2017demonstration,Blume-Kohout Gamble Nielsen Rudinger Mizrahi Fortier Maunz,2017,Demonstration of qubit operations below a rigorous fault tolerance threshold with gate set tomography,Nat. Commun.,doi:10.1038/ncomms14485,3,GST demo reference,
magesan2012rb,Magesan Gambetta Emerson,2012,Characterizing quantum gates via randomized benchmarking,Phys. Rev. A,doi:10.1103/PhysRevA.85.042311,3,randomised benchmarking,
proctor2019direct,Proctor Seritan Rudinger Nielsen Blume-Kohout Young,2019,Direct randomized benchmarking for multiqubit devices,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.123.030503,3,direct RB reference,
helsen2022general,Helsen Roth Onorati Werner Eisert,2022,General framework for randomized benchmarking,PRX Quantum,doi:10.1103/PRXQuantum.3.020357,3,RB framework,
erhard2019character,Erhard et al.,2019,Characterizing large-scale quantum computers via cycle benchmarking,Nat. Commun.,doi:10.1038/s41467-019-13068-7,3,cycle benchmarking reference,
flammia2020efficient,Flammia Wallman,2020,Efficient estimation of Pauli channels,ACM Trans. Quantum Comput.,doi:10.1145/3408039,3,Pauli channel estimation reference,
harper2020efficient,Harper Flammia Wallman,2020,Efficient learning of quantum noise,Nat. Phys.,doi:10.1038/s41567-020-0992-8,3,noise learning reference,
harper2021fast,Harper Yu Flammia,2021,Fast estimation of sparse quantum noise,PRX Quantum,doi:10.1103/PRXQuantum.2.010322,3,sparse noise estimation,
chen2022quantum,Chen Huang,2022,Quantum advantages for Pauli channel estimation,Phys. Rev. A,doi:10.1103/PhysRevA.105.032435,3,Pauli channel estimation complexity,
huang2020predicting,Huang Kueng Preskill,2020,Predicting many properties of a quantum system from very few measurements (classical shadows),Nat. Phys.,doi:10.1038/s41567-020-0932-7,5,classical shadows reference,
kueng2017low,Kueng Long Gross Rauhut Gross,2017,Low rank matrix recovery from rank-one measurements,Appl. Comput. Harmon. Anal.,doi:10.1016/j.acha.2015.07.007,5,compressed sensing reference,
onorato2023syndromestat,Onorato et al.,2023,Syndrome statistics characterisation,VERIFY,VERIFY,5,syndrome-statistics reference,VERIFY
fletcher2008syndrome,Fletcher Shor Win,2008,Optimum quantum error recovery using semidefinite programming,Phys. Rev. A,doi:10.1103/PhysRevA.77.012320,1,optimum recovery reference,
pastawski2015channel,Pastawski Preskill,2015,Error correction for encoded quantum annealing,Phys. Rev. A,doi:10.1103/PhysRevA.93.052325,4,encoded annealing reference,VERIFY
iyer2015recovery,Iyer Poulin,2015,Hardness of decoding quantum stabilizer codes,IEEE TIT,doi:10.1109/TIT.2015.2422294,4,decoding hardness reference,
hutter2014efficient,Hutter Wootton Loss,2014,Efficient Markov chain Monte Carlo algorithm for the surface code,Phys. Rev. A,doi:10.1103/PhysRevA.89.022326,4,MCMC decoder reference,
bravyi2014efficient,Bravyi Suchara Vargo,2014,Efficient algorithms for maximum likelihood decoding in the surface code,Phys. Rev. A,doi:10.1103/PhysRevA.90.032326,4,ML decoder reference,
meinel2022programming,Meinel et al.,2022,IBM Quantum lattice-surgery pipeline,VERIFY,VERIFY,6,IBM lattice surgery reference,VERIFY
andersen2020repeated,"Andersen et al. (ETH)",2020,Repeated quantum error detection in a surface code,Nat. Phys.,doi:10.1038/s41567-020-0920-y,6,ETH surface-code demo,
krinner2022realizing,Krinner et al.,2022,Realizing repeated quantum error correction in a distance-three surface code,Nature,doi:10.1038/s41586-022-04566-8,6,d=3 surface code,
zhao2022realization,"Zhao et al. (Google/USTC?)",2022,Realization of an error-correcting surface code with superconducting qubits,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.129.030501,6,surface code demo,VERIFY
google2023suppressing,Google Quantum AI,2023,Suppressing quantum errors by scaling a surface code logical qubit,Nature,doi:10.1038/s41586-022-05434-1,6,d=3/5 Sycamore memory,
kelly2015state,Kelly et al.,2015,State preservation by repetitive error detection in a superconducting quantum circuit,Nature,doi:10.1038/nature14270,6,early QEC demo,
