id,title,authors,year,venue,url,category,relevance
P069,"Inertia Estimation of the GB Power System Using Synchrophasor Measurements",Ashton P. Taylor G. Irving M. Carter A. Bradley M.,2015,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2014.2333776,frequency_stability,Real-time inertia estimation from PMU data
P070,"Renewable Energy Sources in the Spanish Electricity Market: A Review",Ciarreta A. Gutierrez-Hita C. Nasirov S.,2011,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2011.07.150,iberian_context,Spanish electricity market structure and RE evolution
P071,"The Spanish Power System: Status and Future Trends",REE,2024,Red Electrica Annual Report,https://www.ree.es/en/datos/publications,iberian_context,Latest REE overview of Spanish grid structure
P072,"Portuguese Power System and the Role of Renewables",REN,2024,REN Annual Report,https://www.ren.pt/en/what-we-do/electricity/market-data,iberian_context,Portuguese grid operator system overview
P073,"Interconnection Capacity Between Spain and France: Planning and Challenges",ENTSO-E,2022,TYNDP Report,https://tyndp.entsoe.eu/,iberian_context,Spain-France interconnection capacity analysis
P074,"The Role of Battery Energy Storage in Low-Inertia Power Systems",Fang J. Li H. Tang Y. Blaabjerg F.,2019,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2019.2929975,energy_storage,Battery storage for inertia provision
P075,"Wind Turbine Clustering and Curtailment Control",Gu M. et al.,2018,Renewable Energy,https://doi.org/10.1016/j.renene.2018.03.048,renewable_integration,Wind curtailment strategies affecting grid stability
P076,"Impact of Solar PV on Voltage Regulation in Distribution Networks",Tonkoski R. Lopes L. El-Fouly T.,2012,IEEE Transactions on Sustainable Energy,https://doi.org/10.1109/TSTE.2012.2195169,voltage_stability,Solar PV voltage regulation impacts
P077,"Reactive Power Management of Power Networks with Wind Generation",Meegahapola L. Flynn D. Kennedy J.,2011,Springer,https://doi.org/10.1007/978-1-4614-1385-4,voltage_stability,Reactive power management with wind generation
P078,"N-1 Security Constrained Unit Commitment with Corrective Actions",Fu Y. Shahidehpour M.,2009,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2008.2008133,methods,N-1 contingency in commitment optimization
P079,"Online Assessment of Voltage Stability",Ajjarapu V. Christy C.,1992,IEEE Transactions on Power Systems,https://doi.org/10.1109/59.141711,voltage_stability,Continuation power flow for voltage stability
P080,"Modal Analysis for Voltage Stability",Gao B. Morison G. Kundur P.,1992,IEEE Transactions on Power Systems,https://doi.org/10.1109/59.207377,voltage_stability,Eigenvalue-based voltage stability methods
P081,"An Energy Approach to Static Voltage Stability",Overbye T. DeMarco C.,1995,IEEE Transactions on Power Systems,https://doi.org/10.1109/59.387921,voltage_stability,Energy function methods for voltage stability
P082,"The Relationship Between Electricity Spot Prices and Grid Frequency",Schafer B. et al.,2018,Nature Energy,https://doi.org/10.1038/s41560-017-0058-z,frequency_stability,Empirical frequency-price relationship in European grids
P083,"Frequency Fluctuations in Power Grids: A Stochastic Approach",Anvari M. et al.,2016,Scientific Reports,https://doi.org/10.1038/srep35978,frequency_stability,Stochastic frequency dynamics modelling
P084,"Non-Gaussian Power Grid Frequency Fluctuations Characterized by Levy-Stable Laws and Superstatistics",Schafer B. et al.,2018,Nature Energy,https://doi.org/10.1038/s41560-017-0058-z,frequency_stability,Statistical characterization of frequency fluctuations
P085,"Analysis of the Continental European Power System Frequency During the 4 November 2006 Disturbance",Weissbach T.,2009,European Transactions on Electrical Power,https://doi.org/10.1002/etep.328,historical_blackout,Frequency dynamics during 2006 European split
P086,"The Statistical Physics of Power Grids: Modelling and Analysis",Witthaut D. et al.,2022,Reviews of Modern Physics,https://doi.org/10.1103/RevModPhys.94.015005,methods,Statistical physics approaches to power grid analysis
P087,"Microgrids: Architecture and Control",Olivares D. et al.,2014,IEEE Transactions on Smart Grid,https://doi.org/10.1109/TSG.2013.2294402,renewable_integration,Microgrid concepts relevant to grid islanding
P088,"Impact of Distributed Generation on Power System Transient Stability",Khatod D. Pant V. Sharma J.,2010,International Journal of Electrical Power and Energy Systems,https://doi.org/10.1016/j.ijepes.2009.12.005,renewable_integration,DG effects on transient stability margins
P089,"The Role of HVDC in Managing Future European Power Systems",Van Hertem D. Ghandhari M.,2010,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2010.2042753,iberian_context,HVDC interconnector role in European system
P090,"Generation Adequacy and Firm Capacity in a System with a High Renewable Share",Keane A. et al.,2011,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2011.2164944,renewable_integration,Adequacy and firm capacity with high renewables
P091,"Critical Slowing Down as Early Warning for the Onset and Termination of Depression",Wichers M. et al.,2016,Proceedings of the National Academy of Sciences,https://doi.org/10.1073/pnas.1312114110,cross_domain,Critical slowing down theory applicable to grid dynamics
P092,"Anticipating Critical Transitions",Scheffer M. et al.,2012,Science,https://doi.org/10.1126/science.1225244,cross_domain,Generic early warning signals for complex system transitions
P093,"Early-Warning Signals for Critical Transitions",Scheffer M. et al.,2009,Nature,https://doi.org/10.1038/nature08227,cross_domain,Foundational paper on early warning signals in complex systems
P094,"XGBoost: A Scalable Tree Boosting System",Chen T. Guestrin C.,2016,Proceedings of the 22nd ACM SIGKDD,https://doi.org/10.1145/2939672.2939785,methods,XGBoost method paper
P095,"LightGBM: A Highly Efficient Gradient Boosting Decision Tree",Ke G. et al.,2017,NeurIPS,https://papers.nips.cc/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa,methods,LightGBM method paper
P096,"Extremely Randomized Trees",Geurts P. Ernst D. Wehenkel L.,2006,Machine Learning,https://doi.org/10.1007/s10994-006-6226-1,methods,ExtraTrees method paper
P097,"Power System Protection: Principles and Practice",Anderson P.,1999,IEEE Press,https://doi.org/10.1109/9780470545584,textbook,Protection relay theory and coordination
P098,"Applied Predictive Modeling",Kuhn M. Johnson K.,2013,Springer,https://doi.org/10.1007/978-1-4614-6849-3,textbook,Practical ML workflow including cross-validation strategies
P099,"The Renewable Energy Transition in the European Power Sector: Status Barriers and Solutions",Hirth L.,2013,Applied Energy,https://doi.org/10.1016/j.apenergy.2013.04.048,renewable_integration,Market value of renewables declining with penetration
P100,"Provision of Frequency Reserves from Wind Power Plants",De Almeida R. Lopes J. Barreiros J.,2007,Proceedings of the IEEE PES General Meeting,https://doi.org/10.1109/PES.2007.386086,frequency_stability,Wind provision of frequency response
P101,"ENTSO-E Transparency Platform: Fundamentals",ENTSO-E,2023,ENTSO-E Documentation,https://transparency.entsoe.eu/content/static_content/Static%20content/knowledge%20base/knowledge-base.html,data_source,Documentation for ENTSO-E data platform
P102,"Network Code on Requirements for Grid Connection of Generators",ENTSO-E,2016,EU Regulation 2016/631,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32016R0631,regulation,EU grid connection code for generators
P103,"Network Code on High Voltage Direct Current Connections",ENTSO-E,2016,EU Regulation 2016/1447,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32016R1447,regulation,HVDC connection codes
P104,"ENTSO-E Continental Europe Operation Handbook",ENTSO-E,2019,ENTSO-E Operations,https://www.entsoe.eu/publications/system-operations-reports/operation-handbook/,regulation,Operational procedures for Continental Europe area
P105,"Estimating the Renewable Energy Potential in Africa",IRENA,2015,IRENA Report,https://www.irena.org/publications/2015/,cross_domain,Methods for renewable potential estimation transferable to Iberia
P106,"The Value of Forecasting",Morales J. et al.,2014,International Journal of Forecasting,https://doi.org/10.1016/j.ijforecast.2013.02.002,methods,Value of probabilistic forecasting for grid operations
P107,"Probabilistic Forecasting of Wind Power Generation Losses",Bessa R. et al.,2012,Renewable Energy,https://doi.org/10.1016/j.renene.2011.10.019,methods,Portuguese wind power forecasting methods
P108,"Operating Reserve Determination Considering Rapid Increase of Renewable Energy",Ela E. et al.,2013,NREL Technical Report,https://doi.org/10.2172/1080281,frequency_stability,Reserve sizing with high renewables
P109,"Power System Oscillations",Rogers G.,2000,Kluwer Academic,https://doi.org/10.1007/978-1-4615-4561-3,textbook,Inter-area oscillations theory and damping
P110,"Oscillation Detection and Classification in Power Systems Using Wide-Area Monitoring",Trudnowski D. et al.,2008,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2008.926426,frequency_stability,PMU-based oscillation detection
P111,"Sub-Synchronous Resonance in Power Systems: A Review",IEEE Committee,1992,IEEE Transactions on Power Systems,https://doi.org/10.1109/59.141717,frequency_stability,Sub-synchronous oscillation mechanisms
P112,"Subsynchronous Oscillation in Full Converter Wind Turbines",Fan L. Miao Z.,2012,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2012.2190290,inverter_control,Subsynchronous oscillations from inverter-based resources
P113,"The Spanish Electricity System 2024: Preliminary Report",REE,2025,REE Annual Report,https://www.ree.es/en/datos/publications,iberian_context,Spanish grid 2024 statistics and generation mix
P114,"Impacts of Frequency Support by Wind and Solar on Power System Dynamics",Daly P. Flynn D.,2017,Proceedings of the IEEE,https://doi.org/10.1109/PESGM.2017.8274596,frequency_stability,Dynamic impacts of RE frequency support
P115,"The 2019 Southeast Australian Heatwave and Grid Instability",AEMO,2019,AEMO Market Event Report,https://www.aemo.com.au/,historical_blackout,Australian heat-related grid instability
P116,"Weather-Dependent Failure Rates of Overhead Lines",Billinton R. Singh G.,2006,IEEE Transactions on Power Delivery,https://doi.org/10.1109/TPWRD.2006.876695,cascading_failure,Weather effects on line failure rates
P117,"Vulnerability Assessment of Large-Scale Power Systems Using Complex Network Theory",Albert R. Albert I. Nakarado G.,2004,Physical Review E,https://doi.org/10.1103/PhysRevE.69.025103,cascading_failure,Network topology vulnerability of power grids
P118,"Cross-Border Electricity Trade and Climate Policy",Keppler J. Cometto M.,2005,IEA/NEA,https://www.iea.org/reports,iberian_context,Cross-border trade mechanics relevant to Spain-France flows
P119,"Synthetic Inertia: A Review of Wind and Solar PV Capabilities",Dreidy M. Mokhlis H. Mekhilef S.,2017,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2017.01.060,inverter_control,Comprehensive synthetic inertia review
P120,"Frequency-Sensitive Wind Plant Active Power Control",Clark K. Miller N. Sanchez-Gasca J.,2010,IEEE PES General Meeting,https://doi.org/10.1109/PES.2010.5589611,frequency_stability,GE wind turbine frequency response implementation
P121,"Dynamic Stability Analysis of Autonomous and Interconnected Power Systems",Chow J.,2013,Wiley-IEEE Press,https://doi.org/10.1002/9781118516058,textbook,Advanced dynamic stability theory
P122,"Comparative Analysis of Time-Series Cross-Validation Methods for Machine Learning",Bergmeir C. Benitez J.,2012,Information Sciences,https://doi.org/10.1016/j.ins.2011.12.028,methods,Time-series cross-validation approaches
P123,"Line Stability Index FVSI for Dynamic Voltage Stability Analysis",Musirin I. Abdul Rahman T.,2002,Journal of Computer and Electrical Engineering,https://doi.org/10.1016/S0045-7906(00)00045-4,voltage_stability,Fast Voltage Stability Index formulation
P124,"Continuation Power Flow for Voltage Stability Analysis Including Reactive Power",Ajjarapu V.,2006,Springer,https://doi.org/10.1007/978-0-387-32935-2,voltage_stability,CPF method for P-V and Q-V curves
P125,"Power System Analysis: Short-Circuit Load Flow and Harmonics",Glover J. et al.,2012,Cengage,https://www.cengage.com/,textbook,Short circuit analysis methods
P126,"Reactive Power Support from End Consumers: Systematic Literature Review",Georgilakis P. Hatziargyriou N.,2013,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2013.2259268,voltage_stability,Reactive power provision challenges
P127,"ERA5: Fifth Generation ECMWF Atmospheric Reanalysis",Hersbach H. et al.,2020,Quarterly Journal of the Royal Meteorological Society,https://doi.org/10.1002/qj.3803,data_source,ERA5 reanalysis description for wind/solar reconstruction
P128,"Irradiance Forecasting for Solar Energy Power Production: A Review",Inman R. Pedro H. Coimbra C.,2013,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2012.11.048,methods,Solar irradiance forecasting for PV output prediction
P129,"Wind Speed Forecasting in the Short Term: A Review",Soman S. Zareipour H. Malik O.,2010,Renewable Energy,https://doi.org/10.1016/j.renene.2010.03.003,methods,Wind speed forecasting methodologies
P130,"The Blackout of 14 August 2003: Lessons Learned",Liscouski B. Elliot W.,2004,IEEE Power and Energy Magazine,https://doi.org/10.1109/MPAE.2003.1249018,historical_blackout,Operational lessons from 2003 US-Canada blackout
P131,"Protection Challenges with High Penetration of Renewable Energy Sources",Jia K. et al.,2017,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2016.10.007,inverter_control,Protection relay challenges with low fault current from inverters
P132,"Multi-Area State Estimation Using Synchronized Phasor Measurements",Abur A. Gomez-Exposito A.,2004,IEEE Transactions on Power Systems,https://doi.org/10.1109/TPWRS.2003.822948,methods,PMU-based wide area monitoring
P133,"Transient Stability of Power Systems: A Unified Approach to Assessment and Control",Pavella M. Ernst D. Ruiz-Vega D.,2000,Springer,https://doi.org/10.1007/978-1-4615-4319-0,methods,Transient stability assessment methods
P134,"Statistical Learning Theory",Vapnik V.,1998,Wiley,https://doi.org/10.1002/0471722146,textbook,Mathematical foundations of ML generalization
P135,"The Effect of Renewable Generation on the Electricity Spot Market: A Panel Data Approach",Sensfuss F. Ragwitz M. Genoese M.,2008,Energy Economics,https://doi.org/10.1016/j.eneco.2007.11.006,renewable_integration,Merit order effect of renewables on spot prices
P136,"Spanish TSO REE Operating Procedures",REE,2023,REE Operations,https://www.ree.es/es/actividades/operacion-del-sistema-electrico,regulation,Spanish operational procedures and reliability criteria
P137,"Portugal TSO REN System Operations",REN,2023,REN Operations,https://www.ren.pt/en/what-we-do/electricity/system-operation,regulation,Portuguese operational procedures
