id,title,authors,year,venue,theme,method,material,key_finding,doi_or_url
31,"In situ monitoring for fused filament fabrication process: A review","Various",2021,"Additive Manufacturing","Process monitoring","Review","FFF materials","Comprehensive review of in-situ monitoring sensors and methods for FFF","https://www.sciencedirect.com/science/article/abs/pii/S2214860420311210"
32,"Multi-view deep information fusion framework for online quality monitoring in MEAM","Various",2025,"Virtual and Physical Prototyping","Process monitoring","Multi-view deep fusion","ME materials","Multi-view fusion for autonomous quality monitoring and correction","https://doi.org/10.1080/17452759.2025.2500672"
33,"Real-time remote monitoring and defect detection in smart AM for reduced material wastage","Various",2025,"Measurement","Process monitoring","Smart monitoring","AM materials","Real-time monitoring framework for waste reduction in AM","https://www.sciencedirect.com/science/article/abs/pii/S0263224125007213"
34,"FDM-3D printing parameter optimization using Taguchi approach on surface roughness of TPU parts","Various",2023,"IJIDM","DOE optimization","Taguchi L27 + ANOVA","TPU","Taguchi optimization with S/N ratio and ANOVA for TPU surface finish","https://doi.org/10.1007/s12008-023-01304-w"
35,"Taguchi-ANN Hybrid Approach for Evaluating Unsupported Overhang Structures in FDM","Ulkir",2025,"J. Polymer Science","DOE + ML","Taguchi + ANN","PLA/ABS","Hybrid Taguchi-ANN for overhang quality prediction","https://doi.org/10.1002/pol.20250752"
36,"Optimization of process parameters to minimize circularity error and surface roughness in FDM using Taguchi","Various",2024,"J. Biomedical Materials","DOE optimization","Taguchi + ANOVA","Biomedical polymers","42% circularity error reduction, 67% Ra reduction vs defaults","https://doi.org/10.1080/20550340.2024.2406156"
37,"Investigation on Mechanical Properties of 3D Printed CF/ABS by Optimized Process Parameters Using Taguchi and ANOVA","Various",2025,"Springer","DOE optimization","Taguchi + ANOVA","CF/ABS","Taguchi-ANOVA optimization for carbon fiber reinforced ABS","https://doi.org/10.1007/978-981-96-3165-0_17"
38,"Toward autonomous additive manufacturing: Bayesian optimization on a 3D printer","Various",2021,"MRS Bulletin","Bayesian optimization","Bayesian optimization","AM materials","Framework for autonomous AM parameter optimization using BO","https://doi.org/10.1557/s43577-021-00051-1"
39,"Bayesian optimization with GP-based active ML for geometric accuracy in projection multi-photon 3D printing","Various",2024,"Light: Science & Applications","Bayesian optimization","GP + Active learning","Photopolymers","Active learning with GP for optimal process parameter determination","https://www.nature.com/articles/s41377-024-01707-8"
40,"Optimizing 3D Printing Process Parameters to Minimize Surface Roughness Using Bayesian Optimization","Various",2024,"ASME IDETC-CIE","Bayesian optimization","Bayesian optimization","FDM materials","BO for surface roughness minimization in FDM","https://doi.org/10.1115/DETC2024-143456"
41,"Deep Gaussian process for enhanced Bayesian optimization in additive manufacturing","Various",2024,"IISE Transactions","Bayesian optimization","Deep GP + BO","AM materials","Deep GP surrogate overcomes non-stationarity in AM optimization","https://doi.org/10.1080/24725854.2024.2312905"
42,"AMBayes: Bayesian data-driven framework for large-scale full-field prediction in AM","Various",2025,"J. Intelligent Manufacturing","Bayesian optimization","Feature-based GP + BO","AM materials","Real-time Bayesian surrogate with limited samples for AM optimization","https://doi.org/10.1007/s10845-025-02739-6"
43,"Autonomous process set-up with Bayesian optimization for high shape fidelity in hydrogel-based 3D printing","Various",2026,"J. Intelligent Manufacturing","Bayesian optimization","BO","Hydrogels","Autonomous BO-driven parameter optimization for hydrogel printing","https://doi.org/10.1007/s10845-026-02804-8"
44,"Layer combination of similar infill patterns on tensile and compression behavior of 3D printed PLA","Various",2025,"Scientific Reports","Parameter effects","Experimental study","PLA","Comparison of infill pattern combinations on mechanical properties","https://www.nature.com/articles/s41598-025-94446-8"
45,"Effects of FDM-3D printing parameters on mechanical properties of CF/PEEK and GF/PEEK","Various",2020,"Chinese J. Aeronautics","Parameter effects","Experimental","CF/PEEK, GF/PEEK","Nozzle temp and platform temp effects on composite crystallization","https://www.sciencedirect.com/science/article/pii/S1000936120302806"
46,"Effects of FDM Process Parameters Infill Pattern, Layer Thickness, and Printing Temperature on Tensile Properties and Surface Roughness of 3D-Printed PLA","Various",2025,"JMEP","Parameter effects","Experimental + statistical","PLA","Systematic study of infill, layer height, and temperature on PLA quality","https://doi.org/10.1007/s11665-025-13119-9"
47,"A systematic review of fused deposition modeling process parameters","Various",2022,"OAE Publishing","Parameter effects","Systematic review","FDM materials","Comprehensive parameter review with established relationships","https://www.oaepublish.com/articles/ss.2022.08"
48,"The thermal properties of FDM printed polymeric materials: A review","Various",2024,"Polymer Degradation and Stability","Process physics","Review","Polymers","Review of thermal behavior during FDM including crystallization and degradation","https://www.sciencedirect.com/science/article/pii/S0141391024002465"
49,"Influence of Layer Thickness and Raster Angle on Mechanical Properties of 3D-Printed PEEK","Various",2017,"Polymers","Parameter effects","Experimental","PEEK, ABS","Optimal properties at 300um layer height and 0 degree raster angle","https://pmc.ncbi.nlm.nih.gov/articles/PMC5512651/"
50,"Investigation of effect of raster angle, build orientation, and infill density on elastic response of 3D printed parts using FE modeling","Various",2021,"IJAMT","Parameter effects","FE + Homogenization","FDM materials","Finite element microstructural modeling of FDM part anisotropy","https://doi.org/10.1007/s00170-021-07940-4"
51,"Material Anisotropy in Additively Manufactured Polymers and Polymer Composites: A Review","Various",2021,"Polymers","Process physics","Review","Polymers","Review of anisotropy causes and mitigation in AM polymers","https://pmc.ncbi.nlm.nih.gov/articles/PMC8512748/"
52,"Effects of raster angle on tensile and surface roughness properties of various FDM filaments","Various",2021,"JMST","Parameter effects","Experimental","PLA, ABS, PETG","UTS highest at 0 degree raster angle, decreases with angle increase","https://doi.org/10.1007/s12206-021-0708-8"
53,"Effects of Building Orientation and Raster Angle on Mechanical Properties in FFF","Various",2024,"Materials","Parameter effects","Experimental","PLA, ABS, PETG","Comprehensive study of orientation and raster effects across materials","https://www.mdpi.com/1996-1944/17/24/6076"
54,"Effect of raster angle on tensile and flexural strength of 3D printed PLA+ parts","Various",2025,"AIMS Materials Science","Parameter effects","Experimental","PLA+","Raster angle effects on both tensile and flexural strength","https://www.aimspress.com/article/doi/10.3934/matersci.2025019"
55,"Simulating and Predicting Part Warping in FDM by Thermal-Structural Coupling Analysis","Chen et al.",2023,"3D Printing and Additive Manufacturing","Process physics","FEA simulation","FDM materials","Thermal-structural coupling FE model predicts warping deformation","https://doi.org/10.1089/3dp.2021.0119"
56,"Prediction of part distortion in FDM of semi-crystalline polymers via COMSOL","Various",2021,"Design Science","Process physics","FEA + COMSOL","Semi-crystalline polymers","COMSOL-based distortion prediction for semi-crystalline FDM polymers","https://www.sciencedirect.com/science/article/abs/pii/S1755581721000699"
57,"Residual thermal stress in fused deposition modelling","Various",2018,"ResearchGate","Process physics","Analytical + FEA","FDM materials","Analysis of residual stress buildup and cooling-induced warping","https://www.researchgate.net/publication/323212194"
58,"FEA of residual stress and warpage in 3D printed semi-crystalline polymer","Various",2021,"J. Manufacturing Processes","Process physics","FEA","Semi-crystalline polymers","Effect of ambient temperature and nozzle speed on residual stress","https://www.sciencedirect.com/science/article/abs/pii/S1526612521006381"
59,"Simulation Analysis of Temperature Change in FDM Process Based on ANSYS APDL","Various",2025,"Polymers","Process physics","ANSYS FEA","FDM materials","Birth-death element technique for FDM thermal simulation","https://pmc.ncbi.nlm.nih.gov/articles/PMC12565941/"
60,"Digital Twins in 3D Printing Processes Using Artificial Intelligence","Various",2024,"Electronics","Digital twin","AI-driven digital twin","Multiple","Review of AI-enhanced digital twins for 3D printing","https://www.mdpi.com/2079-9292/13/17/3550"
61,"A digital twin ecosystem for additive manufacturing using a real-time development platform","Various",2022,"PMC","Digital twin","Real-time digital twin","AM materials","Digital twin ecosystem with real-time monitoring for AM","https://pmc.ncbi.nlm.nih.gov/articles/PMC9007262/"
62,"Real-Time Decision-Making for Digital Twin in AM with Model Predictive Control using Time-Series DNN","Various",2025,"ResearchGate","Digital twin","DNN + MPC","AM materials","Time-series deep neural network for real-time digital twin decisions","https://www.researchgate.net/publication/388029130"
63,"Digital Twins in Additive Manufacturing: A Systematic Review","Various",2024,"arXiv","Digital twin","Systematic review","AM materials","Systematic review covering DT architectures and implementations in AM","https://arxiv.org/html/2409.00877v2"
64,"Design and testing of a digital twin for monitoring and quality assessment of material extrusion process","Various",2022,"Additive Manufacturing","Digital twin","DT for ME","ME materials","Digital twin prototype for material extrusion quality monitoring","https://www.sciencedirect.com/science/article/abs/pii/S2214860422000392"
65,"Development of Data-Driven Digital Twin for Real-Time Monitoring of FDM 3D Printer","Various",2021,"JMEA","Digital twin","Data-driven DT","FDM materials","Data-driven digital twin specifically for FDM monitoring","http://article.sapub.org/10.5923.j.jmea.20211002.01.html"
66,"HP 3D Printing Open Sources AI Surrogates for AM Using NVIDIA PhysicsNeMo","HP/NVIDIA",2025,"NVIDIA Blog","Digital twin","Physics-informed ML surrogates","Multi Jet Fusion","Open-source AI surrogate models for manufacturing digital twins","https://developer.nvidia.com/blog/spotlight-hp-3d-printing-and-nvidia-physicsnemo-collaborate-on-open-source-manufacturing-digital-twin/"
67,"Multi objective optimization and prediction of surface roughness in FDM","Various",2022,"Scientific Reports","ML + optimization","RSM + ANN + GA","FDM materials","Combined RSM-ANN-GA framework for surface finish optimization","https://www.nature.com/articles/s41598-022-20782-8"
68,"Mathematical modeling and FDM process parameters optimization using RSM based on Q-optimal design","Various",2017,"Applied Mathematical Modelling","DOE optimization","RSM","FDM materials","Q-optimal RSM design for FDM parameter modeling","https://www.sciencedirect.com/science/article/pii/S0307904X16303675"
69,"Modelling and evolutionary computation optimization on FDM for flexural strength using RSM and PSO","Various",2020,"PIAM","ML + optimization","RSM + PSO","FDM materials","Particle swarm optimization combined with RSM for FDM","https://doi.org/10.1007/s40964-020-00157-z"
70,"Multi-objective optimization of surface finish and VOC emissions in FFF using ANN-NSGA-II","Various",2025,"Scientific Reports","ML + optimization","ANN + NSGA-II","FFF materials","Hybrid ANN-NSGA-II for simultaneous surface quality and emission optimization","https://www.nature.com/articles/s41598-025-17304-7"
71,"Prediction-based multi-objective optimization method for 3D printing resource consumption","Various",2024,"IJAMT","ML + optimization","Prediction + MOO","3D printing materials","Resource consumption optimization using predictive modeling","https://doi.org/10.1007/s00170-024-14143-0"
72,"Interpretable ML-Based Influence Factor Identification for 3D Printing Process-Structure Linkages","Various",2024,"Polymers","Interpretable ML","SHAP analysis","3D printing materials","SHAP-based identification of key process-structure relationships","https://pmc.ncbi.nlm.nih.gov/articles/PMC11436170/"
73,"Optimizing 3D printing parameters for enhanced tensile strength and efficiency using ML","Various",2025,"PIAM","ML prediction","ML + SHAP","FDM materials","Printing temperature most influential via SHAP; higher temps improve bonding","https://doi.org/10.1007/s40964-025-01485-8"
74,"Explainable AI Techniques for Comprehensive Analysis of FDM Process Parameters and Material Properties in Biocomposites","Various",2024,"JMAM","Interpretable ML","SHAP, LIME, PDP","Biocomposites","Infill density most significant: SHAP values +2.75 UTS, +5.8 flexural","https://www.mdpi.com/2504-4494/8/4/171"
75,"An Efficient and Uncertainty-aware RL Framework for Quality Assurance in Extrusion AM","Various",2025,"arXiv","Reinforcement learning","RL + uncertainty quantification","Extrusion AM","Vision-based uncertainty-aware RL for real-time quality assurance","https://arxiv.org/html/2503.00971v1"
76,"RL-based closed-loop control system for adaptive process parameter optimisation in 3D printing","Various",2026,"NDT&E","Reinforcement learning","RL + closed-loop control","3D printing materials","Quality enhancements of 35-55% and efficiency improvements of 18-28%","https://doi.org/10.1080/10589759.2026.2626956"
77,"A reinforcement learning approach for process parameter optimization in additive manufacturing","Various",2023,"Additive Manufacturing","Reinforcement learning","RL","AM materials","RL for autonomous process parameter optimization in AM","https://www.sciencedirect.com/science/article/abs/pii/S2214860423001690"
78,"Shrinkage prediction and correction in material extrusion using neural network regression","Various",2023,"Virtual and Physical Prototyping","ML prediction","NN regression","Cellulose-chitin","Neural network prediction and compensation for shrinkage","https://doi.org/10.1080/17452759.2023.2225039"
79,"Modeling, analysis, and optimization of dimensional accuracy of FDM using definitive screening design and deep learning ANN","Various",2020,"Advances in Manufacturing","ML prediction","DSD + ANN","FDM materials","Deep learning ANN for dimensional accuracy prediction and optimization","https://doi.org/10.1007/s40436-020-00336-9"
80,"Prediction of Dimensional Changes of Low-Cost Metal ME Parts Using ML Techniques","Various",2021,"Metals","ML prediction","LR, LRI, NN","Metal ME","NN achieves 0.999 R-squared for dimensional change prediction","https://www.mdpi.com/2075-4701/11/5/690"
81,"Shrinkage compensation approach proposed for ABS material in FDM process","Various",2019,"Materials and Manufacturing Processes","Process physics","Compensation model","ABS","Systematic shrinkage compensation methodology for ABS FDM","https://doi.org/10.1080/10426914.2019.1594252"
82,"GraphCompNet: A Position-Aware Model for Predicting and Compensating Shape Deviations in 3D Printing","Various",2025,"arXiv","ML prediction","GNN + GAN","3D printing materials","Graph neural network for geometry-aware shape deviation prediction","https://arxiv.org/html/2502.09652"
83,"The effect of six key process control parameters on surface roughness, dimensional accuracy, and porosity in ME 3D printing of PLA","Various",2022,"Advances in Industrial and Manufacturing Engineering","ML prediction","Prediction models","PLA","Six-parameter study of roughness, accuracy, and porosity","https://www.sciencedirect.com/science/article/pii/S2666912922000319"
84,"Evaluating machine learning methods for predicting surface roughness of FDM printed parts using PLA+","Various",2024,"IJIDM","ML prediction","Random Forest, J48","PLA+","RF and J48 best for Ra prediction in FDM","https://doi.org/10.1007/s12008-024-02215-0"
85,"Surface Roughness Modeling of Material Extrusion PLA Flat Surfaces","Jakupi",2023,"Int J Polymer Science","ML prediction","Analytical model","PLA","Layer height, speed, infill ranked by significance for roughness","https://doi.org/10.1155/2023/8844626"
86,"Image-based failure detection for material extrusion using CNN","Various",2020,"IJAMT","Defect detection","VGGNet CNN","ME materials","97% accuracy using webcam + modified VGGNet for ME failure detection","https://doi.org/10.1007/s00170-020-06201-0"
87,"Detection of Spaghetti and Stringing Failure in 3D Printing","Various",2024,"ResearchGate","Defect detection","AlexNet-SVM","FDM materials","AlexNet-SVM for spaghetti/stringing detection on Raspberry Pi","https://www.researchgate.net/publication/379318421"
88,"Anomaly Detection in Fused Filament Fabrication Using Machine Learning","Various",2023,"PMC","Defect detection","ML anomaly detection","FFF materials","ML-based anomaly detection combining multiple sensor signals","https://pmc.ncbi.nlm.nih.gov/articles/PMC10280217/"
89,"Filament Breakage Monitoring in FDM Using Acoustic Emission Technique","Wu et al.",2018,"Sensors","Process monitoring","Acoustic emission","FDM materials","AE sensors detect filament breakage and nozzle clogging in FDM","https://pmc.ncbi.nlm.nih.gov/articles/PMC5877116/"
90,"A dynamic model for current-based nozzle condition monitoring in FDM","Tlegenov et al.",2019,"PIAM","Process monitoring","Vibration + current","FDM materials","Physics-based dynamic model detects nozzle clogging via vibration","https://doi.org/10.1007/s40964-019-00089-3"
91,"Nozzle condition monitoring in 3D printing","Various",2017,"Cambridge Repository","Process monitoring","Vibration sensing","FDM materials","Vibration-based nozzle clog detection with nonlinear amplitude analysis","https://www.repository.cam.ac.uk/bitstreams/bb1e74e7-eee8-4c81-8e53-5cd78eb62570/download"
92,"Interfacial bonding during multi-material FDM due to inter-molecular diffusion","Various",2018,"Materials & Design","Process physics","Experimental + theory","Multi-material","Fusion bonding mechanism via inter-molecular diffusion above Tg","https://www.sciencedirect.com/science/article/abs/pii/S0264127518302995"
93,"Printing orientation and interfacial mechanical design enable superior bonding in multimaterial AM","Various",2026,"npj Advanced Manufacturing","Process physics","Experimental","PLA/TPU","389% increase in interfacial toughness with on-edge orientation","https://www.nature.com/articles/s44334-026-00075-y"
94,"Multi-Material 3D Printing: The Relevance of Materials Affinity on the Boundary Interface Performance","Various",2018,"Additive Manufacturing","Process physics","Experimental","Multi-material","Material affinity and overlap distance effects on interface strength","https://www.sciencedirect.com/science/article/abs/pii/S2214860418301544"
95,"Physics-Informed Neural Networks in Polymers: A Review","Various",2025,"Polymers","PINN","Review","Polymers","Review of PINNs for polymer processing including extrusion and 3D printing","https://pmc.ncbi.nlm.nih.gov/articles/PMC12030369/"
96,"Physics-Informed Neural Networks for Thermal Modeling Transferable Across Paths, Print Parameters, and Beam Profiles","Various",2025,"Additive Manufacturing","PINN","Transferable PINN","AM materials","PINNs for transferable thermal modeling across printing conditions","https://www.sciencedirect.com/science/article/abs/pii/S2214860425004257"
97,"Physics-informed deep learning to quantify anomalies for real-time fault mitigation in 3D printing","Various",2024,"Applied Intelligence","PINN","Physics-informed DL","3D printing materials","Physics-informed deep learning for real-time anomaly quantification","https://doi.org/10.1007/s10489-024-05402-4"
98,"Accelerating Thermal Simulations in AM by Training PINNs With Randomly Synthesized Data","Various",2024,"JCISE","PINN","PINN + synthetic data","AM materials","Orders-of-magnitude speedup for thermal simulation via PINNs","https://doi.org/10.1115/1.4062828"
99,"Hybrid thermal modeling of AM using PINNs for temperature prediction and parameter identification","Various",2022,"Computational Mechanics","PINN","Hybrid PINN","AM materials","Hybrid physics-data approach for AM thermal field prediction","https://doi.org/10.1007/s00466-022-02257-9"
100,"Assessing capabilities of ChatGPT to improve additive manufacturing troubleshooting","Various",2023,"Additive Manufacturing Letters","LLM application","ChatGPT evaluation","Multiple","ChatGPT generates accurate printing profiles and troubleshooting advice","https://www.sciencedirect.com/science/article/pii/S2542504823000192"
101,"LLM-3D Print: Large Language Models To Monitor and Control 3D Printing","Various",2024,"arXiv","LLM application","LLM control","3D printing materials","LLMs for autonomous monitoring and control of 3D printing","https://arxiv.org/html/2408.14307v3"
102,"3D Printer Dataset for Mechanical Engineers","Fumetto",2023,"Kaggle","Dataset","Tabular dataset","Multiple","9 parameters, 3 quality measurements per product from Ultimaker S5","https://www.kaggle.com/datasets/afumetto/3dprinter"
103,"3D printing process dataset","Batalha",2024,"Kaggle","Dataset","Extrusion dataset","Multiple","Full extruded dataset for ML-based process analysis","https://www.kaggle.com/datasets/marcelobatalhah/full-extruded-dataset"
104,"Additive Manufacturing Machine Learning Dataset","APMonitor",2023,"APMonitor","Dataset","Tabular dataset","PLA/ABS","Combined PLA+ABS dataset with 116 samples for ML benchmarking","https://apmonitor.com/pds/index.php/Main/AdditiveManufacturing"
105,"Machine Learning in 3D and 4D Printing of Polymer Composites: A Review","Various",2024,"Polymers","ML review","Review","Polymer composites","Review of ML across optimization, monitoring, and property prediction","https://www.mdpi.com/2073-4360/16/22/3125"
106,"Current Applications of Machine Learning in AM: Review on Challenges and Future Trends","Various",2024,"Archives of Computational Methods in Engineering","ML review","Review","AM materials","528 ML-related AM publications over 10 years analyzed","https://doi.org/10.1007/s11831-024-10215-2"
107,"A review of ML and XAI methods in additive manufacturing","Various",2024,"Results in Engineering","ML review","Review + XAI","AM materials","Review combining ML methods with explainable AI for AM","https://www.sciencedirect.com/science/article/pii/S235249282402275X"
108,"Progress and Opportunities for ML in Materials and Processes of AM","Ng et al.",2024,"Advanced Materials","ML review","Review","AM materials","Comprehensive review in high-impact journal of ML opportunities in AM","https://doi.org/10.1002/adma.202310006"
109,"Use of Machine Learning to Improve Additive Manufacturing Processes","Various",2024,"Applied Sciences","ML review","Review","AM materials","Practical review of ML applications for AM process improvement","https://www.mdpi.com/2076-3417/14/15/6730"
110,"Additive Manufacturing Modification by AI, ML, and Deep Learning: A Review","Various",2025,"Smart Manufacturing","ML review","Review","AM materials","Review covering AI/ML/DL integration across AM modalities","https://www.sciencedirect.com/science/article/pii/S2950431725000085"
111,"Impact of Elevated Printing Speeds and Filament Color on Dimensional Precision and Tensile Properties of FDM-Printed PLA","Various",2025,"Polymers","Parameter effects","Experimental","PLA","Optimal speed 300mm/s for dimensional accuracy and tensile strength balance","https://pmc.ncbi.nlm.nih.gov/articles/PMC12349424/"
112,"Effect of print speed and extrusion temperature on properties of 3D printed PLA using FDM","Various",2021,"Materials Today: Proceedings","Parameter effects","Experimental","PLA","Higher infill and lower speed strongly associated with improved tensile strength","https://www.sciencedirect.com/science/article/abs/pii/S2214785321011998"
113,"Optimization of 3D Printing Nozzle Parameters and Optimal Combination for Engineering Plastics with High Melting Points","Various",2025,"PMC","Parameter effects","Experimental + optimization","Engineering plastics","Nozzle parameter optimization for high-Tm large-CTE plastics","https://pmc.ncbi.nlm.nih.gov/articles/PMC11818178/"
114,"Autonomous in-situ defect detection and correction in additive-lathe 3D printing using variational autoencoder model","Various",2024,"Additive Manufacturing","Defect detection","VAE","AM materials","Variational autoencoder for autonomous defect detection and correction","https://www.sciencedirect.com/science/article/abs/pii/S221486042400681X"
115,"3D Design Using Generative Adversarial Networks and Physics-Based Validation","Various",2020,"ASME J. Mechanical Design","Generative models","GAN + physics","3D designs","GAN generates manufacturable designs validated via physics simulation","https://doi.org/10.1115/1.4045780"
116,"Active learning in materials science with emphasis on adaptive sampling using uncertainties","Various",2019,"npj Computational Materials","Active learning","Active learning + BO","Materials","Active learning outperforms random sampling with 20 new samples","https://www.nature.com/articles/s41524-019-0153-8"
