id,title,authors,year,venue,doi_or_url,theme,notes
35,Developing Policy from the Ground Up: Examining Entitlement in the Bay Area to Inform California's Housing Policy Debates,"O'Neill M.; Gualco-Nelson G.; Biber E.",2019,Hastings Environmental Law Journal 25(1) 1,https://repository.uclawsf.edu/hastings_environmental_law_journal/vol25/iss1/2/,empirical-california,Project-level timing of Bay Area entitlements; process vs CEQA
36,Just Look at the Map: Bounding Environmental Review of Housing Development in California,"Biber E.; Elmendorf C.S.; Marantz N.; O'Neill M.",2024,UC Law SF Faculty Scholarship,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4831370,legal-california,Proposals to restrict CEQA review of infill housing
37,Built-Out Cities? How California Cities Restrict Housing Production through Prohibition and Process,"Monkkonen P.; Lens M.; Manville M.",2020,Terner Center Working Paper,https://ternercenter.berkeley.edu/research-and-policy/built-out-cities-how-california-cities-restrict-housing-production-through-prohibition-and-process/,empirical-california,Measures process-based regulation by process length; multiple discretionary reviews explain most friction
38,Unwanted Housing: Localism and Politics of Housing Development,"Manville M.; Monkkonen P.",2024,Journal of Planning Education and Research,10.1177/0739456X21997903,sociology-nimby,Public opinion experiments on developer vs development opposition
39,Opposition to development or opposition to developers? Experimental evidence on attitudes toward new housing,"Hankinson M.",2018,American Political Science Review 112(3) 473-493,10.1017/S0003055418000035,sociology-nimby,Survey experiment: renters and owners both oppose local density
40,Measuring the Housing Permitting Process in San Francisco,"Metcalf B.; Reid C.; Garcia D.",2022,Terner Center for Housing Innovation,https://ternercenter.berkeley.edu/research-and-policy/measuring-the-housing-permitting-process-in-san-francisco/,empirical-sf,"Project-level analysis of 2474 SF housing developments 2009-2017; times 1-14 years"
41,New Pathways to Encourage Housing Production: Evaluating California's Recent Housing Legislation,"Garcia D.; Metcalf B.; Kneebone E.",2023,Terner Center Report,https://ternercenter.berkeley.edu/wp-content/uploads/2023/04/New-Pathways-to-Encourage-Housing-Production-Evaluating-Californias-Recent-Housing-Legislation-April-2023-Final.pdf,empirical-california,SB 35 / SB 330 / SB 423 early evaluation
42,Residential Housing Is Now Allowed in All Commercial Zones: Are California Cities Ready?,"Mawhorter S.; Garcia D.; Raetz H.",2023,Terner Center Research Brief,https://ternercenter.berkeley.edu/research-and-policy/ab-2011-commercial-zones/,empirical-california,AB 2011 commercial-to-residential conversion potential
43,What does it take to get a building permit in Chicago?,"Schiller N.; Giertz S.",2019,Illinois Policy Institute Report,https://www.illinoispolicy.org/what-does-it-take-to-get-a-building-permit-in-chicago/,empirical-chicago,Chicago wait-times and aldermanic prerogative bottleneck
44,Improving New York City's Land Use Decision-Making Process,"Citizens Budget Commission",2022,CBC NY Research,https://cbcny.org/research/improving-new-york-citys-land-use-decision-making-process,empirical-nyc,CBC review of ULURP and BSA processes
45,Ending Exclusionary Zoning in New York City's Suburbs,"Been V.; Gould Ellen I.; Gedal M.; O'Regan K.",2019,NYU Furman Center Report,https://furmancenter.org/research/publication/ending-exclusionary-zoning-in-new-york-city8217s-suburbs,empirical-nyc,Comparative zoning analysis across NY suburbs
46,Supply Skepticism: Housing Supply and Affordability,"Been V.; Gould Ellen I.; O'Regan K.",2019,Housing Policy Debate 29(1) 25-40,10.1080/10511482.2018.1476899,empirical-nyc,Meta-review arguing supply increases do reduce prices
47,Supply Skepticism Revisited,"Been V.; Gould Ellen I.; O'Regan K.",2023,SSRN 4629628,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4629628,empirical-nyc,Updated review with new evidence on infill effects
48,Flexibility and Conversions in New York City's Housing Stock: Building for an Era of Rapid Change,"Gould Ellen I.; Kazis N.",2023,SSRN 4600508,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4600508,empirical-nyc,Building-code conversion friction in NYC
49,Minimum Parking Requirements Transit Proximity and Development in New York City,"McDonnell S.; Madar J.; Been V.",2011,Journal of the American Planning Association 77(1) 1-15,10.1080/01944363.2011.549613,empirical-nyc,Parking mandates and reduced development output
50,NMHC-NAHB Cost of Regulations Report,"NMHC; NAHB",2022,NMHC-NAHB Joint Report,https://www.nmhc.org/globalassets/research--insight/research-reports/cost-of-regulations/2022-nahb-nmhc-cost-of-regulations-report.pdf,industry-cost,"Regulation is 40.6% of multifamily development cost; NIMBY adds 5.6% and 7.4 months"
51,Housing Reform in the States: A Menu of Options for 2024,"Furth S.",2024,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/housing-reform-states-menu-options-2024,policy-states,State-by-state inventory of viable permit reforms
52,Housing Reform in the States: A Menu of Options for 2025,"Furth S.",2025,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/housing-reform-options-2025,policy-states,Update of state reform options
53,Housing Reform in the States: A Menu of Options for 2026,"Furth S.",2026,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/housing-reform-states-menu-options-2026,policy-states,Latest update of state reform options
54,Laying Foundations: Momentum Continues for Housing Supply Reforms in 2024,"Furth S.; Gray N.",2024,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/housing-supply-reforms-2024,policy-states,"50 pro-housing bills in H1 2024 vs 30 in 2023; permit streamlining dominant"
55,Breaking Ground: An Examination of Effective State Housing Reforms in 2023,"Furth S.",2023,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/breaking-ground-examination-effective-state-housing-reforms-2023,policy-states,"2023 reform results; permit streamlining + commercial-to-residential most common"
56,Reforming Florida's Housing Permit Process,"Furth S.; Gray N.",2024,Mercatus Center Policy Spotlight,https://www.mercatus.org/research/policy-spotlights/reforming-floridas-housing-permit-process,policy-florida,Florida HB 267 mandated 30-day permit processing for small multifamily
57,Framing Futures: Pro-Housing Legislation Goes Vertical in 2025,"Furth S.; Gray N.",2025,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/framing-futures-pro-housing-legislation-goes-vertical-2025,policy-states,Building-code-level reforms beyond zoning
58,States Embrace Diverse Strategies to Ease Housing Supply Constraints,"Pew Charitable Trusts",2025,Pew Article,https://www.pew.org/en/research-and-analysis/articles/2025/01/17/states-embrace-diverse-strategies-to-ease-housing-supply-constraints,policy-states,Pew tracker of state reforms
59,State Legislatures Make Bipartisan Breakthroughs on Policies That Promote Housing,"Pew Charitable Trusts",2025,Pew Article,https://www.pew.org/en/research-and-analysis/articles/2025/09/15/state-legislatures-make-bipartisan-breakthroughs-on-policies-that-promote-housing,policy-states,100+ pro-housing laws in 2025 vs 48/yr prior
60,States Advance Single-Stairway Reforms to Expand Housing,"Pew Charitable Trusts",2025,Pew Article,https://www.pew.org/en/research-and-analysis/articles/2025/11/04/states-advance-single-stairway-reforms-to-expand-housing,policy-states,Single-stair reform and code-level changes
61,Austin's Surge of New Housing Construction Drove Down Rents,"Pew Charitable Trusts",2026,Pew Article,https://www.pew.org/en/research-and-analysis/articles/2026/03/18/austins-surge-of-new-housing-construction-drove-down-rents,empirical-austin,"Austin added 120k homes 2015-2024; median rent fell from $1546 to $1296"
62,How Austin HBA Engaged in Transformative City Code Reform,"NAHB / Austin HBA",2024,NAHB NOW Blog,https://www.nahb.org/blog/2024/05/austin-hba-home-initiative,empirical-austin,HOME initiative stages 1 and 2; lot size and permit streamlining
63,Austin enacts sweeping reforms to cut down housing costs,"Texas Tribune",2024,Texas Tribune,https://www.texastribune.org/2024/05/17/austin-lot-size-housing-affordability/,empirical-austin,Austin council vote on HOME Phase 2 reducing minimum lot size
64,Austin's HOME Policy Spurs Hundreds of Housing Units in 1st Year,"Community Impact",2025,Community Impact News,https://communityimpact.com/austin/north-central-austin/government/2025/11/19/austins-home-policy-spurs-hundreds-of-housing-units-in-1st-year-cost-displacement-trends-unclear/,empirical-austin,1-year outcomes: 436 small-multifamily units; 86% permit jump
65,Zoning Land-Use Planning and Housing Affordability,"Calder V.B.",2017,Cato Policy Analysis 823,https://www.cato.org/policy-analysis/zoning-land-use-planning-housing-affordability,policy-review,Cato review of regulation effect on supply and affordability
66,Questioning the Housing Crisis Working Paper 83,"Cato Institute Project",2024,Cato Working Paper 83,https://www.cato.org/sites/cato.org/files/2024-12/working-paper-83.pdf,policy-review,Cato counter-review of supply narrative
67,Light-Touch Density A Series of Policy Briefs,"AEI Housing Center",2023,AEI Housing Center Reports,https://www.aei.org/light-touch-density/,policy-review,LTD concept; showing incremental density increases output over time
68,State of the Nation's Housing 2024,"Joint Center for Housing Studies",2024,Harvard JCHS Annual Report,https://www.jchs.harvard.edu/state-nations-housing-2024,data-source,Annual JCHS statistics on starts permits and affordability
69,State of the Nation's Housing 2025,"Joint Center for Housing Studies",2025,Harvard JCHS Annual Report,https://www.jchs.harvard.edu/state-nations-housing-2025,data-source,"Annual update; median home price $407k; homeownership 65.6%"
70,America's Rental Housing 2024,"Joint Center for Housing Studies",2024,Harvard JCHS Annual Report,https://www.jchs.harvard.edu/americas-rental-housing-2024,data-source,Multifamily completions and rent-burden data
71,Building Permits Survey Methodology,"US Census Bureau",2024,Census BPS Documentation,https://www.census.gov/construction/bps/methodology.html,data-source,Methodology and definitions for monthly BPS
72,Building Permits Survey Monthly Permits by MSA,"US Census Bureau",2024,Census BPS Data,https://www.census.gov/construction/bps/msamonthly.html,data-source,Monthly permit counts at MSA level
73,Annual Building Permits Survey State and Metro Tables,"US Census Bureau",2024,Census BPS Data,https://www.census.gov/construction/bps/msaannual.html,data-source,Annual permit counts
74,DOB NOW Build Approved Permits,"NYC Department of Buildings",2024,NYC Open Data,https://data.cityofnewyork.us/Housing-Development/DOB-NOW-Build-Approved-Permits/rbx6-tga4,data-source,Individual NYC permits with timestamps
75,DOB Permit Issuance Historical,"NYC Department of Buildings",2024,Data.gov Catalog,https://catalog.data.gov/dataset/dob-permit-issuance,data-source,Historical NYC permits issuance events
76,NYC Construction Development Report 2021,"NYC Department of Buildings",2021,NYC DOB Report,https://www.nyc.gov/assets/buildings/html/dob-development-report-2021.html,data-source,Annual DOB development statistics with DOB NOW rollout narrative
77,Issued Construction Permits City of Austin,"City of Austin",2024,Austin Open Data,https://data.austintexas.gov/Building-and-Development/Issued-Construction-Permits/3syk-w9eu,data-source,Complete Austin permit records with dates
78,SF Building Permits Raw Data,"San Francisco DBI",2024,DataSF,https://data.sfgov.org/Housing-and-Buildings/Building-Permits/i98e-djp9,data-source,Full San Francisco building-permit dataset with timestamps
79,SF Planning Permits,"San Francisco Planning",2024,DataSF,https://data.sfgov.org/Housing-and-Buildings/SF-Planning-Permits/,data-source,Planning-side SF permits separated from DBI
80,Chicago Building Permits,"City of Chicago",2024,Chicago Data Portal,https://data.cityofchicago.org/Buildings/Building-Permits/ydr8-5enu,data-source,Chicago permit dataset
81,LADBS Online Building Records,"Los Angeles Department of Building and Safety",2024,LADBS Portal,https://ladbs.org/services/check-status/online-building-records,data-source,LA permit and plan-check lookup
82,Measuring the Housing Permitting Process in San Francisco,"Metcalf B.; Garcia D.; Reid C.",2022,Terner Center Working Paper,https://ternercenter.berkeley.edu/research-and-policy/measuring-the-housing-permitting-process-in-san-francisco/,empirical-sf,Duplicate of row 40 - kept for thematic index
83,Study: SF slower to issue building permits,"Wright B.",2025,SF Examiner,https://www.sfexaminer.com/news/urban-development/sf-is-slower-than-other-cities-in-issuing-housing-permits/article_4049aac3-608e-4c06-a03b-bf2ef1d2b1f7.html,news-sf,"Report: 280-day median SF time vs 91 Austin and 134 San Diego; 1300+ backlog"
84,How Long It Really Takes to Get a Building Permit in San Francisco,"The Frisc / SPUR",2022,The Frisc Journalism,https://thefrisc.com/how-long-it-really-takes-to-get-a-building-permit-in-san-francisco-and-why-7f00dac3bf79/,news-sf,Investigative journalism on SF DBI queues
85,Wait times for building permits in SF stretches into years,"The Real Deal",2022,The Real Deal Journalism,https://therealdeal.com/san-francisco/2022/12/16/wait-times-for-building-permits-in-sf-stretches-into-years/,news-sf,Industry journalism documenting SF multi-year waits
86,One of the Slowest US Cities to Build San Francisco Is Accelerating Housing Permits,"Nichols R.",2024,KQED News,https://www.kqed.org/news/12075520/one-of-the-slowest-us-cities-to-build-san-francisco-is-accelerating-housing-permits,news-sf,KQED reporting on SF's recent acceleration post SB 423
87,Process Mining: Data Science in Action (2nd ed),"van der Aalst W.M.P.",2016,Springer,10.1007/978-3-662-49851-4,textbook,Canonical process-mining textbook; discovery conformance enhancement
88,Business Process Management: Concepts Languages Architectures (3rd ed),"Weske M.",2019,Springer,10.1007/978-3-662-59432-2,textbook,BPM foundational textbook including performance and time analysis
89,Conformance Checking: Relating Processes and Models,"Carmona J.; van Dongen B.; Solti A.; Weidlich M.",2018,Springer,10.1007/978-3-319-99414-7,textbook,Definitive text on conformance checking and alignments
90,Conformance Checking and Diagnosis in Process Mining,"Munoz-Gama J.",2016,Springer LNBIP 270,10.1007/978-3-319-49451-7,textbook,Earlier monograph on conformance-checking diagnostics
91,Workflow Mining: Discovering Process Models from Event Logs,"van der Aalst W.M.P.; Weijters T.; Maruster L.",2004,IEEE Transactions on Knowledge and Data Engineering 16(9) 1128-1142,10.1109/TKDE.2004.47,method-process-mining,Alpha algorithm - first process-discovery algorithm
92,Rediscovering Workflow Models from Event-Based Data using Little Thumb,"Weijters T.; van der Aalst W.M.P.",2003,Integrated Computer-Aided Engineering 10(2) 151-162,10.3233/ICA-2003-10205,method-process-mining,Early heuristic approach to mine workflow from logs
93,Process Mining with the HeuristicsMiner Algorithm,"Weijters T.; van der Aalst W.M.P.; de Medeiros A.K.A.",2006,BETA Working Paper WP 166,https://www.vdaalst.com/publications/p314.pdf,method-process-mining,Heuristic miner formal description; noise-tolerant
94,Flexible Heuristics Miner (FHM),"Weijters T.; Ribeiro J.T.S.",2011,IEEE Symposium on Computational Intelligence and Data Mining (CIDM) 310-317,10.1109/CIDM.2011.5949453,method-process-mining,Flexible Heuristic Miner with split/join frequency tables
95,Discovering Block-Structured Process Models from Event Logs - A Constructive Approach,"Leemans S.J.J.; Fahland D.; van der Aalst W.M.P.",2013,Petri Nets 2013 LNCS 7927 311-329,10.1007/978-3-642-38697-8_17,method-process-mining,Inductive Miner; divide-and-conquer discovery guaranteeing sound models
96,Discovering Block-Structured Process Models from Event Logs Containing Infrequent Behaviour,"Leemans S.J.J.; Fahland D.; van der Aalst W.M.P.",2013,BPM Workshops LNBIP 171 66-78,10.1007/978-3-319-06257-0_6,method-process-mining,Inductive Miner infrequent variant; robust to noise
97,Quality Dimensions in Process Discovery: The Importance of Fitness Precision Generalization and Simplicity,"Buijs J.C.A.M.; van Dongen B.F.; van der Aalst W.M.P.",2014,International Journal of Cooperative Information Systems 23(1) 1440001,10.1142/S0218843014400012,method-process-mining,Four-dimensional quality evaluation framework for discovery
98,Process Mining with the HeuristicsMiner-algorithm,"Weijters T.; van der Aalst W.M.P.; de Medeiros A.K.A.",2006,BETA Working Paper 166,https://www.semanticscholar.org/paper/e61c748f9a2df9c3fbda3a8361fdc3d847b7e3ae,method-process-mining,Practical HM description; foundational noise-handling
99,Survey and cross-benchmark comparison of remaining time prediction methods in business process monitoring,"Verenich I.; Dumas M.; La Rosa M.; Maggi F.M.; Teinemaa I.",2019,ACM Transactions on Intelligent Systems and Technology 10(4) 34,10.1145/3331449,method-process-mining,Benchmark of remaining-time predictors on business process logs
100,Predictive Business Process Monitoring with LSTM Neural Networks,"Tax N.; Verenich I.; La Rosa M.; Dumas M.",2017,CAiSE 2017 LNCS 10253 477-492,10.1007/978-3-319-59536-8_30,method-process-mining,LSTM remaining-time prediction on process logs
101,Outcome-Oriented Predictive Process Monitoring: Review and Benchmark,"Teinemaa I.; Dumas M.; La Rosa M.; Maggi F.M.",2019,ACM Transactions on Knowledge Discovery from Data 13(2) 17,10.1145/3301300,method-process-mining,Benchmark of 11 outcome-prediction methods on 24 datasets
102,BPIC 2015: Diagnostics of Building Permit Application Process in Dutch Municipalities,"van Dongen B.F.",2015,BPI Challenge 2015 Task Description,https://ais.win.tue.nl/bpi/2015/bpic2015_paper_3.pdf,case-study-permits,"Event log of 5 Dutch municipalities' building permit processes; foundational process-mining benchmark"
103,BPI Challenge 2015 Dataset,"van Dongen B.F.",2015,4TU.ResearchData,10.4121/uuid:31a308ef-c844-48da-948c-305d167a0ec1,data-source,"Event logs from 5 Dutch municipality permit pipelines; reference dataset"
104,BPI Challenge 2018 Dataset,"van Dongen B.F.; Borchert F.",2018,4TU.ResearchData,10.4121/uuid:3301445f-95e8-4ff0-98a4-901f1f204972,data-source,EU agricultural permit process events
105,BPI Challenge 2020 Dataset,"van Dongen B.F.",2020,4TU.ResearchData,10.4121/uuid:52fb97d4-4588-43c9-9d04-3604d4613b03,data-source,Travel permit / expense events for reference
106,BPI Challenges: 10 years of real-life datasets,"IEEE Task Force on Process Mining",2020,IEEE TF-PM Newsletter,https://www.tf-pm.org/newsletter/newsletter-stream-2-05-2020/bpi-challenges-10-years-of-real-life-datasets,review-process-mining,Summary of 10 years of BPI Challenge datasets
107,Benchmarking of Five Dutch Municipalities with Process Mining Techniques Reveals Opportunities for Improvement,"Ham S. van der",2015,BPI Challenge 2015 Submission,https://www.semanticscholar.org/paper/de579a99f81a4b191821d6ac2dd1e860345ea447,case-study-permits,"BPIC 2015 winning submission; comparative throughput analysis across municipalities"
108,Using Process Mining with Pre- and Post-Intervention Analysis to Improve Digital Service Delivery: A Governmental Case Study,"Leemans M.; van der Aalst W.M.P.",2024,BPM 2024 Industry Forum LNBIP,10.1007/978-3-031-82225-4_42,case-study-government,Canadian government process-mining intervention reducing throughput from 31 to 26 days
109,Application of Process Mining in Healthcare - A Case Study in a Dutch Hospital,"Mans R.S.; Schonenberg H.; Song M.; van der Aalst W.M.P.; Bakker P.J.M.",2008,BIOSTEC 2008 CCIS 25 425-438,10.1007/978-3-540-92219-3_32,case-study-government,Foundational process-mining case study in public healthcare
110,Process Mining: Overview and Opportunities,"van der Aalst W.M.P.",2012,ACM Transactions on Management Information Systems 3(2) 7,10.1145/2229156.2229157,review-process-mining,General research agenda review
111,Process mining: a research agenda,"van der Aalst W.M.P.; Weijters T.",2004,Computers in Industry 53(3) 231-244,10.1016/j.compind.2003.10.001,review-process-mining,Early research agenda for process mining
112,Process mining: discovering workflow models from event-based data,"Weijters T.; van der Aalst W.M.P.",2001,BNAIC 2001 Proceedings,https://www.vdaalst.com/publications/p128.pdf,method-process-mining,Early workflow-mining algorithm paper
113,Fundamentals of Queueing Theory (4th ed),"Gross D.; Shortle J.F.; Thompson J.M.; Harris C.M.",2008,John Wiley and Sons,ISBN 978-0471791270,textbook,Canonical queueing theory textbook including M/M/c multi-server
114,Queueing Systems Volume 1: Theory,"Kleinrock L.",1975,Wiley-Interscience New York,ISBN 0471491101,textbook,"Foundational two-volume queueing theory reference; Little's Law applications"
115,Queueing Networks and Markov Chains: Modeling and Performance Evaluation with Computer Science Applications (2nd ed),"Bolch G.; Greiner S.; de Meer H.; Trivedi K.S.",2006,Wiley,10.1002/0471791571,textbook,Queueing networks textbook covering multi-stage systems
116,A Proof for the Queuing Formula: L = lambda W,"Little J.D.C.",1961,Operations Research 9(3) 383-387,10.1287/opre.9.3.383,method-queueing,Original proof of Little's Law relating throughput and cycle time
117,Little's Law,"Little J.D.C.; Graves S.C.",2008,Building Intuition: Insights From Basic Operations Management Models and Principles 81-100,10.1007/978-0-387-73699-0_5,method-queueing,Modern exposition of Little's Law and generalizations
118,Regression Models and Life-Tables,"Cox D.R.",1972,Journal of the Royal Statistical Society Series B 34(2) 187-220,10.1111/j.2517-6161.1972.tb00899.x,method-survival,Original Cox proportional-hazards model
119,Nonparametric Estimation from Incomplete Observations,"Kaplan E.L.; Meier P.",1958,Journal of the American Statistical Association 53(282) 457-481,10.1080/01621459.1958.10501452,method-survival,Kaplan-Meier product-limit estimator; foundational survival-analysis paper
