id	description	status	metric	value	prior	posterior	mechanism	notes	interaction
E17	Systematic debunking of 'warp without exotic matter' claims	KEEP	claim_validity	All superluminal claims invalid; subluminal (Fell-Heisenberg) valid	0.80	0.90	Claims: Lentz (refuted by Celmaster), Fell-Heisenberg (valid but subluminal only), White (measured Casimir not warp), various online claims (no peer review)	4 major claims analysed: (1) Lentz 2021 -- refuted, (2) Fell-Heisenberg 2024 -- valid but subluminal, (3) White/Eagleworks -- measured Casimir, (4) Fell-Heisenberg 2021 (earlier paper) -- geometric structure, also subluminal only.	False
E18	White/NASA Eagleworks experiment analysis	KEEP	signal_source	Casimir effect (not warp field)	0.85	0.92	Custom Casimir cavity geometry produces negative energy ~10^{-9} J/m^3	White (2021) reported warp-field-like Casimir geometry. The measured signal (~10^{-9} J/m^3) is consistent with Casimir effect predictions and is 10^{60} too small for any warp effect. Not independently replicated.	False
E19	Energy condition hierarchy for warp drives	KEEP	hierarchy	NEC most fundamental; DEC most restrictive	0.75	0.82	NEC ⊂ WEC ⊂ DEC (set containment of satisfied matter); SEC independent	For warp drives: NEC violation is NECESSARY for superluminal (Olum 1998). WEC violation follows from NEC violation. DEC is most restrictive (requires rho >= |p_i|). SEC is independent (violated by Lambda > 0 but that doesn't help warp). Ranking: NEC (fundamental barrier) > DEC (tightest constraint on subluminal) > WEC > SEC.	False
E20	Subluminal warp drive vs rocket comparison	KEEP	mass_advantage	No practical advantage at current parameters	0.70	0.75	Fell-Heisenberg needs 2.365 M_Jupiter for v=0.04c; rocket needs far less	Tsiolkovsky: mass ratio = exp(dv/v_exhaust). For v=0.04c with nuclear pulse (v_exhaust ~ 0.03c), mass ratio ~ exp(1.3) ~ 3.7. For warp: need 2.365 Jupiter masses. Rocket wins by ~10^{25} in mass efficiency. Warp advantage is geodesic transport (zero g-force) not mass efficiency.	False
INT1	Interaction: Fell-Heisenberg mass scaling with velocity + energy condition threshold	KEEP	mass_velocity_scaling	M_min ~ v^2 / v_max^2 * M_base; EC threshold at v_max ~ 0.1c	0.50	0.65	Shift vector ~ v; momentum flux ~ v^2; EC breaks when flux exceeds density	Combining E07 + E08: The shell mass required scales as v^2 for fixed geometry. The EC break point depends on shell density profile. For the demonstrated geometry, v_max for EC satisfaction is ~ 0.1c (estimate). At v=0.1c, M ~ 6.25 * M_base ~ 15 Jupiter masses.	True
INT2	Interaction: chaining subluminal bubbles + CTC avoidance	KEEP	chaining_feasibility	Possible in principle but mass requirements multiply	0.40	0.50	Sequential subluminal bubbles each require full mass; CTCs avoided since each is subluminal	Combining E14 + E20: chaining N subluminal bubbles requires N * M_shell total mass. No CTC issues since each segment is subluminal. Total transit time > L/c (no FTL advantage). Mass cost: N * 2.365 M_Jupiter per bubble. Practically worse than single-stage.	True
T01	Energy-condition taxonomy framework	KEEP	framework_quality	Comprehensive: 4 conditions x 8 metrics = 32 evaluations	-	-	Tournament entry: systematic EC evaluation as classification framework	Evaluated all 8 metrics against all 4 energy conditions. Clear separation: superluminal metrics violate NEC/WEC universally; Fell-Heisenberg subluminal satisfies all 4.	False
T02	Alcubierre parameter-space exploration framework	KEEP	framework_quality	3D parameter space (v, R, sigma) mapped to M_exotic	-	-	Tournament entry: parameter sweep of Alcubierre metric	M_exotic(v, R, sigma) = v^2 R / G * f(sigma R). Explored v=[0.01c, 10c], R=[1m, 1000m], sigma=[1/m, 100/m]. Confirms M_exotic >> M_sun for all superluminal cases.	False
T03	Quantum inequality bounds framework	KEEP	framework_quality	Ford-Roman bound successfully constrains all warp proposals	-	-	Tournament entry: QI as constraint framework	QI bound: |Delta_E| <= C / tau_0^4. Applied to Alcubierre, Natario, Krasnikov, Morris-Thorne. All require Planck-thickness walls → universe-mass energies. Most restrictive single constraint.	False
T04	Observational-constraint framework	REVERT	framework_quality	Insufficient: no positive constraints from current data	-	-	Tournament entry: GW + cosmic ray constraints on warp	Current GW data (GWTC-3, NANOGrav) provides null results only. No positive constraints that distinguish between warp models. Framework valid but uninformative at current sensitivity. Reverted as not yet useful.	False
T05	Fell-Heisenberg boundary analysis framework	KEEP	framework_quality	Clear v < c boundary identified with quantitative scaling	-	-	Tournament entry: mapping subluminal→superluminal transition	Analysis of EC satisfaction as function of v shows clear transition at v ~ 0.1c (for demonstrated geometry) where momentum flux exceeds energy density. Most informative framework for understanding what 2024 solution achieves.	False
DISC1	Phase B: Complete warp metric catalogue	DISCOVERY	catalogue_size	10 metrics catalogued with full EC evaluation	-	-	Systematic extraction and computation from papers	Output: discoveries/warp_metric_catalogue.csv	False
DISC2	Phase B: Energy requirements across metrics and parameters	DISCOVERY	parameter_coverage	6 metrics x 4 parameter sets = 24 energy computations	-	-	Analytical and order-of-magnitude calculations	Output: discoveries/energy_requirements.csv	False
DISC3	Phase B: Observational constraints summary	DISCOVERY	constraint_count	5 observational channels evaluated	-	-	Literature survey of detection capabilities	Output: discoveries/observational_constraints.csv	False
RV01	Verify Olum (1998) proves WEC violation (not NEC) for superluminal travel; state assumptions (global hyperbolicity, achronal hypersurface)	RUN_RV	claim_accuracy	Olum proves WEC violation required; Santiago et al. proves NEC for Natario class	0.95	0.98	Olum (1998) PRL 81 3567: theorem requires WEC under global hyperbolicity; Santiago et al. (2022) PRD 105 064038: NEC for zero-vorticity Natario class	Paper conflated Olum (WEC) with Santiago (NEC). Corrected: Olum = WEC + assumptions; Santiago = NEC + Natario class scope.	False
RV02	Verify Celmaster-Rubin (2025) peer-review status	RUN_RV	publication_status	Preprint only (arXiv:2511.18251v1, Nov 2025)	0.95	0.95	Checked arXiv metadata and journal databases	No journal publication found as of 2026-04-16. Paper remains an unreviewed preprint. Catalogue updated with peer_reviewed column.	False
RV03	Verify squeezed-vacuum and other QFT negative energy mechanisms are bounded by quantum inequalities	RUN_RV	QI_universality	All known QFT negative energy sources (Casimir, squeezed vacuum, dynamical Casimir) bounded by Ford-Roman / Fewster QI	0.90	0.95	Fewster (2012) arXiv:1208.5399; Kontou-Sanders (2020) CQG 37 193001: QI bounds are universal for minimally coupled quantum fields	The 10^60 gap applies to ALL known QFT negative energy mechanisms, not just parallel-plate Casimir. Squeezed states produce higher peak negative E but for shorter durations; product bounded.	False
RV04	Add peer_reviewed column to warp_metric_catalogue.csv	RUN_RV	catalogue_completeness	Column added with values for all 10 entries	-	-	Cross-referenced each source against journal databases	Added: Yes (CQG), Yes (PRD), Preprint, etc. for each catalogue entry.	False
RV05	Expand research_queue.md to >= 100 hypotheses	RUN_RV	queue_size	105 hypotheses (H001-H105)	-	-	Added hypotheses covering: parameter sensitivity, modified gravity, higher dimensions, QFT mechanisms, stability, observational signatures, computational verification, thermodynamics	70 new hypotheses added spanning 10 thematic categories.	False
DIAG01	Cross-check 10^60 gap claim against universal quantum inequality bound	DIAG	gap_universality	Confirmed: QI bound |Delta_E|*tau^4 <= C applies universally; 10^60 gap holds for all known negative energy sources	0.95	0.97	Ford-Roman QI for scalar field; Fewster generalisation to arbitrary quantum fields in curved spacetime	Even squeezed vacuum at optimal squeezing: peak |Delta_E| ~ 10^37 J/m^3 (at atomic scale) but duration ~ 10^{-44} s (Planck time). Integrated negative energy vanishingly small. Gap confirmed.	False
