id,type,authors,year,title,venue,key_finding,relevance,theme
29,article,"Meta Engineering",2025,Using AI to make lower-carbon faster-curing concrete,Engineering at Meta blog,"Active learning loop with University of Illinois. 50% OPC reduction, 10x faster design cycle",high,inverse_design
30,article,"Meta Engineering",2026,AI for American-Produced Cement and Concrete,Engineering at Meta blog,"Released BOxCrete model and data as open source. Collaboration with Amrize for industry deployment",high,inverse_design
31,article,"Tipu, R. et al.",2026,"GreenMix-Pareto: Uncertainty-aware, physics-guided multi-objective optimization of low-carbon concrete mix designs",Ain Shams Engineering Journal,"SOTA: physics-guided multi-task model R2=0.997, RMSE=0.58 MPa. EHVI+NSGA-II Pareto. Knee: 50MPa, 220kg CO2",high,multi_objective
32,article,"Frontiers in Materials",2021,Multi-Objective Optimization Methods for Designing Low-Carbon Concrete Mixtures,Frontiers in Materials,"Review of multi-objective approaches for low-carbon concrete: NSGA-II, MOPSO, weighted sum",high,multi_objective
33,article,"Springer Nature",2026,Data-Driven Multi-Objective Optimization for Sustainable HPC Design Toward Net-Zero Emissions,Arabian Journal for Science and Engineering,"Hybrid XGB+DE+GDE3 for net-zero carbon HPC design",high,multi_objective
34,article,"MDPI Buildings",2025,"ML-Assisted Sustainable Mix Design of Waste Glass Powder Concrete with Strength-Cost-CO2 Emissions Trade-Offs","Buildings, 15(15), 2640","NSGA-II with TOPSIS for waste glass concrete. Multi-objective: strength, cost, CO2",medium,multi_objective
35,article,"Nature Scientific Reports",2025,Optimizing sustainable blended concrete mixes using deep learning and multi-objective optimization,"Scientific Reports","DNN + MOPSO: cement reduction 25%, cost reduction 15%, strength >50 MPa",high,multi_objective
36,article,"MDPI Buildings",2025,"Cost-Performance Multi-Objective Optimization of Quaternary-Blended Cement Concrete","Buildings, 15(22), 4074","Pareto-optimal mixes: 51-80 MPa with ~62% less cement than conventional",high,multi_objective
37,article,"Springer Nature",2025,Multi-objective optimization of UHPC based on life-cycle assessment and machine learning methods,ENGINEERING Structure and Civil Engineering,"LCA-integrated multi-objective optimisation for ultra-high performance concrete",medium,multi_objective
38,article,"ScienceDirect",2025,AI-driven sustainable concrete mix design: Hybrid deep Q-Learning and GA-based multi-objective ML optimizations,Journal of Building Engineering,"Deep reinforcement learning combined with GA for concrete mix optimisation",medium,multi_objective
39,article,"PMC",2025,A hybrid prediction and multi-objective optimization framework for LC3 concrete mixture design,Scientific Reports,"MICE-XGBoost R2=0.928 for LC3 strength. SHAP identifies w/b and kaolinite as key factors",high,multi_objective
40,article,"ScienceDirect",2024,Generative artificial intelligence and optimisation framework for concrete mixture design with low cost and embodied CO2,"Construction and Building Materials","VAE decoder for mix generation. Framework combining generative model, regression, and multi-objective optimisation",high,inverse_design
41,article,"Various",2025,Mix design of sustainable concrete using generative models,Journal of Building Engineering,"VAE outperforms GAN based on entropy, KL divergence, FID for concrete mix generation",high,inverse_design
42,article,"Springer Nature",2025,Physics-guided deep ensemble and inverse design for sustainable concrete,"Multiscale and Multidisciplinary Modeling, Experiments and Design","PI-CTGAN generates physically plausible synthetic mixes with domain constraints in loss function",high,inverse_design
43,article,"Royal Society",2025,Bayesian machine learning for inverse design of ultra-high-performance concrete,"Phil. Trans. Royal Society A, 383(2305)","GP regression for UHPC inverse design. Compositional variables test R2=0.91",high,inverse_design
44,article,"ScienceDirect",2023,Bayesian design of concrete with amortized Gaussian processes and multi-objective optimization,"Cement and Concrete Research","Amortized GP for efficient Bayesian design of concrete with multiple objectives",high,inverse_design
45,article,"Nature Scientific Reports",2023,Unboxing machine learning models for concrete strength prediction using XAI,"Scientific Reports, 13, 18625","XGBoost best R2=0.91. SHAP: cement highest (7.459), then water, SP, fly ash, coarse agg, fine agg",high,ml_prediction
46,article,"Springer Nature",2025,Optimized machine learning algorithms with SHAP analysis for predicting compressive strength in HPC,AI in Civil Engineering,"XGBoost R2=0.9583 with SHAP. W/B SHAP value=7.66, SP=1.09",high,ml_prediction
47,article,"Nature Scientific Reports",2024,Predicting compressive strength of HPC using interpretable ML model,"Scientific Reports","Interpretable model with feature importance analysis for high-performance concrete",medium,ml_prediction
48,article,"Springer Nature",2025,A comprehensive model for concrete strength prediction using advanced learning techniques,Discover Applied Sciences,"Hybrid PCA-RFR-SVR-CNN: R2=0.96, avg error 2.0 MPa",high,ml_prediction
49,article,"Frontiers in Built Environment",2026,Heterogeneity-aware stacked machine learning for predicting HPC compressive strength,"Frontiers in Built Environment","Stacked ML addressing dataset heterogeneity in HPC strength prediction",medium,ml_prediction
50,article,"Nature Scientific Reports",2026,Predicting concrete compressive strength using optimized deep learning and large language models,Scientific Reports,"LLM-augmented deep learning for concrete strength prediction",medium,ml_prediction
51,article,"MDPI Infrastructures",2025,Advanced Machine Learning Techniques for Predicting Concrete Compressive Strength,"Infrastructures, 10(2), 26","Comprehensive comparison of advanced ML techniques for concrete strength",medium,ml_prediction
52,article,"ScienceDirect",2024,Predicting compressive strength of high-volume fly ash SCC with silica fume using ML,"Construction and Building Materials","Gradient boosting best for HVFA-SCC strength prediction",medium,ml_prediction
53,article,"Nature Scientific Reports",2024,Forecasting strength of preplaced aggregate concrete using interpretable ML,Scientific Reports,"SHAP analysis: AGE, SP, Binder Kg/m3 are key factors for preplaced aggregate concrete",medium,ml_prediction
54,article,"Springer Nature",2025,Ensemble machine learning models for predicting concrete compressive strength incorporating various sand types,"Multiscale and Multidisciplinary Modeling, Experiments and Design","Ensemble (LR+SVR+RF+GBR+XGBoost+MLP) superior to individual models on 587 samples",medium,ml_prediction
55,article,"ScienceDirect",2025,Explainable ML for predicting compressive strength of rubberized concrete: SHAP LCA recommendations,Journal of Cleaner Production,"SHAP + LCA integration for sustainable rubberized concrete design",medium,ml_prediction
56,article,"arXiv",2025,Comparative Assessment of Concrete Compressive Strength Prediction at Industry Scale,arXiv:2601.09096,"~70k test records: embedding-based NNs outperform transformers and traditional ML. 2.5% 28-day error",high,ml_prediction
57,article,"Springer Nature",2025,Improved forecasting of UHPC compressive strength via CatBoost optimized with different algorithms,Structural Concrete (Wiley),"CatBoost with various optimizers for UHPC strength prediction",medium,ml_prediction
58,article,"Springer Nature",2025,Optimizing LightGBM and XGBoost Algorithms for Estimating Compressive Strength in HPC,Arabian Journal for Science and Engineering,"Bayesian optimisation for LightGBM/XGBoost hyperparameters. LightGBM: 364 estimators, lr=0.0617, depth=30",medium,ml_prediction
59,article,"MDPI Buildings",2025,Comparative Study on Hyperparameter Tuning for Predicting Concrete Compressive Strength,"Buildings, 15(13), 2173","Systematic comparison of hyperparameter tuning methods: Bayesian, grid search, random search",medium,ml_prediction
60,article,"Springer Nature",2025,Predicting compressive strength of HPC via DR-CatBoost model,ScienceDirect,"Dimensionality reduction enhanced CatBoost for HPC",medium,ml_prediction
61,article,"IEEE Xplore",2025,Physics-Informed Loss Functions for Enhancing Concrete Compressive Strength Prediction with Neural Networks,IEEE Conference,"Monotonicity constraints and physics-informed losses improve model performance under data scarcity",high,ml_prediction
62,article,"MDPI Buildings",2025,Physics-Informed Multi-Task Neural Network Learning for UHPC Strength Prediction,"Buildings, 15(23), 4243","Soft monotonicity penalties: strength non-increasing in w/b, non-decreasing in fiber content",high,ml_prediction
63,article,"Springer Nature",2025,Empirical physics-informed neural networks for prediction of concrete strength using NDT,Asian Journal of Civil Engineering,"EMP-PINN with NDT data: R2=0.92, strong convergence",medium,ml_prediction
64,article,"Nature Scientific Reports",2024,Symbolic regression for strength prediction of eccentrically loaded CFST columns,Scientific Reports,"Symbolic regression with code provisions for interpretable strength prediction",medium,ml_prediction
65,article,"Various",2024,STM-based symbolic regression for strength prediction of RC deep beams and corbels,Scientific Reports,"SR-STM: prediction mean=0.999, R2=0.913. Interpretable equations aligned with mechanics",medium,ml_prediction
66,article,"MDPI",2024,Comparative Performance Analysis of ML Models for Compressive Strength Prediction,Mathematical and Computational Applications,"CatBoost R2=0.92, best among 8 models tested. GBDT superiority over ANN/RF",high,ml_prediction
67,article,"Nature Scientific Reports",2023,An efficient ML approach for predicting concrete chloride resistance,Scientific Reports,"Ensemble models for chloride migration coefficient. w/c and curing age most influential",medium,durability
68,article,"Springer Nature",2025,Machine learning in concrete durability: challenges and pathways by RILEM TC 315-DCS,"Materials and Structures","RILEM TC review of ML for concrete durability: carbonation, chloride, sulfate",high,durability
69,article,"Nature Scientific Reports",2024,A hybrid AI approach for modeling carbonation depth of sustainable concrete containing fly ash,Scientific Reports,"Hybrid AI for carbonation depth prediction from mix design and exposure",medium,durability
70,article,"ScienceDirect",2024,Environmental impact of concrete containing high volume fly ash and GGBS,Journal of Cleaner Production,"LCA of HVFA and GGBS concrete: 22-40% GHG reduction with slag, 54% CO2 reduction with 65% fly ash",high,sustainability
71,article,"PMC",2024,Concrete incorporating SCMs: Temporal evolution and environmental LCA,PMC,"Time-dependent strength and LCA for SCM concrete mixtures",medium,sustainability
72,article,"PMC",2024,Optimisation of Embodied Carbon and Compressive Strength in Low Carbon Concrete,PMC,"Pareto optimisation of embodied carbon vs strength",high,sustainability
73,article,"IStructE/Arup",2023,Embodied Carbon of Concrete,IStructE/Arup Report,"Cement: 0.85-1.0 kg CO2e/kg. Aggregates: 1-5% of A1-A3 emissions. GGBS 50% replacement reduces EC >30%",high,sustainability
74,article,"One Click LCA",2024,Concrete guide: producing low-carbon concrete solutions,One Click LCA,"Practical guide to reducing embodied carbon in concrete design",medium,sustainability
75,article,"Nature Scientific Reports",2024,A study on synthesis and performance of fly ash and alccofine as sustainable cementitious materials,Scientific Reports,"Ternary systems of silica fume and Class C fly ash behave similarly at 30% SCM dosage",medium,scm
76,article,"Nature Scientific Reports",2025,Self-compacting concrete with fly ash and silica fume: evaluation microstructure ML,Scientific Reports,"30% FA + 5-10% SF synergistic effects in ternary blends",medium,scm
77,article,"FHWA",2016,Tech Brief: Supplementary Cementitious Materials,FHWA-HIF-16-001,"FHWA guidance on SCM usage: fly ash 18-50%, slag 50-70% replacement levels",medium,scm
78,article,"National Academies",2013,Use of Supplementary Cementitious Materials for Concrete,National Academies Press,"Comprehensive review of SCM types, properties, and applications",medium,scm
79,article,"Springer Nature",2024,Assessing effects of supplementary cementitious materials on concrete properties: a review,Discover Civil Engineering,"No FA strength increase at 3-28d vs control; 4% increase at 56d for 20% FA. SF 15% increase at 3d for 5%",high,scm
80,article,"ScienceDirect",2025,Systematic review of physical mechanical and durability performances of metakaolin concrete,ScienceDirect,"Comprehensive review: 15% MK optimal, refines microstructure, improves ITZ quality",high,scm
81,article,"ScienceDirect",2025,"Limestone calcined clay cement (LC3): A review of materials, properties, production and environmental impact",ScienceDirect,"LC3 review: 50% clinker, 30% calcined clay, 15% limestone. 30-40% CO2 reduction vs OPC",high,scm
82,article,"Various",2025,A comprehensive review of LC3: Environmental and properties benefits challenges,ScienceDirect,"LC3 comparable mechanical strength to OPC, superior chloride penetration resistance",medium,scm
83,article,"ScienceDirect",2024,ConcreteXAI: A multivariate dataset for concrete strength prediction via deep learning,Data in Brief,"18,480 data points from 10-year lab investigation. 12 formulations. Available on GitHub",high,dataset
84,article,"ScienceDirect",2024,Extreme fine-tuning and explainable AI for ConcreteXAI dataset,Advances in Engineering Software,"XAI-based analysis of ConcreteXAI: non-destructive prediction of compressive strength",medium,dataset
85,article,"GitHub/facebookresearch",2025,SustainableConcrete Repository,GitHub,"Open-source repository tracking concrete strength data, models, and active learning proposals",high,dataset
86,article,"Springer Nature",2024,Simulation-Based Transfer Learning for Concrete Strength Prediction,Springer,"Pre-train on simulation, fine-tune on experiment. Best when source more complex than target",high,ml_prediction
87,article,"Springer Nature",2025,Few-shot meta-learning for concrete strength prediction: A model-agnostic approach with SHAP,AI in Civil Engineering,"MAML for rapid adaptation to new concrete types with minimal samples",medium,ml_prediction
88,article,"Various",2025,Strength Prediction Method for Phosphogypsum Concrete Based on Dynamic Weighted Transfer Learning,Materials (MDPI),"Dynamic weighted TL: R2=0.95, 15.9% improvement over traditional methods",medium,ml_prediction
89,article,"Wiley",2025,NLP-based deep transfer learning model across diverse tabular datasets for bond strength prediction,Computer-Aided Civil and Infrastructure Engineering,"TransTabRegressor: NLP + transformer for cross-dataset transfer learning",medium,ml_prediction
90,article,"Various",2024,Optimizing Concrete Mix Designs With Synthetic Data Generation and ML Prediction Models,"Applied Computational Intelligence and Soft Computing","SMOTE generated 1000 synthetic mixes for dataset enrichment. Improved model robustness",medium,ml_prediction
91,article,"Springer Nature",2024,Low Carbon-Oriented Concrete Mix Optimization Using Ensemble Learning and NSGA-II,Springer Lecture Notes,"Three-level ensemble + NSGA-II + TOPSIS for low-carbon concrete optimisation",medium,multi_objective
92,article,"PMC",2024,Optimized Design of Low-Carbon Mix Ratio via NSGA-II Based on GA-Improved BP,PMC,"GA-BP + NSGA-II: optimal C50 mix with cement 331.3 kg/m3, fly ash 56 kg/m3",medium,multi_objective
93,article,"MDPI Sustainability",2023,ML-Based Comprehensive Properties Prediction and Mix Design Optimization of UHPC,Sustainability,"XGBoost best for UHPC: MAPE<5%, R2>0.9. GA for carbon emission reduction",medium,ml_prediction
94,article,"ScienceDirect",2023,Optimization of high-performance concrete mix ratio design using machine learning,Engineering Applications of AI,"ML-based HPC mix design optimisation framework",medium,multi_objective
95,article,"Springer Nature",2025,Optimization design of concrete mix proportion based on SVR and enhanced GA,Discover Applied Sciences,"SVR + enhanced GA for mix proportion optimisation",medium,multi_objective
96,article,"Nature Scientific Reports",2022,Predicting compressive strength of HVGGBS replacement concrete using boosting ML,Scientific Reports,"LightGBM, CatBoost, GBR, AdaBoost, XGBoost for GGBS concrete. Boosting algorithms superior",medium,ml_prediction
97,article,"Springer Nature",2024,Comparing performance of ML models for predicting compressive strength of concrete,Discover Civil Engineering,"Systematic comparison: R2 up to 0.92. Performance order documented across algorithms",medium,ml_prediction
98,article,"Nature Scientific Reports",2025,Application of ML techniques to predict compressive strength of steel fiber reinforced concrete,Scientific Reports,"SVR+AdaBoost ensemble R2=0.96 for SFRC 28-day prediction",medium,ml_prediction
99,article,"Springer Nature",2025,Hybrid gradient boosting models for concrete compressive strength classification and prediction,Int J Machine Learning and Cybernetics,"Hybrid gradient boosting with classification and regression for concrete strength",medium,ml_prediction
100,article,"ScienceDirect",2025,Predictive modeling for durability of blended cement concrete using ML,ScienceDirect,"ML for durability of blended cement concrete: strength, chloride, carbonation",medium,durability
101,article,"Springer Nature",2025,Advanced and hybrid ML techniques for predicting compressive strength with SHAP analysis,Scientific Reports,"SHAP analysis for concrete with palm oil fuel ash: identifies key features",medium,ml_prediction
102,article,"Various",2025,CNN-NSDBO-EWTOPSIS: A hybrid multi-objective approach for concrete mixture proportion design,Data-Centric Engineering (Cambridge),"CNN surrogate + novel multi-objective decision-making for concrete mix design",medium,multi_objective
103,article,"ScienceDirect",2024,An RF and LSSVM-NSGA-II method for multi-objective optimization of HPC durability,Cement and Concrete Composites,"RF+LSSVM+NSGA-II for durability-focused multi-objective HPC optimisation",medium,multi_objective
104,article,"Various",2026,Multi-objective design method of concrete mix ratio based on ML: forward prediction and reverse design,Archives of Civil and Mechanical Engineering,"Forward prediction + reverse design framework for concrete mix ratio",medium,inverse_design
105,article,"Springer Nature",2025,Holistic optimization from concrete mixture to structural design under uncertainty,Data-Centric Engineering (Cambridge),"End-to-end framework from mix design to structural optimisation with uncertainty",medium,multi_objective
106,article,"Wikipedia/Literature",2024,Environmental impact of concrete,Wikipedia,"900 kg CO2/ton cement. Concrete responsible for ~8% of global CO2 emissions",medium,sustainability
107,article,"RMI",2024,Unleashing the Potential of LC3,Rocky Mountain Institute,"Policy and technology analysis for LC3 adoption and CO2 reduction potential",medium,sustainability
108,article,"Grainger/UIUC",2025,Recipe for success: Illinois Grainger Engineers introduce AI-optimized concrete,UIUC Engineering News,"Collaboration with Meta on AI-optimised concrete mixes via active learning",medium,inverse_design
109,article,"Springer Nature",2025,Concrete compressive strength classification using hybrid ML models and interactive GUI,Innovative Infrastructure Solutions,"LightGBM highest accuracy (0.931 Low, 0.865 Normal, 0.935 High) in classification",medium,ml_prediction
110,article,"Springer Nature",2025,Review of AI-assisted design of low-carbon cost-effective concrete toward carbon neutrality,Artificial Intelligence Review,"Comprehensive review of AI methods for sustainable concrete including VAE, GAN, BO",high,inverse_design
111,article,"ScienceDirect",2025,Design of sustainable mortar incorporating CDW through adaptive experiments accelerated by ML,ScienceDirect,"Single-task GP + BoTorch: 50% OPC reduction while maintaining 40 MPa target. 10x faster design",medium,inverse_design
112,article,"Various",2025,A comprehensive review: Numerical and ML approaches for predicting concrete properties,Materials (MDPI),"Reviews numerical, code-based, and ML modelling for fresh to long-term concrete properties",medium,ml_prediction
113,article,"Penn State",2020,"Predicting Concrete's Strength by Machine Learning",arXiv:2004.14407,"Early comprehensive ML comparison for concrete strength prediction",medium,ml_prediction
114,article,"Various",2025,Evaluating strength properties of HPC using ensemble and hybrid models with deep learning,Scientific Reports,"Deep ensemble models for HPC strength evaluation",medium,ml_prediction
115,article,"Springer Nature",2025,A robust LightGBM model for concrete tensile strength forecast,PMC,"LightGBM for tensile strength: robust prediction with uncertainty estimates",medium,ml_prediction
