experiment_id	phase	description	n	metric	value	seed	status	notes
R5b	2.75	Multi-phase gap within 200+ stratum	17997	gap_days_200plus	350.0	42	KEEP	Within-stratum gap for largest schemes
R5c	2.75	Cox HR for multi_phase with size+type+Dublin controls	183633	cox_hr_multi_phase	HR=0.923 CI=[0.908,0.938]	42	KEEP	Covariate-adjusted hazard of commencement
R6a	2.75	Expiry populated share in perm-to-comm cohort	183633	populated_share	0.9984	42	KEEP	Share of rows with CN_Date_Expiry populated
R6b	2.75	Expiry-grant gap distribution summary	183338	gap_years_summary	mean=5.09; median=5.00; share>5.5y=0.055	42	KEEP	Histogram quantiles; check for bimodality at 5y and 5y+extension
R6c	2.75	Restricted E11: extension-proxy gap on rows with populated expiry	182529	median_gap_days	445.0	42	KEEP	Restricted cohort gap; compare to raw E11 +446d to verify proxy validity
R7a	2.75	Cox OOS concordance (train 2014-2020, test 2021-2024)	73602	concordance_oos	0.582	42	KEEP	Out-of-sample concordance on temporal holdout
R7b	2.75	LogNormal AFT OOS concordance	73602	concordance_oos	0.566	42	KEEP	LogNormal AFT evaluated on 2021-2024 holdout
R7c	2.75	LightGBM dark-24m classifier OOS AUROC	64515	auroc_oos	auc=0.513; brier=0.1584	42	KEEP	Temporal holdout of dark-commence-24m classifier
R8a	2.75	E06 Dublin advantage stratified by size	183621	gap_by_size	1:-28.5d;2-9:-1.0d;10-49:-33.0d;50-199:-55.0d;200+:-404.0d	42	KEEP	Within-stratum Dublin-vs-rest gap; sign varies by stratum
R8b	2.75	Oaxaca-Blinder share of Dublin advantage explained by one-off composition	183621	share_explained_by_one_off	total_gap=-45.0d;comp_effect=-30.7d;share=0.682	42	KEEP	Dublin one-off share is lower than rest-of-Ireland; accounts for a share of the 45d advantage
R9a	2.75	Bootstrap 95% CI on perm-to-comm median (E00)	183621	median_ci95	232.0 [231.0,234.0]	42	KEEP	1000 bootstrap replicates
R9b	2.75	Bootstrap 95% CI on comm-to-CCC median (E00b)	76565	median_ci95	498.0 [497.0,500.0]	42	KEEP	1000 bootstrap replicates
R9c	2.75	Bootstrap 95% CI on complete-timeline median (E00c)	71599	median_ci95	962.0 [959.0,966.0]	42	KEEP	1000 bootstrap replicates
R9d	2.75	Bootstrap CI on 24-month cumulative commencement share	166956	share_ci95	0.8086 [0.8068,0.8104]	42	KEEP	from E17
R9e	2.75	Bootstrap CI on 48-month cumulative commencement share	129109	share_ci95	0.9363 [0.9350,0.9377]	42	KEEP	from E17
R9f	2.75	Bootstrap CI on 72m dark-permission share	90805	dark_rate_ci95	0.0067 [0.0062,0.0072]	42	KEEP	from E17
R9g	2.75	Bootstrap CI on E09 apt-vs-dw commencement-to-CCC gap	76565	gap_ci95	53.0 [43.0,62.0]	42	KEEP	apartment-vs-dwelling gap from E09
R9h	2.75	Bootstrap CI on E10 AHB-vs-private gap	76565	gap_ci95	46.0 [35.0,70.0]	42	KEEP	from E10
R9i	2.75	Bootstrap CI on E12 multi-phase vs single	183621	gap_ci95	288.0 [281.0,297.0]	42	KEEP	from E12
R9j	2.75	Bootstrap CI on I01 Dublin×apartment DiD	76565	did_ci95	130.0 [110.0,151.0]	42	KEEP	DiD from I01
R9k	2.75	Bootstrap CI on E06 Dublin advantage	183621	gap_ci95	-45.0 [-49.0,-41.0]	42	KEEP	from E06
R4d	2.75	Channel-definition bounds on dark-permission rate	90805	dark_bounds	low=0.0067(commenced-in-72m);mid=0.393(non-opt-out-missing-CCC);high=0.924(all-missing-CCC)	42	KEEP	Channel bounds: 0.67% under commence-within-72m definition; 39% under non-opt-out CCC-filed definition; upper bound near 100% for opt-out subset
