id,title,authors,year,type,domain,subcategory,method,features_discussed,key_finding,hypothesis_generated,relevance
S1,"Inhomogeneous Electron Gas","Hohenberg P. and Kohn W.",1964,seminal_paper,DFT,foundations,theory,"Ground-state density uniquely determines all properties","First Hohenberg-Kohn theorem: density determines external potential; Second HK theorem: variational principle for density",,"All DFT-derived tasks"
S2,"Self-Consistent Equations Including Exchange and Correlation Effects","Kohn W. and Sham L.J.",1965,seminal_paper,DFT,foundations,theory,"Kohn-Sham equations; effective single-particle potential; exchange-correlation potential","Mapped interacting electrons to non-interacting KS system; made DFT computationally practical",,"All DFT-derived tasks"
S3,"Generalized Gradient Approximation Made Simple","Perdew J.P., Burke K., and Ernzerhof M.",1996,seminal_paper,DFT,exchange_correlation,GGA,"PBE functional; gradient corrections to LDA","PBE GGA functional; most-used functional in solid-state DFT; used by Materials Project for all calculations","H7: PBE systematically underestimates gaps","mp_e_form;mp_gap;mp_is_metal;perovskites;all MP tasks"
S4,"Projector augmented-wave method",Blochl P.E.,1994,seminal_paper,DFT,pseudopotentials,PAW,"PAW pseudopotentials; frozen core approximation; valence electron treatment","Combined efficiency of pseudopotentials with all-electron accuracy; basis of VASP calculations",,"All DFT-derived tasks"
S5,"Efficient iterative schemes for ab initio total-energy calculations using a plane-wave basis set","Kresse G. and Furthmuller J.",1996,seminal_paper,DFT,implementation,VASP,"Plane-wave DFT; iterative diagonalization; total energy calculations","VASP code implementation; the code used for all Materials Project calculations",,"All DFT-derived tasks"
S6,"Uber die Quantenmechanik der Elektronen in Kristallgittern",Bloch F.,1929,seminal_paper,band_theory,foundations,theory,"Bloch theorem; band structure; periodic potential wavefunctions","Proved electron wavefunctions in periodic potentials have Bloch form; foundation of all band theory",,"mp_gap;mp_is_metal;expt_gap;expt_is_metal"
S7,"Wave-Number-Dependent Dielectric Function of Semiconductors",Penn D.R.,1962,seminal_paper,dielectrics,Penn_model,theory,"Penn model: epsilon ~ 1 + (hbar*omega_p/E_g)^2; two-band dielectric model","Derived simple dielectric constant expression from plasma frequency and gap; key feature for dielectric prediction","H4: Penn model feature; H20: Penn model top-3 for dielectric","dielectric"
S8,"Bond-orbital model and the properties of tetrahedrally coordinated solids",Harrison W.A.,1973,seminal_paper,band_theory,tight_binding,theory,"Universal tight-binding parameters; V ~ 1/d^2; gap from covalent + ionic energy","Universal tight-binding model; band gaps from bond length and electronegativity difference","H3: Electronegativity difference for gap","mp_gap;expt_gap;dielectric;mp_e_form"
S9,"The Elastic Behaviour of a Crystalline Aggregate",Hill R.,1952,seminal_paper,elastic_properties,VRH_averaging,theory,"Voigt upper bound; Reuss lower bound; Hill (VRH) average for polycrystalline elastic moduli","Proved VRH average is best estimate of polycrystalline moduli from single-crystal Cij","H12: Crystal structure type for elastic moduli","log_gvrh;log_kvrh"
S10,"Calculation of bulk moduli of diamond and zinc-blende solids",Cohen M.L.,1985,seminal_paper,elastic_properties,bulk_modulus,empirical,"K ~ (1971-220*lambda)/d^3.5; bond length scaling; ionicity parameter","Remarkably simple formula predicting bulk modulus from bond length and ionicity","H23: Cohen's d^(-3.5) for log_kvrh; H24: Ionicity-corrected bond length","log_kvrh;log_gvrh"
S11,"The Deformation and Ageing of Mild Steel: III Discussion of Results",Hall E.O.,1951,seminal_paper,mechanical_properties,yield_strength,theory,"Hall-Petch: sigma_y = sigma_0 + k_y/sqrt(d); grain size strengthening","Yield strength inversely proportional to sqrt of grain size; microstructure dominates composition","H8: Composition alone has floor on steels MAE (missing microstructure)","steels"
S12,"Substitutional solution hardening",Fleischer R.L.,1963,seminal_paper,mechanical_properties,solid_solution_strengthening,theory,"Delta_sigma ~ c^(1/2) * misfit; atomic size misfit; modulus misfit","Solid solution strengthening from size and modulus mismatch of solute atoms","H25: Fleischer-Labusch misfit features; H26: sqrt(alloy content)","steels"
S13,"Under what conditions can a glass be formed?",Turnbull D.,1969,seminal_paper,glass_formation,Turnbull_criterion,theory,"T_rg = T_g/T_m; reduced glass transition temperature > 2/3 for easy glass formation","Established reduced glass transition temperature as key GFA parameter","H14: T_rg proxy from composition","glass"
S14,"Stabilization of metallic supercooled liquid and bulk amorphous alloys",Inoue A.,2000,seminal_paper,glass_formation,Inoue_rules,empirical,"3+ elements; >12% size mismatch; negative mixing enthalpy; Delta_T_x = T_x - T_g","Inoue's three empirical rules for bulk metallic glass formation","H16: Inoue's rules as features; H17: Atomic size dispersion","glass"
S15,"A structural model for metallic glasses",Miracle D.B.,2004,seminal_paper,glass_formation,topological_model,theory,"Efficient cluster packing; atomic size ratios; solute-centered clusters","Structural model explaining glass formation from packing efficiency of different-sized atoms",,"glass"
S16,"Die Gesetze der Krystallochemie",Goldschmidt V.M.,1926,seminal_paper,perovskites,tolerance_factor,empirical,"t = (r_A+r_X)/(sqrt(2)*(r_B+r_X)); perovskite stability when 0.8 < t < 1.0","Introduced tolerance factor; one of most successful simple predictive rules in materials science","H27: Tolerance factor top-3 for perovskites; H28: Octahedral factor","perovskites"
S17,"New tolerance factor to predict the stability of perovskite oxides and halides","Bartel C.J. et al.",2019,seminal_paper,perovskites,tolerance_factor,ML+theory,"Bartel tau factor; improved perovskite stability prediction; oxidation state dependence","Improved tolerance factor outperforming Goldschmidt for halide perovskites","H29: Bartel tau outperforms Goldschmidt","perovskites"
S18,"Cohesion in alloys -- fundamentals of a semi-empirical model","Miedema A.R., de Chatel P.F., and de Boer F.R.",1980,seminal_paper,thermodynamics,mixing_enthalpy,semi-empirical,"Delta_H from electronegativity difference and electron density mismatch; Miedema parameters","Semi-empirical model for binary alloy formation enthalpy from two elemental parameters","H15: Miedema enthalpy for E_form and GFA; H18: Miedema predicts formation energy","mp_e_form;perovskites;glass"
S19,"The Materials Project: A materials genome approach to accelerating materials innovation","Jain A. et al.",2013,seminal_paper,databases,Materials_Project,high-throughput_DFT,"VASP+PBE+PAW; standardized workflows; >150k compounds; formation energies; band gaps; elastic constants","Established Materials Project; primary data source for 7/13 Matbench tasks","H6: MP-specific calculation conventions matter","mp_e_form;mp_gap;mp_is_metal;log_gvrh;log_kvrh;dielectric;phonons"
S20,"Uber Schwingungen in Raumgittern","Born M. and von Karman T.",1912,seminal_paper,phonons,lattice_dynamics,theory,"Dynamical matrix; force constants; phonon frequencies from eigenvalues; harmonic approximation","Founded lattice dynamics theory; phonon frequencies determined by force constants and masses","H30: Inverse sqrt of lightest mass; H31: Bond stiffness/reduced mass","phonons"
S21,"Phonons and related crystal properties from density-functional perturbation theory","Baroni S. et al.",2001,seminal_paper,phonons,DFPT,computational,"DFPT; linear response; phonon dispersion; dielectric properties; Born effective charges","Comprehensive DFPT review; method used for phonon and dielectric data in Materials Project",,"phonons;dielectric"
S22,"Clausius-Mossotti / Lorentz-Lorenz relation","Mossotti O.F. (1850); Clausius R. (1879); Lorenz L. (1880); Lorentz H.A. (1880)",1850,seminal_paper,dielectrics,polarizability,theory,"(epsilon-1)/(epsilon+2) = N*alpha/(3*epsilon_0); (n^2-1)/(n^2+2) = N*alpha/(3*epsilon_0)","Fundamental bridge between atomic polarizability and macroscopic dielectric constant/refractive index","H32: Polarizability/volume top-3 for dielectric; H33: CM function as target transform","dielectric"
S23,"Electric Field Effect in Atomically Thin Carbon Films","Novoselov K.S. et al.",2004,seminal_paper,2D_materials,graphene,experiment,"Graphene isolation; 2D crystal stability; high carrier mobility; exfoliation from bulk","First isolation of graphene; opened 2D materials field; reference exfoliation energy ~20 meV/atom",,"jdft2d"
S24,"High-throughput Identification and Characterization of Two-dimensional Materials using Density functional theory","Choudhary K. et al.",2017,seminal_paper,2D_materials,exfoliation_energy,high-throughput_DFT,"Exfoliation energy from vdW-DF-optB88; interlayer distance; van der Waals interactions","Source of jdft2d dataset; high-throughput exfoliation energy calculations with vdW-corrected DFT","H34: Interlayer distance dominant; H35: Polarizability of interlayer species","jdft2d"
S25,"Discussion on Internal Stresses (Orowan mechanism)",Orowan E.,1948,seminal_paper,mechanical_properties,precipitation_hardening,theory,"Delta_sigma = M*G*b/L; precipitate spacing; Orowan looping","Precipitation hardening from dislocation-precipitate interaction","H36: Sum of carbide formers; H37: C*(V+Nb) interaction","steels"
S26,"Ionicity of the Chemical Bond in Crystals",Phillips J.C.,1970,seminal_paper,band_theory,ionicity,theory,"E_g^2 = E_h^2 + C^2; Phillips ionicity f_i = C^2/E_g^2; dielectric theory of bonding","Separated band gap into covalent and ionic components; physical basis for gap prediction","H22: Phillips ionicity for gap and E_form","mp_gap;expt_gap;mp_e_form"
S27,"Systematization of the stable crystal structure of all AB-type binary compounds",Zunger A.,1980,seminal_paper,crystal_structure,structure_maps,theory,"Orbital radii (r_s, r_p); structure maps; pseudopotential radii as universal descriptors","Crystal structures separable by orbital radii coordinates; powerful elemental descriptors","H41: Zunger orbital radii as features; H42: Expected structure type features","All tasks"
S28,"Predicting the Band Gaps of Inorganic Solids by Machine Learning","Zhuo Y., Mansouri Tehrani A., and Brgoch J.",2018,seminal_paper,band_gap_prediction,ML_band_gap,ML+composition,"Magpie features; avg electronegativity; range of first ionization energy; avg atomic number","ML with composition features achieves MAE ~0.45 eV for experimental band gap; identifies key features","H3: Electronegativity features for gap; H41: Orbital radii","expt_gap;mp_gap"
S29,"Steels: Microstructure and Properties, 4th Ed.","Bhadeshia H.K.D.H. and Honeycombe R.W.K.",2017,seminal_paper,physical_metallurgy,steels,theory,"Andrews M_s formula; carbon equivalent; Cr/Ni equivalents; precipitation; martensite; bainite","Definitive reference on steel composition-microstructure-property relationships","H38: M_s formula; H39: Carbon equivalent; H40: Austenite vs ferrite stabilizers","steels"
S30,"Benchmarking Materials Property Prediction Methods: Matbench Test Set and Automatminer","Dunn A., Wang Q., Ganose A., Dopp D., and Jain A.",2020,seminal_paper,benchmarks,Matbench,ML_benchmark,"13 tasks; 5-fold CV; MAE/ROC-AUC; Automatminer reference; RF-SCM/Magpie baseline","Established Matbench benchmark; standardized evaluation for materials ML; identified composition vs structure gap",,"All 13 tasks"
