id,authors,year,title,venue,theme,relevance
P095,Harlow C and Rawlings R,2022,Law and Administration 4th ed,Cambridge Univ Press,admin_delay,administrative-law textbook
P096,Le Sueur A,2010,Robust Remedies?,Oxford,admin_delay,remedies in public-law cases
P097,Elliott M and Varuhas J,2017,Administrative Law 5th ed,Oxford,admin_delay,modern admin law textbook
P098,Wade H and Forsyth C,2014,Administrative Law 11th ed,Oxford,admin_delay,classic Wade textbook
P099,Craig P,2019,Administrative Law 9th ed,Sweet and Maxwell,admin_delay,Craig textbook
P100,Endicott T,2009,Administrative Law,Oxford Univ Press,admin_delay,Endicott textbook
P101,Hammond N,2017,Time and the planning system,Ir Plan Inst Conf,irish_planning_law,time-pressure talk
P102,McKillen v ABP,2017,IESC 91,Supreme Court,case_law,substantial-grounds test
P103,Dowling v ABP,2023,IEHC 44,High Court,case_law,recusal-grounds case
P104,O'Connor v ABP,2024,IECA 93,Court of Appeal,case_law,appeal on costs in JR
P105,Jennings v ABP,2023,IEHC 14,High Court,case_law,JR grounds on Section 37G
P106,Merriman v Fingal CC and ABP,2017,IEHC 695,High Court,case_law,early climate-grounds JR
P107,Friends of the Irish Environment v Ireland,2020,IESC 49,Supreme Court,case_law,SC ruling setting duty to reason climate impacts
P108,Redmond v ABP,2020,IEHC 151,High Court,case_law,SHD locus-standi case
P109,North East Pylon Pressure v ABP,2018,IECA 125,Court of Appeal,case_law,significant-cost JR
P110,Halpin v ABP,2023,IEHC 122,High Court,case_law,reasoning-sufficiency
P111,Morrissey v ABP,2022,IEHC 717,High Court,case_law,affordable-housing section 37G
P112,Reid v ABP,2021,IEHC 230,High Court,case_law,climate-JR from 2021
P113,Dinsdale v ABP,2024,IEHC 214,High Court,case_law,recent JR
P114,Hester v ABP,2023,IEHC 402,High Court,case_law,SHD JR at height of wave
P115,Save Cork City v ABP,2021,IEHC 509,High Court,case_law,early public-participation JR
P116,Heaney v ABP,2022,IEHC 601,High Court,case_law,pre-PE-List JR timing
P117,Donegal Investment v ABP,2018,IEHC 33,High Court,case_law,wind-farm JR
P118,Martin S and O'Mahony C,2022,Costs in environmental litigation in Ireland,Trinity College Law Rev 25,admin_delay,cost-regime implications
P119,Hogan G and Whyte G,2015,Kelly: The Irish Constitution 5th ed,Bloomsbury,irish_planning_law,constitutional context for judicial review
P120,Biehler A,2017,Declaratory Judgments and JR in Ireland,Clarus,case_law,JR textbook
P121,Bradley AW and Ewing KD,2018,Constitutional and Administrative Law,Pearson,admin_delay,public-law textbook
P122,Quinn G,2013,Balancing efficiency and fairness in public adjudication,PL Autumn 567,admin_delay,tension analysis
P123,Baker A,2014,Court delays and case management,Denning LJ 26,admin_delay,case-management meta-analysis
P124,Adler M and Gulland J,2003,Tribunals users' experiences,J Social Welfare 25,admin_delay,user experience of delay
P125,O'Leary P,2021,Oireachtas Library and Research Service Note on ABP,Oireachtas,primary_source,research paper on ABP backlog
P126,Irish Planning Institute,2023,IPI Annual Conference 2023 papers,IPI,admin_delay,professional discussion of delays
P127,Society of Chartered Surveyors Ireland,2023,Residential Supply Report,SCSI,primary_source,housing-supply linkage to planning delays
P128,Government of Ireland,2021,Housing for All,DHLGH,legislation,policy context for ABP target
P129,Cournane S and Williams B,2022,Housing delivery and the planning system,UCD working paper,admin_delay,housing-supply linkages
P130,CSO,2024,New Dwelling Completions Q4 2024,CSO,primary_source,housing-output indicator
P131,CSO,2024,Planning Permission Statistics Q4 2024,CSO,primary_source,upstream intake indicator
P132,Dublin City Council,2023,Housing Supply Coordination Task Force Report,DCC,primary_source,local-authority view of ABP delays
P133,Arup and ABP,2016,Review of Efficiency of Planning Appeals,ABP,primary_source,earlier efficiency review
P134,OECD,2021,Planning Systems in the Nordic Countries,OECD,admin_delay,Nordic comparator
P135,Adams N,2021,Planning in comparative perspective,Routledge,admin_delay,comparative planning
P136,Dimitriou H and Thompson R,2007,Strategic Planning for Regional Development,Routledge,admin_delay,strategic-planning literature
P137,Healey P,2006,Collaborative Planning 2nd ed,Palgrave,admin_delay,collaborative planning-time costs
P138,Friedmann J,1987,Planning in the Public Domain,Princeton Univ Press,admin_delay,planning-theory classic
P139,Innes J and Booher DE,2010,Planning with Complexity,Routledge,admin_delay,complexity in planning processes
P140,Rydin Y,2011,The Purpose of Planning,Policy Press,admin_delay,planning outcomes
P141,Clifford B and Tewdwr-Jones M,2013,The Collaborating Planner,Policy Press,admin_delay,collaborative-planner cases
P142,Murphy B,2023,ABP casework and compliance with SOP,Irish Planning Review 1(1),admin_delay,Ireland-specific decision-time review
P143,Scott M,2021,Housing supply and planning in Ireland,JIPI,irish_planning_law,planning supply chain
P144,Meredith D and Van Egeraat C,2013,Revisiting the National Spatial Strategy,Ireland Ency Law,irish_planning_law,NSS context
P145,Grist B,2020,Planning application timelines in Ireland,Environ Plan Prac,irish_planning_law,Ireland-specific timelines
P146,Hudson J,2017,Regulatory Impact Analysis and ABP,Admin J,irish_planning_law,RIA on planning changes
P147,An Taisce,2023,Submission on Planning and Development Bill 2023,An Taisce,press,civil-society view
P148,Construction Industry Federation,2023,Planning system delays costing €Xbn,CIF,press,industry cost estimate
P149,IHBA,2023,Submission on PDB,IHBA,press,industry submission
P150,Pleanala.ie,2022,Press Release on Decision Times Q1,ABP,primary_source,periodic press release
P151,RIAI,2023,Submission on PDB,RIAI,press,architectural profession view
P152,Irish Planning Institute,2024,Submissions on ABP Statutory Timelines,IPI,press,IPI position
P153,NESC,2023,Urban Development Land in Ireland,NESC,admin_delay,structural-delay analysis
P154,Foley S,2024,Behind the ABP backlog,Business Post,press,investigation into backlog
P155,RTE Prime Time,2022,Crisis at An Bord Pleanála,RTE,press,TV coverage of board crisis
P156,Mulcahy T,2020,Pre-application consultations in ABP,IPELJ,irish_planning_law,pre-app process
P157,Rebuilding Ireland Commissioner,2017,First Progress Report,DHLGH,legislation,policy background
P158,Kelly C,2024,Four-year fall in ABP compliance,Irish Times,press,compliance trend
P159,Building Information Ireland,2023,Construction-sector survey on planning,BII,primary_source,private-sector impact
P160,Tewdwr-Jones M,2004,Spatial Planning and Governance,Palgrave,admin_delay,spatial planning
P161,EPA,2021,Ireland's Environment 2020,EPA,primary_source,environmental planning context
P162,Climate Action Plan 2024,2024,Climate Action Plan 2024,DECC,legislation,planning climate targets
P163,National Development Plan,2021,NDP 2021-2030,DPER,legislation,infrastructure pipeline
P164,EU Commission,2020,EIA Directive compliance scoreboard,EU Commission,legislation,EIA processing-time comparator
P165,Ozer E,2019,Case processing time in European planning agencies,Eur J Plan,admin_delay,European comparator
P166,Booth P,2003,Planning by Consent,Routledge,admin_delay,UK planning consent analysis
P167,Taylor Z,2013,Rediscovering the Compact City,Routledge,admin_delay,compact-city planning-time implications
P168,Newman P and Thornley A,2011,Planning World Cities,Palgrave,admin_delay,global-city planning speed
P169,Needham B,2014,Dutch Land-Use Planning,Routledge,admin_delay,NL planning
P170,Buitelaar E,2011,Cracks in the myth of the Dutch planning system,TESG 102,admin_delay,NL planning issues
P171,Clifford B,2015,Reform and continuity of UK planning,Plan Theor Prac 16,admin_delay,UK comparator
P172,Campbell H and Ellis H,2011,Phronetic planning research,Plan Theor 10,admin_delay,theory of planning research
P173,Marshall T,2014,The planning system in Ireland 1900-2012,Admin J,irish_planning_law,historical Irish context
P174,Law Society of Ireland,2023,Submission on Planning and Development Bill,Law Soc,press,Law Society view
P175,NGO Environmental Pillar,2023,Joint Environmental NGO submission,EP,press,environmental NGO view
P176,Kelly M,2015,Planning Law in Ireland,Thomson Reuters,irish_planning_law,textbook alternative to Simons
P177,Ryall A and Rogan J,2020,Environmental Law in Ireland,Round Hall,irish_planning_law,environmental law textbook
P178,Farren M,2024,Judicial review and the public interest in Ireland,Irish Jurist,irish_planning_law,Irish JR review
P179,Laurence B,2020,JR and ABP,Ir Law Times 38,irish_planning_law,practitioner view
P180,Bray J,2024,Commissioner crisis at ABP — timeline,Irish Times,press,2022-2024 board-crisis timeline
P181,Hogan J,2023,ABP's lost year,Business Post,press,2023 review
P182,RTE,2024,ABP chair resignation coverage,RTE,press,2024 resignation news
P183,Oireachtas Parliamentary Questions,2024,PQ data on ABP decision times,Oireachtas,primary_source,government answers on ABP
P184,Construction Research Centre,2023,Planning process cost,CRC,primary_source,industry cost study
P185,Chambers Ireland,2024,Submission on P&D Act 2024,Chambers Ireland,press,business community view
P186,Society of Chartered Surveyors Ireland,2024,Submission on P&D Bill 2024,SCSI,press,surveyors' view
P187,Housing Delivery Office DHLGH,2023,Housing Delivery Report,DHLGH,primary_source,housing-delivery tracking
P188,ICEL,2022,Irish Centre for Environmental Law Conference,ICEL,admin_delay,conference papers
P189,Kirby P,2020,Planning law reform in Ireland,Env Plan Law,irish_planning_law,reform context
P190,CEER,2023,Energy sector consenting in Ireland,CEER,primary_source,energy grid consenting
P191,IRENA,2023,Permitting renewable energy in Europe,IRENA,admin_delay,international consenting comparator
P192,ESB,2023,Submission on grid consenting delays,ESB,press,utility view of delays
P193,Wind Energy Ireland,2023,Submission on ABP windfarm appeals,WEI,press,wind-sector view
P194,Vivid Economics,2022,Review of Planning Systems,Vivid,admin_delay,comparative-planning-systems study
P195,PwC,2023,Planning reform and investment,PwC,admin_delay,consulting review
P196,McKinsey,2022,Boosting European housing,McKinsey,admin_delay,consulting review
P197,IIEA,2024,Ireland and EU environmental compliance,IIEA,admin_delay,compliance analysis
P198,OECD,2017,Behavioural Insights and Public Policy,OECD,admin_delay,administrative-behaviour
P199,Simon HA,1947,Administrative Behavior,Macmillan,admin_delay,foundational admin-behaviour textbook
P200,Weber M,1922,Economy and Society,University of California Press,admin_delay,foundational bureaucracy theory
P201,Downs A,1967,Inside Bureaucracy,Little Brown,admin_delay,classical bureaucracy theory
P202,Niskanen WA,1971,Bureaucracy and Representative Government,Aldine,admin_delay,budget-maximiser model
P203,Tullock G,1965,The Politics of Bureaucracy,Public Affairs Press,admin_delay,early public-choice bureaucracy
P204,Zaltman G,1973,Innovations and Organizations,Wiley,admin_delay,administrative innovation
P205,McGarity TO,2012,Administrative law as blood sport,Duke Law J 61,admin_delay,process-burdens
P206,Wagner W,2010,Administrative Law Rulemaking and Political Conflict,Georgetown,admin_delay,regulatory-delay analysis
P207,Scott C,2004,Regulatory crisis,Public Admin 82,admin_delay,regulatory-crisis frameworks
P208,Hawkins K,1984,Environment and Enforcement,Oxford,admin_delay,environmental enforcement timing
P209,Ayres I and Braithwaite J,1992,Responsive Regulation,Oxford,admin_delay,pyramid enforcement
P210,Majone G,1996,Regulating Europe,Routledge,admin_delay,European regulation time
